"_id",job_link,answer,date,question,source
6043a0b2ed76476feda30c1e,https://www.quora.com/Which-is-the-best-open-source-tools-for-designing-2D-animations?-,Vikrant Jadhav,2021-03-06T15:33:06.249Z,"Which is the best open source tools for designing 2D animations? ",Quora
6043a0dfed76476feda30c8c,https://www.quora.com/What-is-the-best-school-or-university-for-2D-animation-and-game-design-in-Shanghai?-,"When it comes to game design the choices in Shanghai, unfortunately, are still very limited. There are a few training schools but they only offer courses in Chinese, I bet (which is great if you are a Chinese speaker). You can have a look at these two websites for your own reference: 游戏开发培训【GA游戏教育】| 爱游戏 爱学习 火星时代教育 | 中国艺术教育高端品牌 Instead, have you ever thought of learning game design online? That’s what I’m currently doing and there are plenty of affordable resources. I’d like to recommend these courses I’m following if you are keen to consider the self-learning option: Learn game design with Unity 3D engine and in Udemy ($15): Unity Course: Learn Unity 5 at Your Pace on UdemyLearn how to use Unity engine with free tutorials in Unity3D.com: Unity - Learn - OverviewLearn game design in edX for free (they usually offer online courses provided by universities and you can get a certification by paying a little amount of money, usually around $40. However, learning is always offered freely if you don’t need a certification): Video Game DesignIf you want to learn a programming language then the app called SoloLearn is a great addition and i’s available for android and iPhone. They offer courses for C#, C++, Swift, Java, Python, Ruby, Javascript, CSS, HTML, PHP, SQL. And it’s all free.  All these recommendations come from my personal experience because I’m also quite interested into game design and I found them very valid. Hope you can find what you are looking for. 1",2021-03-06T15:33:51.735Z,"What is the best school or university for 2D animation and game design in Shanghai? ",Quora
6043a356ed76476feda311d1,https://www.quora.com/What-are-the-applications-of-2D-animation-in-graphic-design?-,"If ‘soloing’, in order to make a living you need to be incredibly efficient, and great at telling stories. Perhaps monetize it by using video sharing platforms and build an audience. Other ways you could get in professionally would be places like Studio Ghibli, or if that’s not your cup of tea you could always work for a network studio. You’d have to make some animated shorts yourself, build a portfolio and impress the studio you would like to work for by tailoring your style to their needs. But in terms of it being worth it? You’d have to love the day to day grind and workload you’d have. 1",2021-03-06T15:44:22.280Z,"What are the applications of 2D animation in graphic design? ",Quora
6043a373ed76476feda31213,https://www.quora.com/Where-can-I-learn-2D-character-design-and-2D-animation-for-free?-,"12 Best Animation Software for Beginners (Premium, Free, and Online)  10 Best 2D Animation Software in 2020 [Free/Paid]  Online 2d Animation Classes | Start Learning for Free | Skillshare      Thank you for your - Question. and have a nice day everyone.",2021-03-06T15:44:51.484Z,"Where can I learn 2D character design and 2D animation for free? ",Quora
6043a399ed76476feda31269,https://www.quora.com/What-is-the-importance-of-2D-animation-services-in-designing?-,Brenton Cherry 1,2021-03-06T15:45:29.812Z,"What is the importance of 2D animation services in designing? ",Quora
6043aa63ed76476feda31cd5,https://www.quora.com/What-is-the-fee-structure-for-graphic-web-design-and-2D-animation-in-MAAC-Kanpur?-,,2021-03-06T16:14:27.301Z,"What is the fee structure for graphic web design and 2D animation in MAAC Kanpur? ",Quora
6043aab9ed76476feda31d57,https://www.quora.com/Will-the-new-Mac-Pro-2019-be-a-good-choice-for-After-Effects-motion-design-and-2D-animation-work?-,"A lot of current machines, Win or Mac, could run AE quite nicely. You don’t need a MacPro. But if you want to do 3D animation, the new MacPro is looking weak, because it doesn’t have NVidia graphics support, as far as I’ve read. For that reason, I am considering moving back to Windows after spending about 15 years on Mac. 1",2021-03-06T16:15:53.626Z,"Will the new Mac Pro 2019 be a good choice for After Effects motion design and 2D animation work? ",Quora
6043aadaed76476feda31d86,https://www.quora.com/How-can-I-learn-any-libraries-for-2D-animation-in-C-if-I-am-a-beginner-in-graphic-designing?-,I would go with Allegro (software) - Wikipedia. You can’t get much more basic than that. Some other good starter libraries are Panda3d and Pygame. Both of these are really made for Python but they have C or C++ options. Maybe QT would be what you want: your question is hard to understand.,2021-03-06T16:16:26.199Z,"How can I learn any libraries for 2D animation in C if I am a beginner in graphic designing? ",Quora
6043ac06ed76476feda31f37,https://www.quora.com/What-are-some-books-I-should-read-in-order-to-design-a-simple-2D-animation-engine-like-Pivot-animator?-,Ankit Karmakar  1,2021-03-06T16:21:26.069Z,"What are some books I should read in order to design a simple 2D animation engine like Pivot animator? ",Quora
6043ac97ed76476feda3200e,https://www.quora.com/Is-it-wise-to-change-career-path-from-visual-effects-to-doing-2D-animation-and-graphic-design-to-have-more-creative-freedom?-,"Depends mostly on your definition of wisdom and creative freedom. It’s best to focus on the skills that you’re most fond of, try to master those and be the top in the game. VFX can be very demanding and often extremely anonymous, many people won’t see the artistry involved nor recognize a specific style of the team making it. In 2D and graphic design you can be much more expressive, but ofter it is required to be way more authentic and persistant, something which is really hard to do. Good luck anyway :)",2021-03-06T16:23:51.856Z,"Is it wise to change career path from visual effects to doing 2D animation and graphic design to have more creative freedom? ",Quora
