"_id",job_link,answer,date,question,source
604235dbed76476feda20378,https://www.quora.com/What-country-abroad-is-good-to-start-a-3D-animation-modelling-career?-,,2021-03-05T13:44:58.377Z,"What country abroad is good to start a 3D animation modelling career? ",Quora
60423605ed76476feda2039b,https://www.quora.com/How-can-I-make-a-career-in-3D-modeling-and-animation?-,"you mention  you already have a degree.. im assuming you're in your mid twenties.  therefore you have to get started in this field as early as possible or it might just stay a dream forever. My best advice would be to NOT go with the self learning path... here's why when you self learn there are many things that can make you lose interest... and im sure everyone would agree it is not the fastest option you have when it comes to learn something.. theoretically its possible to learn with just the same speed as someone would in an institution but everyone knows that in reality that's impossible. I'm gonna have to suggest you to save up some money and go to the nearest vfx institution you have in your city ASAP. The knowledge you'll gain there is and will be totally the same, but you won't have to put in the additional extra efforts one has to when he is self learning, and believe me those extra efforts aren't worth it when you don't have that much time, Because you're in your mid 20's you really have less time to get a kickstart in this field... and that kickstart is basically impossible to achieve while self learning. Now the institution you go to will offer you a number of different courses and prices could be sky high. They will explain you the specifics of each course if you don't yet know the difference between the software they'll teach you but do go in there with a bit of homework and research beforehand.",2021-03-05T13:45:41.682Z,"How can I make a career in 3D modeling and animation? ",Quora
6042361aed76476feda203b1,https://www.quora.com/What-are-the-career-opportunities-in-3D-modelling-and-animation?-,"Glyn Williams, has done animation.Answered 3 years ago · Author has 7.8K answers and 40.9M answer views Glyn Williams There are two main fields of 3D talents. Computer Game Art.Movie and Television production.(and a handful of smaller, specialist fields). Visualisation for architecture, engineering, legal applications etc.The games industry is a big employer, and for any major game title, more than half of the production budget will go on art production. Most artists will be specialists who focus on… Concept ArtModelingTexturingSculptingAnimation.In film and television production there are jobs for modelersanimatorscompositorstechnical directors.There are additional specialist disciplines, and managerial roles fo Continue ReadingThere are two main fields of 3D talents. Computer Game Art.Movie and Television production.(and a handful of smaller, specialist fields). Visualisation for architecture, engineering, legal applications etc.The games industry is a big employer, and for any major game title, more than half of the production budget will go on art production. Most artists will be specialists who focus on… Concept ArtModelingTexturingSculptingAnimation.In film and television production there are jobs for modelersanimatorscompositorstechnical directors.There are additional specialist disciplines, and managerial roles for people who both understand the topic and can run a team. Skilled artists can move from games, to movies and back again, although there are different technical constraints involved. Both career paths suffer from having more prospective artists than roles. This pushes down salaries and working conditions. But the most talented people can still succeed. Anyone wanting a career in these fields should endeavour to be a good artist first, capable of drawing and observing the world. The ability to drive a pencil is a better predictor of artistic talent than the ability to drive Maya.",2021-03-05T13:46:02.056Z,"What are the career opportunities in 3D modelling and animation? ",Quora
60423630ed76476feda203c1,https://www.quora.com/How-hard-is-it-to-make-a-career-out-of-3D-modelling-and-animation?-,"Jesse Walsh, professional 3d modeller and renderer. Experienced with product and architectualAnswered 1 year ago Jesse Walsh For the most part modelling and animation are two different career paths unless you are working at a very small studio. There are plenty of jobs available in Archviz, Games, Product Viz and commercial type stuff. Not so many in studios that make feature length films or animated series for television. For games, there are more prop and environment modelling jobs than there are character modelling and animation. Games from large studios tend to have people that specialize as opposed to generalist who can do everything. For Architecture, Product Viz, and Commercials, you will be expected to be a 3d  Continue ReadingFor the most part modelling and animation are two different career paths unless you are working at a very small studio. There are plenty of jobs available in Archviz, Games, Product Viz and commercial type stuff. Not so many in studios that make feature length films or animated series for television. For games, there are more prop and environment modelling jobs than there are character modelling and animation. Games from large studios tend to have people that specialize as opposed to generalist who can do everything. For Architecture, Product Viz, and Commercials, you will be expected to be a 3d generalist who can render very well. Final image quality is more important than traditional modelling skills as a lot of premade assets are used. There are lots and lots of these smaller studios everywhere who tend to employee like 15 to 30 people. Without an “in” (usually from school or something) you will not be able to get a bare bones entry level position or internship. Your portfolio will need to be as good as people who are currently working in the industry. Starting from zero knowledge and working at it everyday it probably takes about 2–3 years to get your skills to the level they need to be to land an entry level job. I recommend going to a site like polycount and asking for a portfolio review if you are unsure of your current skill level.",2021-03-05T13:46:24.047Z,"How hard is it to make a career out of 3D modelling and animation? ",Quora
60423717ed76476feda20471,https://www.quora.com/Why-has-Disney-stopped-doing-hand-drawn-animated-films?-,"JD Renner The effort expended into 2D animation has been largely replaced by 3d animation using computer rendering.  This is not about cost. Although we refer to it as “computer generated” the computer just computes the lighting and pixels. The 3d animation is done by-hand by real animators. The 3d models are built by-hand by artists. CGI is hugely labour intensive business. And the primary cost is manpower. Frozen, Big Hero 6 and Zootopia cost more than their cell-animated equivalents would have done. Huge effort has gone into designing the background world. Architecting individual buildings. Designing ve Continue ReadingThe effort expended into 2D animation has been largely replaced by 3d animation using computer rendering.  This is not about cost. Although we refer to it as “computer generated” the computer just computes the lighting and pixels. The 3d animation is done by-hand by real animators. The 3d models are built by-hand by artists. CGI is hugely labour intensive business. And the primary cost is manpower. Frozen, Big Hero 6 and Zootopia cost more than their cell-animated equivalents would have done. Huge effort has gone into designing the background world. Architecting individual buildings. Designing vehicles, crafting characters. Painting every pixel of every surface by hand. The garbage bag in this image might have taken more artist time than the entire background of the image from Dalmatians. Each individual car certainly would.  It’s not about availability of artists. If there were secure careers in hand-drawn animation, there would be plenty of animators happy for the work. The analytical and artistic skills needed to walk a rabbit on a computer-screen are actually very similar to the skills needed to do it by cell animation. I think the main reason for the transition is simply quality. The new process allows a studio to create a better-looking and a better performed movie with these tools. Great art needs iteration, and it’s easier to iterate in this digital space than in the hand-drawn space. A weak bit of digital animation can be refined. Some additional keyframes can be added, the performance can be sharpened, retimed, the lighting can be changed, the camera can be repositioned. With a hand-drawn solution, you simply can not move the camera, or shift a light. You literally have to go back to the drawing board. So, what is cheaper is not creation but iteration. More iteration can happen and that means that a better product is attainable at the end of the schedule. Pixar introduced a notion called “plussing”. That meant not stopping when the shot was adequate. The sequences, scripts and performances were improved and improved until they was as good as it could possible be. It’s the ability to create a product with such high quality that drives studios towards this form of animated film-making.",2021-03-05T13:50:15.404Z,"Why has Disney stopped doing hand drawn animated films? ",Quora
604237f5ed76476feda20517,https://www.quora.com/Is-it-harder-to-work-on-hand-drawn-animation-or-on-3D-models?-,"Fredrick Miya Personally, I don't even compare them. It's like comparing apples and oranges. But if I were to, I'd ask this question: if I gave two persons with similar learning abilities a timeframe (let's say three years) to learn from scratch the basics and fundamentals of,q1 one 2D and the other 3D, in order to be good enough to work in respective studios of similar proficiency, what would be the outcome? One guy ends up working for Pixar's 3D animation studio and the other for the defunct Disney's 2D feature animation studio? My experience would be, with 3D, you can jump right in and start the learning  Continue ReadingPersonally, I don't even compare them. It's like comparing apples and oranges. But if I were to, I'd ask this question: if I gave two persons with similar learning abilities a timeframe (let's say three years) to learn from scratch the basics and fundamentals of,q1 one 2D and the other 3D, in order to be good enough to work in respective studios of similar proficiency, what would be the outcome? One guy ends up working for Pixar's 3D animation studio and the other for the defunct Disney's 2D feature animation studio? My experience would be, with 3D, you can jump right in and start the learning process, but for 2D animation, you generally have to be a decent artist before you delve into animation. That first step alone can set you back a decade. Simply put, by the time someone's doing cutting edge 2D animation, he/she has years of doing traditional art. Continue Reading",2021-03-05T13:53:57.290Z,"Is it harder to work on hand-drawn animation or on 3D models? ",Quora
60423807ed76476feda20528,https://www.quora.com/Is-3d-animation-a-good-job?-,"Greg Balmer Is 3D animation a good job? Well, I’m a 3D animator at a well respected film studio where I work on some of the most widely received films being put into the market. Animation is definitely a challenging job full of both creative and technical issues to be solved. If you enjoy troubleshooting as part of the creative process, 3D animation might just be what you are after. In the film industry, it is a highly collaborative role as well. If you like sitting behind a computer in a slightly darkened room toiling away on iteration after iteration after iteration, then yes, 3D animation is a good job. Continue ReadingIs 3D animation a good job? Well, I’m a 3D animator at a well respected film studio where I work on some of the most widely received films being put into the market. Animation is definitely a challenging job full of both creative and technical issues to be solved. If you enjoy troubleshooting as part of the creative process, 3D animation might just be what you are after. In the film industry, it is a highly collaborative role as well. If you like sitting behind a computer in a slightly darkened room toiling away on iteration after iteration after iteration, then yes, 3D animation is a good job. It is also a job which will keep you learning and learning for decades. You will only be getting better and better. For me, I can’t think of anything else I’d rather be doing for a career. Is it easy? No. Continue Reading",2021-03-05T13:54:15.293Z,"Is 3d animation a good job? ",Quora
6042383bed76476feda20552,https://www.quora.com/What-is-multimedia-and-animation-course?-,"Multimedia and Animation is a highly focused and in-depth professional training qualification designed to prepare students for careers in various concentrations within the specialization of digital multimedia and animation. Here list of Multimedia and Animation programmes; B. Sc. (Design - Multimedia): Emphasis on sound theoretical grounding in principles and process of animation film making with extensive practical works, it enables proficiency in students to handle and deliver industry standard projects/output. B. Sc. (Design - Graphics): The programme provides graphic design skills for the em Continue ReadingMultimedia and Animation is a highly focused and in-depth professional training qualification designed to prepare students for careers in various concentrations within the specialization of digital multimedia and animation. Here list of Multimedia and Animation programmes; B. Sc. (Design - Multimedia): Emphasis on sound theoretical grounding in principles and process of animation film making with extensive practical works, it enables proficiency in students to handle and deliver industry standard projects/output. B. Sc. (Design - Graphics): The programme provides graphic design skills for the emerging dynamic digital world, which are relevant for print, packaging, education, and advertising industry B. Sc. (Design - Gaming): Emphasis on sound theoretical grounding in principles and process of game art and design with extensive practical works, it enables proficiency in students to handle and deliver industry standard projects/output. B. Design (Multimedia): Emphasis on sound theoretical grounding in principles and process of animation film making with extensive practical works, it enables proficiency in students to handle and deliver industry standard projects/output and offers a choice to specialize. B. Design (Graphics): Internationally accepted programme for global careers, which trains students in the domains of print, package design, UI design, motion graphics and environmental graphics. B. Design (Gaming): Game design is the art of applying design and aesthetics to create a game for entertainment or for educational, exercise, or experimental purposes. Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators. Top Colleges for multimedia and animation: National Institute of Design (NID)Lovely Professional University, JalandharLoyola Academy Degree & P G CollegeArena Animation, Mumbai Multimedia and Animation is a highly focused and in-depth professional training qualification designed to prepare students for careers in various concentrations within the specialization of digital multimedia and animation. Here list of Multimedia and Animation programmes; B. Sc. (Design - Multimedia): Emphasis on sound theoretical grounding in principles and process of animation film making with extensive practical works, it enables proficiency in students to handle and deliver industry standard projects/output. B. Sc. (Design - Graphics): The programme provides graphic design skills for the em Continue Reading",2021-03-05T13:55:07.734Z,"What is multimedia and animation course? ",Quora
60423862ed76476feda20571,https://www.quora.com/What-are-the-most-effective-3D-animation-softwares-to-use?-,"There are many great options for creating 3D animations. The two I have considered are Maya and Blender. I have not thoroughly tested Maya yet but from what I understand it has a full feature set of tools that make routine tasks simple. It is usually found in many studios that produce feature animations. The biggest hurdle for me is the cost. At $1500 for a yearly subscription, I prefer to stick with Blender. Blender is a full feature set of tools for developing production quality 3D animations. there is a lot of community support for Blender and many training videos on Youtube. There are some  Continue ReadingThere are many great options for creating 3D animations. The two I have considered are Maya and Blender. I have not thoroughly tested Maya yet but from what I understand it has a full feature set of tools that make routine tasks simple. It is usually found in many studios that produce feature animations. The biggest hurdle for me is the cost. At $1500 for a yearly subscription, I prefer to stick with Blender. Blender is a full feature set of tools for developing production quality 3D animations. there is a lot of community support for Blender and many training videos on Youtube. There are some complexities to Blender but nothing you can’t overcome. the best part about Blender is there is no cost. It is completely free and open source. If you are looking for an example of the type of work you can produce. check out my latest video. To see the progress of learning there are other videos that I made that are lesser quality.  3D animation will take time to figure out. I have spent more than a few hours trying to learn. No matter what technology you use for your videos learning is key. Make sure there is a solid community around the platform and easy to understand training is available. Good Luck! If you like this ansswer please upvote and follow me. There are many great options for creating 3D animations. The two I have considered are Maya and Blender. I have not thoroughly tested Maya yet but from what I understand it has a full feature set of tools that make routine tasks simple. It is usually found in many studios that produce feature animations. The biggest hurdle for me is the cost. At $1500 for a yearly subscription, I prefer to stick with Blender. Blender is a full feature set of tools for developing production quality 3D animations. there is a lot of community support for Blender and many training videos on Youtube. There are some  Continue Reading",2021-03-05T13:55:46.848Z,"What are the most effective 3D animation softwares to use? ",Quora
60423874ed76476feda20586,https://www.quora.com/Do-I-need-drawing-skill-for-3D-Animation-and-Visual-Effects-Diploma?-,"In one line my answer would be, - No, there is no need. It is not necessary that one has to draw well in order to make a career in 3D Animation and Visual Effects But if you go a little deep into it, then you will understand that 3D Animation and Visual Effects (which you may call CGI industry) is divided into several departments. And all of those different departments demands different skill sets from various artists. Now you see,- few departments like the rigging, lighting, rendering, stereoscopy etc will require zero to very minimum level of drawing skills from an artist. Whereas, on the othe Continue ReadingIn one line my answer would be, - No, there is no need. It is not necessary that one has to draw well in order to make a career in 3D Animation and Visual Effects But if you go a little deep into it, then you will understand that 3D Animation and Visual Effects (which you may call CGI industry) is divided into several departments. And all of those different departments demands different skill sets from various artists. Now you see,- few departments like the rigging, lighting, rendering, stereoscopy etc will require zero to very minimum level of drawing skills from an artist. Whereas, on the other hand, departments like the character animation, storyboarding, character designing, mat painting, texturing etc will require moderate to very high level of drawing skills from an artist. So, a correct answer to your question would be, whether you need to have drawing skill or not is totally based on the type of work you are planning to do. But there is no need to panic if you cant draw, as there are many positions in the CGI pipeline where you can fit yourself perfectly even without that skill.  Hope my answer helps you. Best of luck In one line my answer would be, - No, there is no need. It is not necessary that one has to draw well in order to make a career in 3D Animation and Visual Effects But if you go a little deep into it, then you will understand that 3D Animation and Visual Effects (which you may call CGI industry) is divided into several departments. And all of those different departments demands different skill sets from various artists. Now you see,- few departments like the rigging, lighting, rendering, stereoscopy etc will require zero to very minimum level of drawing skills from an artist. Whereas, on the othe Continue Reading",2021-03-05T13:56:04.667Z,"Do I need drawing skill for 3D Animation and Visual Effects Diploma? ",Quora
