"_id",job_link,answer,date,question,source
6041ea77ed76476feda1939a,https://www.quora.com/Which-is-the-best-agile-software-project-management-tool?-,"With so many agile project management tools available, it is easy to get caught up in comparing the nuances of one versus another. As you evaluate options, take the time to think about your agile goals. If your goal is to build a great product that your customers love, then you will need to look beyond optimizing your sprint process. Consider these questions: Do you need a cohesive way to set strategy and connect it with implementation?Are adaptive planning and rapid feedback key tenets of your agile process?Are you seeking to improve transparency and collaboration across your organization?If y Continue ReadingWith so many agile project management tools available, it is easy to get caught up in comparing the nuances of one versus another. As you evaluate options, take the time to think about your agile goals. If your goal is to build a great product that your customers love, then you will need to look beyond optimizing your sprint process. Consider these questions: Do you need a cohesive way to set strategy and connect it with implementation?Are adaptive planning and rapid feedback key tenets of your agile process?Are you seeking to improve transparency and collaboration across your organization?If your answer to these questions is yes, you need a tool that empowers you to set direction, communicate openly, and make informed decisions so that your team can deliver with confidence and speed. Aha! is the only tool that is purpose-built for agile product management. It enables you to set brilliant strategy, capture customer ideas, create visual roadmaps, and manage breakthrough marketing programs— all in one place. Set strategy  Create a vision of where you want your product to be in the future and who you are building it for. This helps you maintain focus as you define strategic goals and initiatives to move your product forward. Roadmap your plans  Create visual roadmaps to communicate your plans and show how you will achieve them. This level of transparency keeps everyone aligned around the execution and sets clear expectations about what to expect and when. Schedule releases  Agile comes down to three key elements: ship fast, ship quality, ship happy. Aha! makes it easy for cross-functional teams to collaborate on release activities and launch a complete product experience — on target. Organize your product backlog  Agile teams use the features board in Aha! to prioritize the backlog, define feature requirements, and plan sprints. Quickly create mockups and collaborate with your design team right within Aha! You can also integrate with engineering tools to ensure a seamless handoff as features move through the product life cycle. Sign up for a free 30-day trial of Aha! today and bring together all of your product management activities in one place. See how leading with strategy enables you to make better decisions so that the entire product team can focus on delivering value to your customers — faster. With so many agile project management tools available, it is easy to get caught up in comparing the nuances of one versus another. As you evaluate options, take the time to think about your agile goals. If your goal is to build a great product that your customers love, then you will need to look beyond optimizing your sprint process. Consider these questions: Do you need a cohesive way to set strategy and connect it with implementation?Are adaptive planning and rapid feedback key tenets of your agile process?Are you seeking to improve transparency and collaboration across your organization?If y Continue Reading",2021-03-05T08:23:18.862Z,"Which is the best agile software project management tool? ",Quora
6041ea8ced76476feda193b5,https://www.quora.com/What-is-agile-project-management?-,"Agile Project Management is a way by which a project may be managed by dividing it into several stages or sprints. Agile methodology allows teams to release segments of the project, that are completed. Agile Project Management process does not require a project manager to have central control. Agile Project Management has been adopted by several types of industries, such as software companies, product development, marketing campaigns, and even in construction companies.Let’s have a look at some reasons, that encourage industries to take up the Agile methodology: High product quality:High producContinue ReadingAgile Project Management is a way by which a project may be managed by dividing it into several stages or sprints. Agile methodology allows teams to release segments of the project, that are completed. Agile Project Management process does not require a project manager to have central control. Agile Project Management has been adopted by several types of industries, such as software companies, product development, marketing campaigns, and even in construction companies.Let’s have a look at some reasons, that encourage industries to take up the Agile methodology: High product quality:High product quality refers to the smooth working of the project, keeping into consideration the demands of all the stakeholders.To ensure high product quality testing is performed all through the project development process.The team performs regular check-ups to upgrade project quality.High customer satisfaction:The customer will have full knowledge of what is being done in the project.Continuous and fast deliveryCustomers may give changes at any point in the project.Reduced risk:The project is divided into sprints, so even if the risk is vulnerable in the first sprint, it will not affect the second sprint.Risk analysis is simultaneously done with other project processes.Easy adaptation to the client’s requirements all through the development phase.Better and faster ROI:The project is completed in several versions, so the project is market-ready after a few versions.Agile allows in the fast release of the project and helps stay ahead in competition with other companies.A project that took a long time to complete and deploy earlier can now be released as beta versions of the project.For more information on Agile project management you can refer to this video:  Hope this answers your query. Agile Project Management is a way by which a project may be managed by dividing it into several stages or sprints. Agile methodology allows teams to release segments of the project, that are completed. Agile Project Management process does not require a project manager to have central control. Agile Project Management has been adopted by several types of industries, such as software companies, product development, marketing campaigns, and even in construction companies.Let’s have a look at some reasons, that encourage industries to take up the Agile methodology: High product quality:High producContinue Reading",2021-03-05T08:23:40.894Z,"What is agile project management? ",Quora
6041ead3ed76476feda193fa,https://www.quora.com/Which-is-the-best-tool-so-far-for-Agile-Project-Management?-,"Oleg Kozemjakin I`ll go different way - IBM Rational Concert.  I admit that the tool has way to many of possibilities and it`s not limited to agile (it have waterfall, ASpice and other templates), and you`ll need killer integrator to get it working, but once it does... It`s more than just task manager. It has 4 major components: 1. RDNG - Module for requirements management (Includes import/export, dashboards, alerts, collaboration, approval cycles - inbound and outbound....) 2. RTC - Development work manager- Story Point estimations, categories and Joint view of multiple products if you are selling Solution for  Continue ReadingI`ll go different way - IBM Rational Concert.  I admit that the tool has way to many of possibilities and it`s not limited to agile (it have waterfall, ASpice and other templates), and you`ll need killer integrator to get it working, but once it does... It`s more than just task manager. It has 4 major components: 1. RDNG - Module for requirements management (Includes import/export, dashboards, alerts, collaboration, approval cycles - inbound and outbound....) 2. RTC - Development work manager- Story Point estimations, categories and Joint view of multiple products if you are selling Solution for example. Of course queries, multiple views and tones of out-of-the-box graphs. It also manages defects and can manage other work items like Risk,Impediments, Change Request....You can add work items and create workflows as you like. It also manages the teams and has few layers within the same project area - Program level, Project level, Group level and team level. Each one has members that can be managed till the point that you can split the resources to multiple projects - we use it for cross team functions like DBA, Architects, Quality Managers...)  3. RQM - QA world. Test specifications, runs, alerts,Dashboards. It also has APIs for GIT and external automation tools that can be aggregated and monitored along with manual testing. 4. RDDI/JRS - this is analytic module that allows you to create any query you like and display it graphically.  What I like and need from the tool is the monitoring but also tractability from each of the modules. For example, I can export one report that shows direct links from the requirement to User Story(es) and tasks to the exact tests that validated the story. If connected to git and to your build system,it can also show and manage the builds, create automatic diffs and even identify code convention violations if configured. We are now trying to connect it to our Dynamic Analysis system to get the results in. Now as I wrote - You really need strong DevOps of killer integrator to get it running. For us it took almost a year till (I had 2 DevOps eng.) we were able get it all inline, but we did have some org and methodology changes that made this harder.  With new version coming out soon - it will also have out-of-the-box module for Configuration Management. I would recommend it ONLY for large scale companies only that are managing multi team,multi product solutions. Smaller scale I love JIRA (that also can manage more then just task) and VersionOne.",2021-03-05T08:24:51.208Z,"Which is the best tool so far for Agile Project Management? ",Quora
6041eae6ed76476feda19410,https://www.quora.com/How-can-you-teach-yourself-agile-project-management?-,"It is definitely important to get familiar with some of the most popular methodologies and structures for agile project management. The most common methods include: ScrumKanbanScrumban (a hybrid of the above two)LeanAgile Unified ProcessAdaptive software developmentExtreme ProgrammingMost companies don’t embrace just one method, either. In keeping with the more flexible approach of agile workflows, they’ll usually utilize several based on what works best for their teams. You’ll also want to find a project management tool that incorporates agile workflow so you can learn as you go along. Some of  Continue ReadingIt is definitely important to get familiar with some of the most popular methodologies and structures for agile project management. The most common methods include: ScrumKanbanScrumban (a hybrid of the above two)LeanAgile Unified ProcessAdaptive software developmentExtreme ProgrammingMost companies don’t embrace just one method, either. In keeping with the more flexible approach of agile workflows, they’ll usually utilize several based on what works best for their teams. You’ll also want to find a project management tool that incorporates agile workflow so you can learn as you go along. Some of the best known include Asana, Trello, Jira, Basecamp, but all of these tools have certain limitations that make them difficult for larger teams to adopt. ClickUp provides a more flexible tool that is great for agile project management. It also has several features that you won’t find in the other platforms, including: Multiple Views (Board, Box, and List)Sprints with Lists: Sprints in ClickUp can be arranged by setting up lists under each project, and then they can be viewed as a board, box or list. Tags can be used if tasks need to be used in different sprints or lists and can then be filtered to view related tasks. For more tips on how to improve your agile project management skills, check out our blog here!: Agile Project Management: Save money, Time and Run Efficient Projects",2021-03-05T08:25:10.770Z,"How can you teach yourself agile project management? ",Quora
6041eb10ed76476feda1943e,https://www.quora.com/How-can-Trello-be-used-as-an-Agile-project-management-tool?-,"Susan Lynn Trello, like many other tools, is an excellent tool for a certain method of project management called Kanban. Trello is a Kanban board and there is a method of project management that utilized this pull/just in time methodology. In my opinion, it is not the best tool for Agile Project Management which capitalizes on sprints and releases. However, Kanban and Trello (in this case) is excellent for ongoing support situations, like a help desk or other support organization. Service, support or project requests come in to the backlog, they are prioritized and then “pulled” forward based on the colu Continue ReadingTrello, like many other tools, is an excellent tool for a certain method of project management called Kanban. Trello is a Kanban board and there is a method of project management that utilized this pull/just in time methodology. In my opinion, it is not the best tool for Agile Project Management which capitalizes on sprints and releases. However, Kanban and Trello (in this case) is excellent for ongoing support situations, like a help desk or other support organization. Service, support or project requests come in to the backlog, they are prioritized and then “pulled” forward based on the column limits set by the board as requests are completed. It can, however, be modified for Agile by setting up the following columns: backlog, next sprint, current sprint, in progress, testing, complete and release. You can then, treat it as a push tool and track the tasks within each sprint and release before archiving. There are, however, excellent tools designed for this specifically - JIRA and Pivotal Tracker come to mind immediately. Best of luck! Continue Reading",2021-03-05T08:25:52.784Z,"How can Trello be used as an Agile project management tool? ",Quora
6041eb31ed76476feda19466,https://www.quora.com/What-are-some-good-books-on-Agile-Product-Management?-,"I recommend this book for you > > > > > Agile Product Management: Product Owner In this class, you will be given a multitude of proven tips to effectively create a product and work with scrum teams. I am confident that this class will enable you to learn a multitude of skills since it starts by giving you a full introduction to the concept of scrum and agile product development, scrum and agile principles and a host of other valuable information that will give you a full understanding of the topic. I then walk you through the process of understanding your role as a product owner, how your role d Continue ReadingI recommend this book for you > > > > > Agile Product Management: Product Owner In this class, you will be given a multitude of proven tips to effectively create a product and work with scrum teams. I am confident that this class will enable you to learn a multitude of skills since it starts by giving you a full introduction to the concept of scrum and agile product development, scrum and agile principles and a host of other valuable information that will give you a full understanding of the topic. I then walk you through the process of understanding your role as a product owner, how your role differs from that of a traditional product manager, how to create products and a lot more. Once you’ve learnt all that, I will then give you valuable tips for effectively creating a product and working with teams. As you go through the class, you will come across a wide range of practical examples that you can use to understand the scrum framework a lot better. To break this class into easy to digest parts, you will learn: A brief recap of agile and scrum, its principles and other concepts involved in scrum What your job as a product owner entails and how your work differs from that of a typical product manager How to create a product using the scrum framework How product creation in scrum differs from other agile frameworks like the Waterfall method. How to create a product roadmap 27 tips that you can follow to create your product and to manage your scrum team So let’s get started and let me teach you how to improve product backlog management. Table of Contents Agile Product Management: Product Owner 27 Tips To Manage Your Product And Work With Scrum Teams Introduction Scrum Methodology: The Basics What Is Agile? What Is Scrum? Sprints Scrum Team (Also Referred To As The 3 Roles In Scrum) Scrum Ceremonies Scrum Artifacts Principles to remember Agile Product Owner: A Deep Understanding What Is A Product Owner? Traditional Product Development vs Scrum Product Development How Is The Product Owner Different From A Traditional Product Manager? A Day In The Life Of A Product Owner (Including Typical Stakeholders) What Is A Product Roadmap? How Does A Product Roadmap Help You Build Products? Key Principles To Use When Carrying Out The Role Of The Product Owner How To Create A Product Using The Scrum Framework Tips To Effectively Create A Product Be as available as possible Know your product Be empowered without dictating Practice humility Be prepared Learn to communicate Be reasonable but fun Know your role and those of the others Instill Focus Stay on top of incomplete work Practice the principle of less is more Work closely with your team Make your priorities strict Do not include un-necessary features Encourage your team to finish what they start If your team asks,assist them Respect your team’s space Make sure user stories are clear and concise Show your scrum master you value him/ her Make responsible decisions Build good relationships with your stakeholders ...and more... I recommend this book for you > > > > > Agile Product Management: Product Owner In this class, you will be given a multitude of proven tips to effectively create a product and work with scrum teams. I am confident that this class will enable you to learn a multitude of skills since it starts by giving you a full introduction to the concept of scrum and agile product development, scrum and agile principles and a host of other valuable information that will give you a full understanding of the topic. I then walk you through the process of understanding your role as a product owner, how your role d Continue Reading",2021-03-05T08:26:25.113Z,"What are some good books on Agile Product Management? ",Quora
6041eb78ed76476feda194b5,https://www.quora.com/How-do-I-get-started-on-a-agile-project-management?-,"There are many methodologies in agile project management and lots of good advice on quora how to apply them. My current personal preference for managing an agile project is the following. Write the user stories and acceptance criteria to understand the stakeholder and customer teams requirementsOliver Dolan's answer to Who are your stakeholders in Agile projects?Oliver Dolan's answer to How do you define a ""feature"" of a software precisely and effectively?Oliver Dolan's answer to How do I write good user stories and acceptance criteria for web based project?Think about the tools to useOliver DolContinue ReadingThere are many methodologies in agile project management and lots of good advice on quora how to apply them. My current personal preference for managing an agile project is the following. Write the user stories and acceptance criteria to understand the stakeholder and customer teams requirementsOliver Dolan's answer to Who are your stakeholders in Agile projects?Oliver Dolan's answer to How do you define a ""feature"" of a software precisely and effectively?Oliver Dolan's answer to How do I write good user stories and acceptance criteria for web based project?Think about the tools to useOliver Dolan's answer to What is the best way to apply SCRUM principles for an open source project?Oliver Dolan's answer to What tools are designers using for scoping new projects?Identify and notify the people involved of the risk and problems the teams are likely to faceOliver Dolan's answer to What problems did you face when your organization transitioned into an agile way of working?If required create a risk backlog and document accordinglyBuild the value stream mapLook for obvious things that will cause delays etc..Oliver Dolan's answer to What is agile business?Oliver Dolan's answer to What is the best way to improve corporate agility?Prioritize the user stories and slice them into manageable deliverable’s and MVP’sDefine out what is required for each incrementCompile a release plan based on the prioritiesWhat is a minimum viable product?Identify the areas of concern for the teams involvedLook to split responsibilities so that:Teams can work independently and without delaying eachAvoid large amounts of task switchingAllow people to enter a “flow” state: How do YOU reach your 'flow' state?Oliver Dolan's answer to How do I adopt agile in loosely coupled API-client projects?Start your iterationsYou have your MVP’s and value stream map now start to do the work and co-ordinate with your project manager.How do you manage your coding time when working in agile sprints?Oliver Dolan's answer to What core technical skills are needed by an Agile Project Manager?Wireframe the GUI and show to stakeholders early! (very important)Test your developmentsMake sure that your work meets the acceptance criteriaFulfills the user storiesPasses your definition of doneOliver Dolan's answer to What should be the profile of an Agile tester?Demonstrate your progressGive product demonstration to your stakeholders and customersTake feedback and compile into new user stories for prioritizationOliver Dolan's answer to What do you say when your program does not work while presenting?Review your progressTry to avoid burnout of your teamOliver Dolan's answer to How can a hack or sprint culture be instilled within a development team without risking burnout?Try different retrospective techniquesUpdate the backlog with improvement itemsListen to everyone involved for ideasApply rework and re-planning as requiredYour knowledge will have increased after an iteration you should now update your plans and estimations.Oliver Dolan's answer to How do I calculate the rework effort in Agile?Provide the deliverable externally from the teams, for example:Send to DevOps for deployment to productionRelease to customers etc..Get back to work on your next iterationDont celebrate too long get back to it and deliver better next time around.This is just an overview of how I run my agile projects but using a simple outline like this should give you some pointers in the right direction. Hopefully this helps Good Luck Oliver Dolan There are many methodologies in agile project management and lots of good advice on quora how to apply them. My current personal preference for managing an agile project is the following. Write the user stories and acceptance criteria to understand the stakeholder and customer teams requirementsOliver Dolan's answer to Who are your stakeholders in Agile projects?Oliver Dolan's answer to How do you define a ""feature"" of a software precisely and effectively?Oliver Dolan's answer to How do I write good user stories and acceptance criteria for web based project?Think about the tools to useOliver DolContinue Reading",2021-03-05T08:27:36.318Z,"How do I get started on a agile project management? ",Quora
6041ebbced76476feda194fb,https://www.quora.com/What-is-a-good-tool-for-Agile-project-management-for-small-teams?-,"It can be hard to choose a project management solution for a business. You might not have any knowledge about the market and you can end up choosing software that doesn’t suit your needs. To help you with this problem GetApp released a complete list of things to consider when choosing the right project management solution for your business. It’s also worth having a quick look at this new ranking for the for Project Management solutions before making a final decision. Personally, I would recommend Wrike, Zoho Projects and Wimi. All these apps are adapted to small teams, they’re affordable and they Continue ReadingIt can be hard to choose a project management solution for a business. You might not have any knowledge about the market and you can end up choosing software that doesn’t suit your needs. To help you with this problem GetApp released a complete list of things to consider when choosing the right project management solution for your business. It’s also worth having a quick look at this new ranking for the for Project Management solutions before making a final decision. Personally, I would recommend Wrike, Zoho Projects and Wimi. All these apps are adapted to small teams, they’re affordable and they left a great impression on their users. Click here to access to the full side by side comparisons of these 3 solutions.  Wrike is a management and collaboration application that gives its users real time insights on their projects. By using Wrike, you’ll make your day to day work much easier while also making it more transparent. The solution is used like a centralized platform for all your projects where you can assign tasks to team members, keep an eye on the schedules, store files and discuss with your team. Wrike has a streaming activity feeds similar to facebook, but populated by tasks assigned or tasks created by employees. The feed can be filter to just show the new tasks affiliated to your department. Users can leave comments to share their point of views on any item on their feed. In addition the cloud based solution uses Dynamic Gantt charts to display projects in real time. Wrike automatically converts projects schedules into interactive charts, and it informs your team with notifications every time a change has been made. Wrike also provides its users with a time tracking tool that lets you track the minutes and hours spent on a task. Then you can create powerful reports based on the time spent working on projects. Click here to access to the list of integrations that Wrike provides.  Wrike has a starting price of $49 per month. Click here to see what users said about the app.You can also access to a 2 minutes summary video of Wrike directly on GetApp.  Zoho Projects is a project management and collaboration tool for small and mid-sized businesses. The application lets you organize all content related to projects in a central platform that is accessible for everyone in the company. Zoho Projects lets its users create list of tasks in every projects. These tasks can be assigned to any team member. If a task can’t be completed until another task is completed, managers can set up a dependency to link these two tasks. Besides the application let you associate any document to a specific tasks. Zoho also has an interactive forum that enable you to better collaborate with the totality of the company employees. Team members can post topics, and Zoho Projects will notify any team members who may be interested. The solution also helps its users make informed decisions about the projects by providing dashboards on the project progress and a reporting tool to prepare business reports. Here’s the list of all the integrations that Zoho Projects provides.  Zoho has a starting price of $25 per month. Click here to see what users said about the app.  Wimi is a project collaboration tool for small businesses. In fact 44% of Wimi users are companies with 1 to 10 employees. The application improves your team collaboration to ultimately work faster and better on your projects. Wimi lets its users associate files, link, pictures and comments in the projects platform. You can also communicate with a live chat with all your team members. Tasks and to-do-lists can be created within a project and assigned to employees, and deadlines can be associated to these. The solution also displays a calendar where you can instantly see milestones and deadlines of every projects. Deadlines, meeting and reminders can be set up very easily from the calendar itself. In addition Wimi provides its users with a video call feature that lets you make unlimited audio and video calls from the app. The feature enable you to share your screen and to invite participants very easily. Wimi can also generate powerful reports on your project progression, on the team performance and on the workload. It also estimates the time your project will be completed based on the average team performance. Click here to see the list of integrations that Wimi provides.  Wimi has a starting price of $8 per month You can check what users said about the solution directly on GetApp.  You might also be interested by this Top 20 Agile Project Management Influencers. It can be hard to choose a project management solution for a business. You might not have any knowledge about the market and you can end up choosing software that doesn’t suit your needs. To help you with this problem GetApp released a complete list of things to consider when choosing the right project management solution for your business. It’s also worth having a quick look at this new ranking for the for Project Management solutions before making a final decision. Personally, I would recommend Wrike, Zoho Projects and Wimi. All these apps are adapted to small teams, they’re affordable and they Continue Reading",2021-03-05T08:28:44.599Z,"What is a good tool for Agile project management for small teams? ",Quora
6041ebeced76476feda19533,https://www.quora.com/How-is-agile-project-management-different-from-traditional-project-management?-,"The easiest difference between the two is that with traditional, you are pursuing a known end state or deliverable and change is generally undesirable, so change management processes are instituted so that the processes leading to the deliverable are controlled so that the expected end state or as close to expected as possible is the output. In agile, you accept that you don’t know what the end state is except possibly in some broad concept, but certainly not all the specifications. Ongoing communication must take place in agile to ensure you are constantly in synch with the process owner and  Continue ReadingThe easiest difference between the two is that with traditional, you are pursuing a known end state or deliverable and change is generally undesirable, so change management processes are instituted so that the processes leading to the deliverable are controlled so that the expected end state or as close to expected as possible is the output. In agile, you accept that you don’t know what the end state is except possibly in some broad concept, but certainly not all the specifications. Ongoing communication must take place in agile to ensure you are constantly in synch with the process owner and stakeholders so that you can prioritize your backlog of features and produce minimally viable deliverables in iterations, gathering customer feedback as you go and integrating that into the backlog and prioritizing them for future iteration deliveries. Agile got its start in the software development industry, so if you think of software version releases, you’ll get a better understanding of how iterative releases are done, but such an approach isn’t limited to software. It’s now being done in a multitude of applications. Nevertheless, don’t look at this as agile is “new and improved” project management and traditional is “old and dead”. It depends on what the deliverable is, the organizational culture, stakeholder communications, project team knowledge of agile processes, etc before deciding which approach to use. Hope this helps. However, know that agile doesn’t fix everything. If you have a chaotic environment where communications are poor, you don’t have corporate leadership support, the project is underfunded, or has unrealistic schedule or performance requirements, no approach will fix that. The easiest difference between the two is that with traditional, you are pursuing a known end state or deliverable and change is generally undesirable, so change management processes are instituted so that the processes leading to the deliverable are controlled so that the expected end state or as close to expected as possible is the output. In agile, you accept that you don’t know what the end state is except possibly in some broad concept, but certainly not all the specifications. Ongoing communication must take place in agile to ensure you are constantly in synch with the process owner and  Continue Reading",2021-03-05T08:29:32.832Z,"How is agile project management different from traditional project management? ",Quora
6041ec01ed76476feda1954b,https://www.quora.com/What-is-the-difference-between-a-project-management-tool-and-an-agile-project-management-tool?-,"Conventional project management tools such as Microsoft Project are oriented around a traditional, plan-driven approach to project management.  The emphasis is on planning and control of the project scope through following a fairly well-defined plan and controlling changes to the plan. Agile Project Management tools are designed around a much more adaptive approach to project management with less emphasis on planning and control and more emphasis on taking a dynamic and adaptive approach to maximize the value that you deliver in a much more uncertain environment. -  Conventional project manageme Continue ReadingConventional project management tools such as Microsoft Project are oriented around a traditional, plan-driven approach to project management.  The emphasis is on planning and control of the project scope through following a fairly well-defined plan and controlling changes to the plan. Agile Project Management tools are designed around a much more adaptive approach to project management with less emphasis on planning and control and more emphasis on taking a dynamic and adaptive approach to maximize the value that you deliver in a much more uncertain environment. -  Conventional project management tools are generally oriented around defining the *structure* of how the work is done in a project using such things as Gantt charts, Pert charts, Work Breakdown Structures, etc.   -  With Agile Project Management tools, the structure of how the work is done is significantly simplified by using more of a continuous flow model and isn't as relevant because you generally may not know enough about the project upfront to define the structure. In a nutshell, the key difference is Agile project management tools are primarily focused on managing flow to optimize efficiency in a very dynamic environment where traditional project management tools are primarily focusing on defining and controlling the scope and structure of the way the work is done in a much less dynamic environment. Chuck CobbAuthor of ""The Project Manager's Guide to Mastering Agile""Check out my free online training at http://agileprojectmanagementacademy.com/ Conventional project management tools such as Microsoft Project are oriented around a traditional, plan-driven approach to project management.  The emphasis is on planning and control of the project scope through following a fairly well-defined plan and controlling changes to the plan. Agile Project Management tools are designed around a much more adaptive approach to project management with less emphasis on planning and control and more emphasis on taking a dynamic and adaptive approach to maximize the value that you deliver in a much more uncertain environment. -  Conventional project manageme Continue Reading",2021-03-05T08:29:53.471Z,"What is the difference between a project management tool and an agile project management tool? ",Quora
