"_id",job_link,answer,date,question,source
604233c3ed76476feda20243,https://www.quora.com/What-is-the-career-name-for-someone-who-edits-the-audio-of-either-cartoons-or-music?-,,2021-03-05T13:36:03.701Z,"What is the career name for someone who edits the audio of either cartoons or music? ",Quora
604233e6ed76476feda20259,https://www.quora.com/Can-you-make-a-living-editing-podcasts?-,"Yes, one can definitely make a living out of it.As often people ( podcast hosts) struggle with the editing part, be it only audio editing or video editing.As the podcast industry is booming right now, hence editing them can be a great career option.",2021-03-05T13:36:38.727Z,"Can you make a living editing podcasts? ",Quora
60423412ed76476feda20273,https://www.quora.com/Teaching?-To-public-school-teachers:-Whats-the-best-and-worst-movie-depicting-the-teaching-life?-,"Most Viewed Writers David Thomas A fifth grade girl wrote a “story.” It was about a girl who was very unhappy and thinking of killing herself. Then she described the girl, and the description was of herself. The fictional girl even had the same birthdate. She ended the “story” by saying that she had talked the girl into not taking h (more)",2021-03-05T13:37:22.406Z,"As a teacher, has a student's work ever made you concerned for their safety? ",Quora
60423479ed76476feda202a7,https://www.quora.com/How-should-a-new-college-graduate-discuss-salary-with-job-prospects-despite-limited-experience?-,"I’m not quite sure what you mean by this question and would really require more contextual information to provide a satisfactory answer. Let’s make a few assumptions, for the sake of constructing some scenarios and starting a discussion: If you are responding to an advertisement and are one of many applicants, it’s likely that the position has an advertised salary and there are many applicants for the job. In those circumstances, your bargaining position, given the choice available to the employer is relatively weak and there is likely a benchmark for salary levels within your industry, experienContinue ReadingI’m not quite sure what you mean by this question and would really require more contextual information to provide a satisfactory answer. Let’s make a few assumptions, for the sake of constructing some scenarios and starting a discussion: If you are responding to an advertisement and are one of many applicants, it’s likely that the position has an advertised salary and there are many applicants for the job. In those circumstances, your bargaining position, given the choice available to the employer is relatively weak and there is likely a benchmark for salary levels within your industry, experience level and location however, should you make it through the selection process, down to the shortlist of the final few candidates, it’s always possible to have a conversation before the offer letter is issued, to ask for some leeway on either salary, benefits or both.If you are approaching firms directly and prospecting for a job that they have not advertised for, it’s likely that you might well be applying for a position on their graduate scheme, in which case again, there will be standardised conditions similar to my first point.If you are approaching firms directly and prospecting for a position outside the scope of any form of graduate scheme, my advice would be to hold off any discussion about salary and benefits until both yourself and the employer understand whether you are both a fit for each other and then have a reasonably well calculated and considered basis for your level of salary and benefits that you are requesting, with comparative information about similar roles that you have researched from the marketplace. Bear in mind the cost to the employer in terms of training you to perform the role - both in terms of courses and significant amounts of time spent with onntje job training. Once you are trained up and competent, you are worth more in the marketplace and they are investing in you.If you are already in a job and are looking for a raise, again research either within your firm or across the marketplace, with regard to your level of competence and performance, will help you benchmark yourself against the marketplace in terms of salary and benefits, to enable you to have a meaningful conversation about how you are placed and what your prospects are for salary progression in what specific timeframe.I would say that your question lacked any form of specifics or detail and any pitch you make for a salary or a raise would benefit from having more structure and factual information, combined with a logical reason for the package you are proposing. I hope that helps and bet of luck! I’m not quite sure what you mean by this question and would really require more contextual information to provide a satisfactory answer. Let’s make a few assumptions, for the sake of constructing some scenarios and starting a discussion: If you are responding to an advertisement and are one of many applicants, it’s likely that the position has an advertised salary and there are many applicants for the job. In those circumstances, your bargaining position, given the choice available to the employer is relatively weak and there is likely a benchmark for salary levels within your industry, experienContinue Reading",2021-03-05T13:39:05.385Z,"How should a new college graduate discuss salary with job prospects despite limited experience? ",Quora
604234d6ed76476feda202dc,https://www.quora.com/How-do-I-get-into-animation?-,"Frederik Villumsen I agree with the other answer - find out with yourself what you want animation to be in your life and then plan accordingly. There is so much knowledge online about animating now, tutorials and so many great schools both on location and online to choose from. The application processes can be steep though so research requirements well and put down a plan for how to get accepted. I think the number one advice here is: try to animate something! Explore - have fun :) There is free software available for both drawn and CG animation - try both and see how you like it. They can each be a great amplifier Continue ReadingI agree with the other answer - find out with yourself what you want animation to be in your life and then plan accordingly. There is so much knowledge online about animating now, tutorials and so many great schools both on location and online to choose from. The application processes can be steep though so research requirements well and put down a plan for how to get accepted. I think the number one advice here is: try to animate something! Explore - have fun :) There is free software available for both drawn and CG animation - try both and see how you like it. They can each be a great amplifier to the other.Even just trying to animate something simple on a small stack of papers can get you going. I’ve seen many friends from school and peers think animation is what they wanted, but stray off to other crafts in the pipeline or find a greater love for drawing rather than animating - and animation is not drawing. You might be using your drawing skills to animate to some extend, but animation is depicting movement and emotion through observation both internally and externally - the better draughtsman you are, the cooler your animations will look or they will look great sooner - animation is the underlying motion and emotion - then some design is put on to make it more digestible for an audience and to tell a story :) Hope you find your way there Continue Reading",2021-03-05T13:40:38.074Z,"How do I get into animation? ",Quora
60423521ed76476feda2030a,https://www.quora.com/Should-I-buy-my-son-a-gaming-PC?-,"John B. Anderson, IT Consultant, PC Integrator, 20+ Years in IT and Gaming.Answered 2 years ago · Author has 4K answers and 5.2M answer views John B. Anderson Pros: PC Gamers can be professionals.If you build it together you’ll learn the ins and outs of it and could be a valuable skill. (Career skills)Cost of Ownership A PC has a higher introductory cost but in the long run is cheaper than a Console.Depending on what interests your child has they may learn how to program, etc. (Another Career)Desktop/Tower PC’s only buying a laptop will negate several potential skills and reduce actual value of the unit as a gaming system. (Laptops are ~%30 slower than their desktop similarly named components).Can be used for more than gaming and is likely better thaContinue ReadingPros: PC Gamers can be professionals.If you build it together you’ll learn the ins and outs of it and could be a valuable skill. (Career skills)Cost of Ownership A PC has a higher introductory cost but in the long run is cheaper than a Console.Depending on what interests your child has they may learn how to program, etc. (Another Career)Desktop/Tower PC’s only buying a laptop will negate several potential skills and reduce actual value of the unit as a gaming system. (Laptops are ~%30 slower than their desktop similarly named components).Can be used for more than gaming and is likely better than some generic desktop/laptop (Homework, Programming, Video Editing, Audio Editing, DJ, Karaoke, etc.)Cons: High upfront cost over a console.Not as portable as a laptop/console. (Building in a MATX/ITX case are pretty portable though).Uses more electricity than a laptop/console.Weigh your pro’s and cons. Figure out what types of gaming they’ll use. If they’re big fans of retro gaming or web games that a Phone can handle then getting a Chromebook or comparable system maybe better. A standard Entry level gaming system would be: Monitor - 1920x1080 ~60–75hz CPU: a Ryzen 5/or an Intel i5 (6XXX+). GPU: GTX 1050/RX550/GTX 1050Ti/RX560 (One of these) Storage: 2TB HDD on the low end. If you can budget a cheap SSD for the OS and essential applications (Browser, Office suit like Libre Office/Open Office/MS Office). ~500 Watt PSU I’d recommend not getting a PC with less than 6 USB ports. With at least 4 having USB3.0 (for VR). Granted for VR you’d want a GTX 1060/RX570 GPU at low end. ATX Case (MATX). (MATX-ATX are form-factors aka standard sizes).",2021-03-05T13:41:52.889Z,"Should I buy my son a gaming PC? ",Quora
6042358eed76476feda20347,https://www.quora.com/Is-John-Ford-really-the-king-of-Western-Films?-,"John Ford was an extraordinary film maker, and one of my favorites. In a career of more than 50 years, Ford directed more than 140 films, and he is widely regarded as one of the most important and influential filmmakers of his generation. He made frequent use of location shooting and long shots, in which his characters were framed against a vast, harsh, and rugged natural terrain. Ford had elaborate sets built in California, a film location ranch most closely associated with serials and B-Westerns, which would become, along with Monument Valley, one of the director's preferred backdrops and a site to which Ford would return in the next few years for Stagecoach, The Grapes of Wrath, and his John Wayne cavalry trilogy. Stagecoach was the first of many Westerns that John Ford shot in black and white using Monument Valley in the American southwest as a location and background. Many of Ford’s later films would be in color. No director of the sound era made as many great films more quickly than Ford did when he followed Stagecoach with three nominations and two Oscars for directing before the end of World War II. The film has a fair claim to be the most influential Western ever made. The 1939 version of Stagecoach was deemed culturally and historically significant by the Library of Congress and selected for preservation in its National Film Registry. Seen today, Stagecoach may not seem very original. That's because it influenced countless later Western movies and remakes in which a mixed bag of characters are thrown together by chance and forced to survive an ordeal. The genre, known as an “ensemble movie” at times plays like an anthology of timeless clichés, yet the personal interaction of real people in the Old West often brought together such groups with diverse backgrounds and diametrically opposed goals.  Incident near Square Butte — Russell Ford consciously attempted to duplicate on film the artwork of Frederic Remington and Charles M. Russell. From the great settlement era and the end of the Indian wars in the West of the 1880s until Remington’s death in 1909, and Russell’s in 1926, the artists’ paintings, sculptures and illustrations captured the soul of the changing frontier.  Arresting a Deserter — Remington Except Remington and Russell, no other artist had greater influence on Western film director John Ford than Charles Schreyvogel, who in the 1890s and 1900s painted some of the most popular, realistic action paintings of the American Indian wars.  Breaking through the Line — Schreyvogel, Russell actually spent a great deal of time in Southern California and became a close friend of many Hollywood producers, directors and actors, including Ford, Will Rogers and Harry Carey Sr., who built the Montana artist an adobe cabin at his Los Angeles-area ranch. Ford, who became a friend of Russell’s through Carey, was greatly inspired by the art of Russell, Remington and Charles Schreyvogel, as were many others in Hollywood. Western artists strongly influenced film directors and their production designers, from the earliest silent horse-operas to the most recent big-budget Western films and television series. See: Amazon.com: A Gentlemen's Guide to Style and Self-Defense in the Old American West: Traditional American History Series, Book 14 (Audible Audio Edition): James M. Volo PhD, Dan Orders, James M. Volo: Audible Audiobooks 13",2021-03-05T13:43:42.274Z,"Is John Ford really the king of Western Films? ",Quora
604235f2ed76476feda2038b,https://www.quora.com/What-tennis-skill-improves-most-from-watching-a-tennis-match-in-general?-,Questions 5,2021-03-05T13:45:22.295Z,"What tennis skill improves most from watching a tennis match in general? ",Quora
60423658ed76476feda203e4,https://www.quora.com/What-do-Libertarians-think-of-Ludwig-Von-Mises-supporting-fascism?-,"“What do Libertarians think of Ludwig Von Mises supporting fascism?” He didn’t. You might as well ask, “What do you think of Socialists looking at a lifetime of scholarly works, seminars, books, and articles, and finding ONE SENTENCE which, if isolated from the sentence which followed it, can be used to smear a life-long anti-fascist?” Personally, I think anyone who brings this up deserves the foolish reputation they’re going to get as a sloppy thinker. Read the whole quote: It cannot be denied that Fascism and similar movements aiming at the establishment of dictatorships are full of the best int Continue Reading“What do Libertarians think of Ludwig Von Mises supporting fascism?” He didn’t. You might as well ask, “What do you think of Socialists looking at a lifetime of scholarly works, seminars, books, and articles, and finding ONE SENTENCE which, if isolated from the sentence which followed it, can be used to smear a life-long anti-fascist?” Personally, I think anyone who brings this up deserves the foolish reputation they’re going to get as a sloppy thinker. Read the whole quote: It cannot be denied that Fascism and similar movements aiming at the establishment of dictatorships are full of the best intentions and that their intervention has, for the moment, saved European civilization. The merit that Fascism has thereby won for itself will live on eternally in history. But though its policy has brought salvation for the moment, it is not of the kind which could promise continued success. Fascism was an emergency makeshift. To view it as something more would be a fatal error. Liberalism: In the Classical Tradition | Ludwig von Mises 1927 At the time this was written, 1927, Fascism was Mussolini's ad-hoc patchwork of programs. It was not yet Nazi military dictatorship. “Liberalism” was also NOT A BOOK ABOUT FASCISM. If you want Mises’ opinion on Fascism, read his book about fascism: Omnipotent Government: The Rise of the Total State and Total War | Ludwig von Mises To paraphrase Mises, to look only at one sentence would be a fatal error, an error the person asking this question is making. Mises wrote in a pattern of “example” followed by “refutation”. It’s not a pattern often seen in other’s writings, or for that matter most writing in English. As such, if you tried hard enough, you would find plenty of times Mises presents the case “for” something which he then refutes. Today, this is called “Iron Man” argumentation, or “Steel-manning”. Iron Man vs. Straw Man: Why You Should Build Strong Arguments for Ideas You Disagree With Sloppy sloppy sloppy. And after seeing this so often, I can only conclude, the sloppiness is deliberate. “What do Libertarians think of Ludwig Von Mises supporting fascism?” He didn’t. You might as well ask, “What do you think of Socialists looking at a lifetime of scholarly works, seminars, books, and articles, and finding ONE SENTENCE which, if isolated from the sentence which followed it, can be used to smear a life-long anti-fascist?” Personally, I think anyone who brings this up deserves the foolish reputation they’re going to get as a sloppy thinker. Read the whole quote: It cannot be denied that Fascism and similar movements aiming at the establishment of dictatorships are full of the best int Continue Reading",2021-03-05T13:47:04.461Z,"What do Libertarians think of Ludwig Von Mises supporting fascism? ",Quora
60423670ed76476feda203f7,https://www.quora.com/What-is-media-production?-What-can-I-do-with-this-degree-in-the-future?-,"Kabeer HM, former Entrepreneur Answered 11 months ago · Author has 65 answers and 23.1K answer viewsWhat is the difference between film production and media production? Kabeer HM Film Production takes a team.Film producers know that they cannot accomplish the mass scope of planning, storyboarding, casting, location scouting, lighting, filming, directing, and the post-production process of color grading, sound design and final retouching alone. More often than not if you’re working with a Filmmaker, you’re also working with their team members at various points along the journey. Though the Filmmaker may hold the big picture of the client’s vision, film production cannot be accomplished without a team of professional equals who are in-sync.  A media production company is r Continue Reading Film Production takes a team.Film producers know that they cannot accomplish the mass scope of planning, storyboarding, casting, location scouting, lighting, filming, directing, and the post-production process of color grading, sound design and final retouching alone. More often than not if you’re working with a Filmmaker, you’re also working with their team members at various points along the journey. Though the Filmmaker may hold the big picture of the client’s vision, film production cannot be accomplished without a team of professional equals who are in-sync.  A media production company is responsible for everything from the initial concept of the project to completion. The company helps with the concept, scripting, scheduling, casting and more. They supervise filming and keep projects on point. They are in the business of getting the project from start to finish – and ensuring client satisfaction. Media production means the making of a motion picture, television show, video, commercial, Internet video, or other viewable programming provided to viewers via a movie theater or transmitted through broadcast radio wave, cable, satellite, wireless, or Internet. Media production companies can also organise staff, production, distribution, and even marketing. Budgeting is an essential aspect of good media production and in today’s competitive climate, cost-effective production techniques are important to most clients.",2021-03-05T13:47:28.792Z,"What is media production? ",Quora
