"_id",job_link,answer,date,question,source
6041f662ed76476feda1a2af,https://www.quora.com/How-should-UX-designers-and-data-visualization-experts-work-together?-,"I am primarily a UX designer and one who specializes in information/data visualization. Here’s how I work with data visualization experts. The data visualization experts I’ve worked with are primarily data scientists. Scientific accuracy, exploration and identification of interesting and valuable data is the focus. While they are researching data, I am researching users. Then we work together to define parameters of data fidelity, architectures and user needs. What can we remove without degrading accuracy while improving clarity? This is where prototyping can be extremely valuable. Sampling data Continue ReadingI am primarily a UX designer and one who specializes in information/data visualization. Here’s how I work with data visualization experts. The data visualization experts I’ve worked with are primarily data scientists. Scientific accuracy, exploration and identification of interesting and valuable data is the focus. While they are researching data, I am researching users. Then we work together to define parameters of data fidelity, architectures and user needs. What can we remove without degrading accuracy while improving clarity? This is where prototyping can be extremely valuable. Sampling data, charting and getting user feedback is an effective iterative approach. While both fields are vast and bleed into one another it is not possible to say there is *one* way to work together effectively. Communication is key. As a designer it is important for me to know enough about data visualization to effectively communicate, addressing strategic and tactical design issues. Educating those I work with about UX design help identify common project goals. No one is an expert at all things but when you collaborate, understanding the big picture (both sides) is key. Having said all that, one difference might be in how each defines success: User Experience designer: efficiency, effectiveness; Data Visualization Expert: accuracy, novelty. It would be nice to hear more from the scientific visualization community as well.",2021-03-05T09:14:09.940Z,"How should UX designers and data visualization experts work together? ",Quora
6041f675ed76476feda1a2cd,https://www.quora.com/Who-are-some-of-the-very-best-data-visualization-experts-in-Chicago?-,,2021-03-05T09:14:29.123Z,"Who are some of the very best data visualization experts in Chicago? ",Quora
6041f688ed76476feda1a2f1,https://www.quora.com/How-do-we-become-a-data-visualization-expert?-,"I consider Data Visualization as a way to communicate your findings. With this simple approach, you can become an expert, and your demand in the market can go up. In today’s world of Data science, complex black-box algorithms, cloud computing one is missed by Top management of the company is easy to understand actionable insights and a person capable to do that. Obviously, such a person needs to poses the mindset of a Business Analyst and skill of a Visual Artist. If you can bring Actionable insight from complex data & communicate from your simple charts across domains (Sales, Operations & Finance ), across Industries (Retail, Banking & Manufacturing ) you are way ahead than others. In a nutshell, to become Visualization expert you have to Think like a Business AnalystVisualize like an artistCommunicate like a StorytellerAlso, keep it simple. No one likes to solve a piece of the puzzle. Industry wants you to solve it and present your findings. Here’s an example  Thank you Bhushan Ikhar | My Thoughts https://www.linkedin.com/in/ikharbhushan/",2021-03-05T09:14:48.622Z,"How do we become a data visualization expert? ",Quora
6041f706ed76476feda1a3bd,https://www.quora.com/What-is-the-future-job-market-for-data-visualization-experts?-,,2021-03-05T09:16:54.157Z,"What is the future job market for data visualization experts? ",Quora
6041f7d5ed76476feda1a4f8,https://www.quora.com/What-is-an-easy-read-and-entertaining-book-on-data-visualization-for-non-experts?-,"If want to learn how to create astonishing charts and graphs, Nathan Yau is the guide for you—especially if you are already familiar with graphic apps like Adobe Illustrator. Nathan Yau’s books Data Points: Visualization That Means Something and Visualize This: The FlowingData Guide to Design, Visualization and Statistics are great instructional manuals. They will show you how to visually represent statistical data in a way that makes sense to clueless people like me. But if you want examples of sheer artistry in the presentation of statistical data, see Edward Tufte’s The Visual Display of Quan Continue Reading If want to learn how to create astonishing charts and graphs, Nathan Yau is the guide for you—especially if you are already familiar with graphic apps like Adobe Illustrator. Nathan Yau’s books Data Points: Visualization That Means Something and Visualize This: The FlowingData Guide to Design, Visualization and Statistics are great instructional manuals. They will show you how to visually represent statistical data in a way that makes sense to clueless people like me. But if you want examples of sheer artistry in the presentation of statistical data, see Edward Tufte’s The Visual Display of Quantitative Information and Envisioning Information.  Tufte is professor emeritus of political science, statistics and computer science at Yale. His books present classic charts from around the world, like Charles Joseph Minard’s visual representation of France’s invasion of Russia. This famous chart shows how Napoleon’s Grande Armée destroyed itself after crossing the Neman River on June 24, 1812 (see above). I haven’t read Tufte’s Visual Explanations: Images and Quantities, Evidence and Narrative, but I’m told it’s good. Image: Visualize This: The FlowingData Guide to Design, Visualization and Statistics and Data Points: Visualization That Means Something by Nathan Yau | Photo: David Graham",2021-03-05T09:20:18.626Z,"What is an easy read and entertaining book on data visualization for non-experts? ",Quora
6041f81ced76476feda1a568,https://www.quora.com/Why-are-people-talking-about-data-science-jobs-gradually-losing-its-value?-,Philippe Bouaziz 42,2021-03-05T09:21:31.432Z,"Why are people talking about data science jobs gradually losing its value? ",Quora
6041f842ed76476feda1a5a5,https://www.quora.com/How-can-I-become-an-expert-in-visualization-data-science?-,Jacob S. Ellehauge  Colleen Farrelly,2021-03-05T09:22:10.536Z,"How can I become an expert in visualization data science? ",Quora
6041f860ed76476feda1a5d4,https://www.quora.com/Are-pie-charts-the-most-effective-for-viewing-data?-,"Pie charts work best for obscuring the fact your data is simultaneously sparse and uninteresting. The Worst Chart In The World How (and why) are pie charts considered ""evil"" by data visualization experts? death to pie charts Pie charts: the bad, the worst and the ugly. Countdown of Top 10 Reasons to Never Ever Use a Pie Chart 11",2021-03-05T09:22:39.993Z,"Are pie charts the most effective for viewing data? ",Quora
6041f871ed76476feda1a5f8,https://www.quora.com/What-are-the-most-beautiful-data-visualisations?-,"Aakanksha Mirdha, Product Designer @ UberAnswered 5 years ago Aakanksha Mirdha Beautiful data visualizations seem to have caught an attention like never before.With the coming together of art and information science, the interdisciplinary domain of data visualization not just intrigues anyone interested in studying data science or information design but equally mesmerizes a casual viewer. Below are some of my favorite data visualizations:  Scaled in Miles: Scaled in MilesThe Synapse: SPATIAL INFORMATION DESIGN LABNikeFuel Weather Activity: NikeFuel Weather ActivityBillion Dollar-O-Gram 3013: Billion Dollar-o-Gram 2013 - Information Is BeautifulApart from the above mentione Continue ReadingBeautiful data visualizations seem to have caught an attention like never before.With the coming together of art and information science, the interdisciplinary domain of data visualization not just intrigues anyone interested in studying data science or information design but equally mesmerizes a casual viewer. Below are some of my favorite data visualizations:  Scaled in Miles: Scaled in MilesThe Synapse: SPATIAL INFORMATION DESIGN LABNikeFuel Weather Activity: NikeFuel Weather ActivityBillion Dollar-O-Gram 3013: Billion Dollar-o-Gram 2013 - Information Is BeautifulApart from the above mentioned few, I would like to highlight David McCandless', author of the book ""Knowledge is Beautiful"". If you're an information scientist, a visualization expert or a designer, I would insist you on having a look at McCandless's work David McCandless.",2021-03-05T09:22:57.433Z,"What are the most beautiful data visualisations? ",Quora
6041f886ed76476feda1a61c,https://www.quora.com/What-agencies-or-individuals-are-working-in-interactive-web-based-data-visualization?-,"Hi, I work in the team of FineReport. And FineReport is a “professional, simple and flexible” enterprise reporting software developed by FanRuan Software Co., Ltd. architecturally designed based on ‘No-code’ concept. FineReport has 4 Parameter Query Functions to make the data visualization interactive. As Lewis Chou said, “In data visualization, in addition to visual presentation, there is a core element of human-computer interaction.” For high-dimensional multivariate data visualization systems, interaction is one of the essential elements. For example, if you want to view the sales of each mon Continue ReadingHi, I work in the team of FineReport. And FineReport is a “professional, simple and flexible” enterprise reporting software developed by FanRuan Software Co., Ltd. architecturally designed based on ‘No-code’ concept. FineReport has 4 Parameter Query Functions to make the data visualization interactive. As Lewis Chou said, “In data visualization, in addition to visual presentation, there is a core element of human-computer interaction.” For high-dimensional multivariate data visualization systems, interaction is one of the essential elements. For example, if you want to view the sales of each month, the general method is to make a report every month, and then put them together for comparison. But it is very troublesome to find and compare the data, and it is easy to make mistakes. If we use interactive visualization, we can use the filtering function to query the data at will, which is very convenient.  With FineReport, users can design complex, interactive reports and dashboards and construct data decision-making system through a clean drag-and-drop user interface. But how can we make visualizations interactive in charts or dashboards? At this time, we need to use the parameter query. You can refer to this article — 4 Parameter Query Functions to Make your Data Visualization Interactive which introduces four basic parameter query functions and the interaction scenarios they can be applied to.  (Note: All the pics in this post are made with FineReport. This visualization tool itself has a lot of parameter query functions and there is no need to write code. ) Hope my answer may let you know something about interactive visualization, It’s important to make your table or chart dynamic and to create relationships between different charts. Click here to get your free genuine FineReport. Hi, I work in the team of FineReport. And FineReport is a “professional, simple and flexible” enterprise reporting software developed by FanRuan Software Co., Ltd. architecturally designed based on ‘No-code’ concept. FineReport has 4 Parameter Query Functions to make the data visualization interactive. As Lewis Chou said, “In data visualization, in addition to visual presentation, there is a core element of human-computer interaction.” For high-dimensional multivariate data visualization systems, interaction is one of the essential elements. For example, if you want to view the sales of each mon Continue Reading",2021-03-05T09:23:18.813Z,"What agencies or individuals are working in interactive web-based data visualization? ",Quora
