"_id",job_link,answer,date,question,source
60423ad6ed76476feda207f0,https://www.quora.com/Is-it-possible-for-a-photographer-to-have-a-successful-professional-career-without-the-use-of-photo-editing-softwares?-,"Greg Koch, Commercial and Advertising Photographer (1999-present)Answered 2 years ago · Author has 291 answers and 830.7K answer views Greg Koch Is it possible for a photographer to have a successful professional career without the use of photo editing softwares? In a literal sense, yes. In a more metaphorical way, not really. Allow me to explain. Professional photographers existed long before Photoshop, so it’s very possible to make a living without it. But even back then, they were manipulating the process to produce the best prints possible. This was akin to Photoshop. I don’t know if it’s possible for professional photography to exist as a genre without manipulation capabilities of some kind, but I also know photographers whose work i Continue ReadingIs it possible for a photographer to have a successful professional career without the use of photo editing softwares? In a literal sense, yes. In a more metaphorical way, not really. Allow me to explain. Professional photographers existed long before Photoshop, so it’s very possible to make a living without it. But even back then, they were manipulating the process to produce the best prints possible. This was akin to Photoshop. I don’t know if it’s possible for professional photography to exist as a genre without manipulation capabilities of some kind, but I also know photographers whose work is primarily given directly to the client at the end of the shoot. In that sense, the photographer doesn’t do any manipulation because the client handles everything. This is generally what’s known as Work for Hire (WFH) and is a perfectly acceptable way of making a living. I’m not a great retoucher, myself, so I enjoy the idea of handing off that sort of thing to the client any chance I can get. But photo manipulation still exists, even if I’m not always the one doing it. Could clients make a living without it? I’m not sure. It would be a different world if no photo manipulation existed at all (either manual darkroom manipulation or digital Photoshop-style). Images always need to be cropped and color corrected for the various mediums in which they’re reproduced. I don’t see a way to get around that. Dodging and burning is generally considered the most basic of manipulations and will probably be around forever. But do we need compositing and higher-level manipulative capabilities? Not in a strict sense, no, but certainly in the sense that clients need to push the envelope at all time since viewers have grown increasingly accustomed to high-quality images and production values. In the end, I think the answer to your question depends on whether you’re asking academically or realistically. Academically, yes—we can live without manipulation. Realistically, I don’t think it will happen, nor would I want it to.",2021-03-05T14:06:14.146Z,"Is it possible for a photographer to have a successful professional career without the use of photo editing softwares? ",Quora
60423afbed76476feda20821,https://www.quora.com/How-do-I-make-a-career-in-editing-and-photography?-,Huseini Indorewala  As a photographer. How else would you actually know what makes a good photograph? There are so many elements involved in choosing the right photo that the technical and aesthetic aspects that are created when making the image are right is the main issue to handle.,2021-03-05T14:06:51.866Z,"How do I make a career in editing and photography? ",Quora
60423b12ed76476feda2083c,https://www.quora.com/What-is-the-most-suitable-career-for-those-who-love-photo-editing-and-photo-montage?-,"Publishing is the number one user of photo editors. I will spare you the details of another of my “day jobs”, that of being a paste-up artist. I worked for an advertising weekly and we edited photos for ads all day every day. But it offered a glimpse into being a photo editor. The top of the line is editing photos for large books. They are commonly called Coffee Table books. It is one of those jobs that you are barely remembered for your past glories. It’s all about what you just did good or bad.National Geographic, Life Magazine, any travelogue publisher, nature magazine, fashion publisher;  Continue ReadingPublishing is the number one user of photo editors. I will spare you the details of another of my “day jobs”, that of being a paste-up artist. I worked for an advertising weekly and we edited photos for ads all day every day. But it offered a glimpse into being a photo editor. The top of the line is editing photos for large books. They are commonly called Coffee Table books. It is one of those jobs that you are barely remembered for your past glories. It’s all about what you just did good or bad.National Geographic, Life Magazine, any travelogue publisher, nature magazine, fashion publisher; they all need people who can change and arrange photos with ease under dead line. It’s tough to get good enough credits before being hired. I suggest creating your own layouts as though you already had the job and presenting them, until you can build up an actual portfolio of real work. A suggestion would be working at the retail sales end, doing layouts of products in advertising. A very hot area is fashion. Lots of turnover there as emotions run high in that field. Publishing is the number one user of photo editors. I will spare you the details of another of my “day jobs”, that of being a paste-up artist. I worked for an advertising weekly and we edited photos for ads all day every day. But it offered a glimpse into being a photo editor. The top of the line is editing photos for large books. They are commonly called Coffee Table books. It is one of those jobs that you are barely remembered for your past glories. It’s all about what you just did good or bad.National Geographic, Life Magazine, any travelogue publisher, nature magazine, fashion publisher;  Continue Reading",2021-03-05T14:07:14.219Z,"What is the most suitable career for those who love photo editing and photo montage? ",Quora
60423b49ed76476feda20888,https://www.quora.com/What-are-some-career-options-in-photo-and-video-editing?-,Dhanwanth Kumar,2021-03-05T14:08:09.315Z,"What are some career options in photo and video editing? ",Quora
60423b63ed76476feda208a9,https://www.quora.com/What-career-option-should-I-choose-If-I-am-interested-in-photo-and-video-editing-with-Adobe-Photoshop-and-after-effects?-,"This is going to be a long answer.Photo editors require some formal education. Learn about degree programs, job duties and other requirements to see if this is the right career for you.Photo editors work for publications to select and prepare photographs for particular projects. They might manage a staff of photographers or, in a smaller organization, work as a photographer as well as the photo editor.A career as a photo editor usually requires previous experience as a photographer, as well as a bachelor's degree and classes in photography, visual arts or digital media. Relevant master's de Continue ReadingThis is going to be a long answer.Photo editors require some formal education. Learn about degree programs, job duties and other requirements to see if this is the right career for you.Photo editors work for publications to select and prepare photographs for particular projects. They might manage a staff of photographers or, in a smaller organization, work as a photographer as well as the photo editor.A career as a photo editor usually requires previous experience as a photographer, as well as a bachelor's degree and classes in photography, visual arts or digital media. Relevant master's degree programs are also available for those seeking advancement opportunities; they might lead to positions such as photography department supervisor or editorial chief.Photo editors often work for a website, newspaper, magazine or book publisher. They're typically responsible for selecting, editing, positioning and publishing photos to accompany the text of a publication. Photo editors also might supervise staff photographers, give photo assignments and make sure that others complete their work on time.Video editors train and educate themselves in any number of ways. Some apprentice at production studios and post houses, while others enter educational programs at local community colleges or at prestigious academic institutions. Two leading examples of the latter would include NYU's Tisch School of the Arts and UCLA's School of Theater, Film and Television. Still others turn autodidact and teach themselves the skills necessary to be a video editor. These individuals then continue in the profession as freelancers, at post houses or as members of corporations.  With the rise of so-called 'prosumer' hardware and software and the availability of any number of excellent books on video editing, it has never been easier or less expensive to learn advanced video editing techniques. Of course, the contacts one makes as part of a structured training program, either as a tradesman or as an undergraduate, will likely prove crucial in establishing oneself in the profession. Nevertheless, one can certainly develop the pure skill and knowledge necessary to be a successful video editor at home, with a minimum financial investment.Contemporary video editors must also be masters of a number of computer programs and hardware apparatus, including Avid's Media Composer, Express DV and Xpress Pro, Apple's Final Cut Pro and QuickTime and Adobe's Premiere Pro and After Effects. While video editors frequently belong to many of the same unions and guilds as other entertainment professionals, the organizations most directly concerned with income, labor issues and best practices of video editors are Motion Picture Editors Guild (MPEG), NABET (Welcome To NABET 211 Syracuse NY Quality Television) and the Academy of Motion Picture Arts and Sciences (Oscars.org | Academy of Motion Picture Arts and Sciences). Hope your query is satisfied. This is going to be a long answer.Photo editors require some formal education. Learn about degree programs, job duties and other requirements to see if this is the right career for you.Photo editors work for publications to select and prepare photographs for particular projects. They might manage a staff of photographers or, in a smaller organization, work as a photographer as well as the photo editor.A career as a photo editor usually requires previous experience as a photographer, as well as a bachelor's degree and classes in photography, visual arts or digital media. Relevant master's de Continue Reading",2021-03-05T14:08:35.048Z,"What career option should I choose If I am interested in photo and video editing with Adobe Photoshop and after effects? ",Quora
60423baeed76476feda20908,https://www.quora.com/What-are-some-careers-that-include-using-Photoshop-and-editing-photos?-,"The first thing that comes to mind is to work as a retoucher at or for a portrait studio or something like that.However, portrait retouching requires quite a lot of Photoshop skills to be done well. If you don’t have that experience, maybe you couldwork as a trainee for a studio and learn as you go. Good luck!",2021-03-05T14:09:50.623Z,"What are some careers that include using Photoshop and editing photos? ",Quora
60423be6ed76476feda2094e,https://www.quora.com/What-innocent-seeming-picture-is-actually-heartbreaking?-,"Irshad Khan Kids in the picture, Zaid(in black shirt) and Aftab(white one) are my nephews! We lost Aftab last month. He was just 12 years old, a sixth-grade student. He was a very popular and well-loved student in the school. Kid, who would read day and night to maintain his first position in every next class. He had been a topper since LKG.    He was such a brilliant child. My eldest brother owns this school and I did my schooling from the same.  When I was in school, I also used to take classes if any teacher was absent. Bhaisaab (principal sir) would generally ask me to teach primary class students and there  Continue Reading Kids in the picture, Zaid(in black shirt) and Aftab(white one) are my nephews! We lost Aftab last month. He was just 12 years old, a sixth-grade student. He was a very popular and well-loved student in the school. Kid, who would read day and night to maintain his first position in every next class. He had been a topper since LKG.    He was such a brilliant child. My eldest brother owns this school and I did my schooling from the same.  When I was in school, I also used to take classes if any teacher was absent. Bhaisaab (principal sir) would generally ask me to teach primary class students and there he was, Aftab. I would find the students ecstatic to see me in their class but it was Aftab who would be on cloud line. He would quickly open his bag to hand me over the stick kept in(since he was the monitor of the class) and he would clean the blackboard smiling beautifully and then he would write the date on the blackboard. Then I would ask the students what the teacher had teaching and what they wanted to be taught. Everyone would call me ""Sirji"". Sometimes he Would inadvertently utter word "" Chacha(uncle) "" and at once would show up his tongue, frightened, saying sorry. Other student would laugh at him, so would I. While leaving the class, he would accompany me to the door used to say ""Chacha, dubara aa jayo"" (Chacha, come again). He was Smart like anything. Still I don't know what happened to him, he suddenly fell sick. I was in Delhi and I thought he was just having a mild fever until I discovered that some diseases had left him paralyzed. I called Arshad bhaiya to know if he was doing okay. He told me that aftab was at home.They took him to a nearby doctor. The date was 7th March, I guess, I had a few words with Aftab also. I felt he would recover soon. But his health began to deteriorate quite seriously.They rushed him off to the only government hospital in my district. Still, I would reckon that he would recover soon. I had no clue how serious the condition was. I had some work to deal with regarding fee concession application in college so I couldn't call Arshad bhaiya day after. On 10th of march, in the morning, I got a call from home just to discover that we had lost him. From Nuh,They had referred him to SMS hospital in Jaipur but we lost him before we could reach Jaipur. I was stunned, shocked, numb completely. I couldn't believe my ears. It was heart wrenching. Suddenly, all the memories started flashing in front of my eyes. I could hear his sweet voice in my head. I couldn't resist crying. I wished it to be a dream. I was broken. I just cried and cried. I remember someone was trying to console me, they were my friends there. I didn't remember anything clearly of that moment except screaming. I had to rush back home. To the graveyards, procession filled the streets,majority being our school students and his best friends. It was impossible to believe that he was dead. There was something that separates him from other kids in my family. He had a bicycle, his best friend. He would clean it every ride. Every time I visited home, I saw him playing or reading. He would come to me saying ""Thik hai Chacha? "" (Are u fine,Uncle? ) and then gave me candies he always used to carry. He would spend most of his day playing, roaming with his school friends on bicycle. But he would just study in the night. He was so energetic kid. He won't sleep until his homework is done.  ￼   He would always come to cheer me up whenever I play cricket in the village.  My eyes are teary while writing this. This question in the feed just reminded me of Aftab. We just miss him. We know he is still with us in our spirit. We have been trying to overcome the pain. Trying to overcome something that is stuck in our chests. But this emptiness would never go away.  Aftab, with his best friend, Parvez( My nephew, his cousin).  We miss u Aftab❤ Continue Reading",2021-03-05T14:10:46.239Z,"What innocent-seeming picture is actually heartbreaking? ",Quora
60423c2ded76476feda209aa,https://www.quora.com/What-is-the-best-free-photo-editor?-,"The Best Free Photo Editing Software 2018- Make Photos Incredible  Every moment in life is special, So we all want to capture those beautiful moments. “You not just click the moment we create a long-lasting memory”. Either you are clicking the shot by mobile camera phone or a DSLR, everyone needs a few changes in look so, if you really care how your photos look, you need to import them into your PC to organize them and then go through all the click and select the best and perfect them with few Free Photo Editing Software. Do changes for professional or personal use. Here are the best Free Photo  Continue Reading The Best Free Photo Editing Software 2018- Make Photos Incredible  Every moment in life is special, So we all want to capture those beautiful moments. “You not just click the moment we create a long-lasting memory”. Either you are clicking the shot by mobile camera phone or a DSLR, everyone needs a few changes in look so, if you really care how your photos look, you need to import them into your PC to organize them and then go through all the click and select the best and perfect them with few Free Photo Editing Software. Do changes for professional or personal use. Here are the best Free Photo editing software 2018. By using the right, perfect and free photo editor you can transform an ordinary picture into something awe-inspiring. There’s no argument about it — Adobe Photoshop remains the best photo-editing software on the market. But unless you’ve undergone formal training, it’s a difficult program to master, also expensive to design or create the photo with eye-catching filter edits. There are many Free Photo Editing Software that turns your image into the professional count. So you’ve graduated from smartphone photography tools and edit with normal apps or like those offered by Instagram and Facebook. Does that mean you have to pay a ton for high-end software? We’ve included all levels of PC software here, however, given description makes easy which is for you. Let’s dive in … The Best Free Photo Editing Software 2018 GIMPhttp://Paint.NETPixlrSumopaintPhotoScapeFotorCanva1. GIMP  The best free alternative to Photoshop, GIMP (GNU Image Manipulation Program). GIMP has a Photoshop-like interface, cross-platform image editor available for GNU/Linux, OS X, Windows and more operating systems. It is an open-source application, you can change its source code and distribute your changes. Once you launch the program, you’ll find icons in the toolbox represent actions such as the crop, lasso, paint and brush tools, and you can apply various effects to your photos. 2. Paint.NET  http://Paint.Net is also the best image and photo editor. It offers you tons of Layers and filters, Plugin support but when compared with the GIMP, It is less powerful than GIMP. While going with this software, You see it’s a quick, easy to work with and help you to create new look images. 3. Pixlr  A Free Photo Editing Software that’s a worthy rival to premium software. Pixlr is a cloud-based set of image tools and utilities, including a number of photo editors, a screen grabber browser extension, and a photo sharing service. It can be used on PCs, and on smartphones or tablets using a mobile app. When you go to Pixlr’s website, you can choose to use Pixlr Editor or Pixlr Express. Pixlr Editor enhance your image with Free Photo Editing Software features that are similar to Photoshop like cropping, resizing, and changing the colour of the entire image. while Pixlr Express suited for applying filters, texts, and other overlays effects to a photo. The desired Extension can be applied to save your edited image as JPG, PNG, BMP, TIFF, and PXD (layered Pixlr image). 4. Sumopaint  SumoPaint is another free online and desktop Free Photo Editing Software, without a need to install anything on your device. It’s the most versatile photo editor and painting application that works in a browser. You can open and save images from your hard drive or save it to the cloud. The toolbox contains features like brightness/contrast, hue/saturation, colour balance. It is also useful in creating simple logos using the text and brush tools. 5. PhotoScape  PhotoScape is also free Photo editing software, Using Photoscape is ‘easy and fun’. it allows you to easily edit photographs taken from their digital cameras or evenmobile phones. Moreover, It has great selection filters, raw conversion, photo splitting and merging and animated GIF creation. 6. Fotor  Fotor Photo Editor is another free online designer and editing tool catering to all your photographic and image creation needs! Add filters, frames, text, and stickers. It is very simple and intuitive to use also makes quick work to photo editing task. Serves Amazing features like: Photo editing with a powerful digital editing with basics as resize, crop, straightening and with a huge range of filters and effects.To express more feelings than a single image can contain it provides a photo collage photo stitching to funky collage and other filters.Perfect graphic design, when you are running with your twitter covers, youtube channel art, facebook covers, Instagram post etc.To enhance an image with different levels of light exposure, bringing out deeper colour, greater details, and all-rounder better image it creates HDR images.Blemish remover, wrinkle remover, photo reshaping, red-eye remover and teeth whitener brush up by beauty retouching to create someone very special and let the world see them at very best.7. Canva  Canva is a free graphic-design platform used by non-designers as well as professionals. Enables easy to use drag-and-drop interface, provides access to over a million photographs, graphics, and fonts. Create designs for blog graphics, presentations, Facebook covers, flyers, posters, invitations on social media (Facebook, Twitter, Instagram, and Pinterest). Canva is available on your iPhone, iPad, and computer so you can create, edit and share your designs when it suits you most. Note* The R language is used among statisticians and data miners in order to develop statistical software and data analysis. READ MORE: Click Here The Best Free Photo Editing Software 2018- Make Photos Incredible  Every moment in life is special, So we all want to capture those beautiful moments. “You not just click the moment we create a long-lasting memory”. Either you are clicking the shot by mobile camera phone or a DSLR, everyone needs a few changes in look so, if you really care how your photos look, you need to import them into your PC to organize them and then go through all the click and select the best and perfect them with few Free Photo Editing Software. Do changes for professional or personal use. Here are the best Free Photo  Continue Reading",2021-03-05T14:11:57.582Z,"What is the best free photo editor? ",Quora
60423c4bed76476feda209d1,https://www.quora.com/Is-color-correction-a-crucial-need-for-every-photographer?-,"Mike Dahlgren Photographs, images or pictures, are the common language across the world. Living the life of a photographer can be a lot of fun and a promising career too. However; not all upcoming and inexperienced photographers are aware of the hardships they may face in their career. As a photographer you know that clicking a picture is work half done. Yes, and that is the reason why image editing services clubbed with photo cropping services, photo culling services, spot healing & removing, and photo editing for photographers play an important role for their business.  There are three reasons why we provid Continue ReadingPhotographs, images or pictures, are the common language across the world. Living the life of a photographer can be a lot of fun and a promising career too. However; not all upcoming and inexperienced photographers are aware of the hardships they may face in their career. As a photographer you know that clicking a picture is work half done. Yes, and that is the reason why image editing services clubbed with photo cropping services, photo culling services, spot healing & removing, and photo editing for photographers play an important role for their business.  There are three reasons why we provide color correction services, Lighting: Lighting happens to be one of the most important aspects, every time you click a picture. But the challenge is that even the slightest of inconsistency in the camera setting or the environment you are shooting in, has the potential to cause the picture come out below expectation. At times the white balance setting used to take the picture is not an appropriate match for the lighting in the shot. Color Temperature Control: You would not disagree to the chances of you getting wrong outcome for particular settings, even after using auto white balance features. Color correction is one more an aspect, of the color correction services that we as professional image editing service providers deliver. White Balance in Portraits: Needless to draw your attention to the fact that outdoor lighting is not the only thing that affects the color changes. If we talk about portrait photography, the color/pigment of a person’s skin leaves behind a huge impact on the outcome, the resulting image or picture. As a photographer do not have the luxury of spending hours performing image editing tasks such as color correction and so on. This is where we, with our domain experience and expertise, ultimately save money, by enabling you to spend more time taking pictures and meeting potential clients.",2021-03-05T14:12:27.386Z,"Is color correction a crucial need for every photographer? ",Quora
60423c8aed76476feda20a22,https://www.quora.com/Who-are-some-famous-people-who-have-aged-exceptionally-well?-,"Tilak Shenoy After reading all the answers I wonder how people forgot this man, who is in the Hindi film industry for the last 34 years. He’s one of the greatest actors to grace the silver screen. Yes, I am talking about the Mr Perfectionist of Bollywood.. AAMIR KHAN!! He debuted as a child actor in Yaadon Ki Baraat in 1973 when he was 8 years old.  11 years later, he appeared in a cameo role in an art film Holi (1984) when he was 19 years old.  In 1988, He debuts as a leading hero in Qayamat Se Qayamat Tak and is known as the Chocolate Boy of Bollywood. He was 23 here.  His Tapori act in Rangeela won the hearts o Continue ReadingAfter reading all the answers I wonder how people forgot this man, who is in the Hindi film industry for the last 34 years. He’s one of the greatest actors to grace the silver screen. Yes, I am talking about the Mr Perfectionist of Bollywood.. AAMIR KHAN!! He debuted as a child actor in Yaadon Ki Baraat in 1973 when he was 8 years old.  11 years later, he appeared in a cameo role in an art film Holi (1984) when he was 19 years old.  In 1988, He debuts as a leading hero in Qayamat Se Qayamat Tak and is known as the Chocolate Boy of Bollywood. He was 23 here.  His Tapori act in Rangeela won the hearts of us audiences. Here he was 30.  He was a trendsetter w.r.t looks as evident in Dil Chahta Hai. He was 36 here, who convincingly played a college student as well as an adult who was struggling to come in terms with life past college.  He again played a college student convincingly in 3 Idiots. He was 44 here.  At 50 years old, he underwent an epic transformation for Dangal to look convincingly well as a Wrestler.  And later this year, at the age of 53 he will again rule the screens in Thugs of Hindustan.  He could easily pass off as a 30 year old in the above picture. We are fortunate to have an actor who is dedicated and passionate towards his craft and believes in offering something different each time he comes on the screen. Proud to be your fan Sir!! https://en.wikipedia.org/wiki/Aamir_Khan Image Sources: Google Continue Reading",2021-03-05T14:13:30.376Z,"Who are some famous people who have aged exceptionally well? ",Quora
