"_id",job_link,answer,date,question,source
60433ad7ed76476feda2541b,https://www.quora.com/Is-a-production-engineer-or-design-engineer-better?-,Production engineer vs design engineer I have worked in both areas. . Production engineer has to be physically strong enough and ready to solve practical problems . . Design engineer has to be mentally strong with good creativity and ready to solve theoritical problems. . They are like shiva and shakthi of mechanical engineering. . Both are best and has its own pros and cons Choosing the best one differs from person to person. . Coz all of them are not the followers of lord shiva. . According to me there is no need of a phd to become a best production engineer. .an iti hold with 5 or more years of exp Continue ReadingProduction engineer vs design engineer I have worked in both areas. . Production engineer has to be physically strong enough and ready to solve practical problems . . Design engineer has to be mentally strong with good creativity and ready to solve theoritical problems. . They are like shiva and shakthi of mechanical engineering. . Both are best and has its own pros and cons Choosing the best one differs from person to person. . Coz all of them are not the followers of lord shiva. . According to me there is no need of a phd to become a best production engineer. .an iti hold with 5 or more years of experience can rule the production industry. . But design industry is where the qualification and skills speak. .its not easy for less educated people to succeed in design industry. . So design engineers are far better than production engineers Production engineer vs design engineer I have worked in both areas. . Production engineer has to be physically strong enough and ready to solve practical problems . . Design engineer has to be mentally strong with good creativity and ready to solve theoritical problems. . They are like shiva and shakthi of mechanical engineering. . Both are best and has its own pros and cons Choosing the best one differs from person to person. . Coz all of them are not the followers of lord shiva. . According to me there is no need of a phd to become a best production engineer. .an iti hold with 5 or more years of exp Continue Reading,2021-03-06T08:18:31.652Z,"Is a production engineer or design engineer better? ",Quora
60433ad7ed76476feda2541d,https://www.quora.com/What-are-the-basics-should-I-know-to-become-a-design-engineer-or-product-design-engineer?-,"First and foremost you should be an Engineer by thinking. If you are starting off, you may not have gained this trait yet. But that should be your endeavour. People tend to break engineering down to streams or trades like Mechanical or Electronics. Understand that there is no such thing. You don’t need to know the specifics of everything, but you should be aware of the envelope of physics, whats outside the possibility of physics and what is not. Anything that is possible within physics becomes an engineering problem which needs to be addressed with engineering resource. Other than that you sh Continue ReadingFirst and foremost you should be an Engineer by thinking. If you are starting off, you may not have gained this trait yet. But that should be your endeavour. People tend to break engineering down to streams or trades like Mechanical or Electronics. Understand that there is no such thing. You don’t need to know the specifics of everything, but you should be aware of the envelope of physics, whats outside the possibility of physics and what is not. Anything that is possible within physics becomes an engineering problem which needs to be addressed with engineering resource. Other than that you should have a fair understanding of energy, conversion, losses, manufacturing methods, strength of material, basic electrical and electronics, awareness of the state of semiconductor technology, basic coding, understanding of what is possible with software at the moment in time, understanding of economics, understanding of basic accounting, cash flow and corporate strategy. It’ll help to be tracking major technological revolutions happening at the moement and are in the pipeline. You are an engineer means that you are a problem solver, tinkerer and enthusiast. Also, you have to have that within you to get handson when you sense something needs improvement. First and foremost you should be an Engineer by thinking. If you are starting off, you may not have gained this trait yet. But that should be your endeavour. People tend to break engineering down to streams or trades like Mechanical or Electronics. Understand that there is no such thing. You don’t need to know the specifics of everything, but you should be aware of the envelope of physics, whats outside the possibility of physics and what is not. Anything that is possible within physics becomes an engineering problem which needs to be addressed with engineering resource. Other than that you sh Continue Reading",2021-03-06T08:18:31.969Z,"What are the basics should I know to become a design engineer or product design engineer? ",Quora
60433ad7ed76476feda2541f,https://www.quora.com/What-is-it-like-to-be-a-Mechanical-Product-Design-Engineer?-,"As a product design engineer starting on a new product: 1. You define/gather/seek customer requirement for that product.2. Then you go for market study on existing products. Whatever has been done till now. You gather information on existing technologies/features/cost of the related products.3. Next step includes features that can be incorporated in your product. You make matrix for what is relevant and important. What features are absolute must and what can be dropped here itself.4.Then you explore ideas and start preliminary sketches to visualize the product/parts of the product. You keep  Continue ReadingAs a product design engineer starting on a new product: 1. You define/gather/seek customer requirement for that product.2. Then you go for market study on existing products. Whatever has been done till now. You gather information on existing technologies/features/cost of the related products.3. Next step includes features that can be incorporated in your product. You make matrix for what is relevant and important. What features are absolute must and what can be dropped here itself.4.Then you explore ideas and start preliminary sketches to visualize the product/parts of the product. You keep various concepts/options/designs and analyze each of them. Create a decision matrix for parameters like technicality, cost, complexity, logistics, scalability. And finally choose one.5.Then you take the concept detailing and refinement.6.After detailing, you work on engineering analysis and optimization of the various parts of that component. It is done by engineering team.7.After scrutineering the engineering analysis, detailed drawings are prepared which go for prototyping.8. Testing of the prototype reveals changes to be made and further refinement.debugging of the product.9.May be another prototype can be made and tested.10.Final manufacturing and launch. Answer to your specific questions: Can you please share what you do at work everyday?It depends on which stage you are. Typically you will be searching/googling for existing ideas. Then may be sketching something. You will very often use CAD software as well.Making PPTs for design/concept presentation. Doing calculations/simulations for reliability of the product. Ensuring that it follows relevant standards. You might use engineering charts/handbooks/databook etc. Your basic engineering fundamentals will come handy here. What types of jobs/projects do you do?Again depends on the industry for ex. Electronic equipment/home appliances, food industry, automobile industry, energy sector etc. Do you like your work? Yes very much. I work in energy sector developing alternate renewable energy solutions. As a product design engineer starting on a new product: 1. You define/gather/seek customer requirement for that product.2. Then you go for market study on existing products. Whatever has been done till now. You gather information on existing technologies/features/cost of the related products.3. Next step includes features that can be incorporated in your product. You make matrix for what is relevant and important. What features are absolute must and what can be dropped here itself.4.Then you explore ideas and start preliminary sketches to visualize the product/parts of the product. You keep  Continue Reading",2021-03-06T08:18:31.974Z,"What is it like to be a Mechanical Product Design Engineer? ",Quora
60433ad7ed76476feda25421,https://www.quora.com/Are-there-product-design-engineering-bootcamps?-,"To be honest, I haven't done any research on this and can only offer an answer about what our company does as it is could be described as an ""engineering bootcamp""... maybe... Each summer we bring on 3 interns from top engineering and industrial design programs across the country. Over the course of 10 weeks they are each challenged with bringing an internally developed project from ideation to working prototype, while also assisting with ongoing client work as it fits their availability and knowledge. This is our 3rd year with this program. The summer internship/design competition has thus far Continue ReadingTo be honest, I haven't done any research on this and can only offer an answer about what our company does as it is could be described as an ""engineering bootcamp""... maybe... Each summer we bring on 3 interns from top engineering and industrial design programs across the country. Over the course of 10 weeks they are each challenged with bringing an internally developed project from ideation to working prototype, while also assisting with ongoing client work as it fits their availability and knowledge. This is our 3rd year with this program. The summer internship/design competition has thus far proven to be a success with all who have participated. From what we hear, our program is fairly unique in the product development industry. Here's a link to the webpage that shares more about it - Objex Design Would enjoy hearing about other programs so I hope more people answer this. To be honest, I haven't done any research on this and can only offer an answer about what our company does as it is could be described as an ""engineering bootcamp""... maybe... Each summer we bring on 3 interns from top engineering and industrial design programs across the country. Over the course of 10 weeks they are each challenged with bringing an internally developed project from ideation to working prototype, while also assisting with ongoing client work as it fits their availability and knowledge. This is our 3rd year with this program. The summer internship/design competition has thus far Continue Reading",2021-03-06T08:18:31.980Z,"Are there product design engineering bootcamps? ",Quora
60433ad7ed76476feda25423,https://www.quora.com/What-are-product-design-engineer-interviews-like?-,,2021-03-06T08:18:31.984Z,"What are product design engineer interviews like? ",Quora
60433ad7ed76476feda25425,https://www.quora.com/How-do-I-become-a-product-design-engineer?-,,2021-03-06T08:18:31.987Z,"How do I become a product design engineer? ",Quora
60433ad7ed76476feda25427,https://www.quora.com/What-are-common-names-for-Product-+-Design-+-Engineering?-,"Kartik Ayyar, former Machine Learning Engineer at GoogleAnswered 7 years ago · Author has 1.2K answers and 7.9M answer views Kartik Ayyar I've seen a few different terms used for this at different companies, including: a) R&D - since this is what it shows up on financial statements.b) Product Development - the most balanced and easy to understand term for it.c) Engineering  ( some tech companies, particularly for really hardcore technological products and early companies, are very engineering driven early on to the point the other functions just get lumped under engineering ) So yeah, there are many terms for it. I personally think Product Development is the most appropriate given it focuses on what the team does vs. what indivi Continue ReadingI've seen a few different terms used for this at different companies, including: a) R&D - since this is what it shows up on financial statements.b) Product Development - the most balanced and easy to understand term for it.c) Engineering  ( some tech companies, particularly for really hardcore technological products and early companies, are very engineering driven early on to the point the other functions just get lumped under engineering ) So yeah, there are many terms for it. I personally think Product Development is the most appropriate given it focuses on what the team does vs. what individuals do.",2021-03-06T08:18:31.991Z,"What are common names for Product + Design + Engineering? ",Quora
60433ad7ed76476feda25429,https://www.quora.com/What-are-the-roles-and-responsibilities-of-Product-Design-engineers-of-mechanical-engineers?-,"The roles and responsibilities of a design engineer starts all the way from design need and conceptualisation to lunch of product and also in field failures. Here are step by step responsibilities of the designer. The need of the product and a prerequisite is provided by the client or the management.The design team works on the product conceptualisation and freezes the concept of design and hard points.CAD of the product is prepared.Material of the product is finalised and assigned.CAE analysis of the CAD is initiated to know the durability of the product under extreme loads and conditions.A deContinue ReadingThe roles and responsibilities of a design engineer starts all the way from design need and conceptualisation to lunch of product and also in field failures. Here are step by step responsibilities of the designer. The need of the product and a prerequisite is provided by the client or the management.The design team works on the product conceptualisation and freezes the concept of design and hard points.CAD of the product is prepared.Material of the product is finalised and assigned.CAE analysis of the CAD is initiated to know the durability of the product under extreme loads and conditions.A detailed drawing is prepared with all the dimensions and tolerances.If the virtual durability os passes we go for virtual DFA ( design for assembly) to check if the product can be properly assembled for which it is designed, DFM (design for manufacturing) to check the manufacturability of the product as by which process it will be manufactured, and DFAM (design for after market) which confirms that the service of the product will be of no issue after it is sold.Move to prototyping and order proto samples as per tye drawing.After proto samples are received l the proto is put under testing. A validation cycles is prepared and testing of the product starts.If any issue or failure occurs in testing it is analysed and root cause is taken out and worked upon and necessary design changes are made. Which again takes us to point no 3.With improved modification again a new proto is tested and finally if the validation gets completed then tooling of the product is finalised.The product is releases in the system and now will be taken care by the project management for further launch and production in market.If the product registers some issues in field then again designer is the one to resolve them if it is a design issue.There are active roles of the designer in the complete lifecycle of the product and to see your imagination coming alive is a joyful and proud feeling also The roles and responsibilities of a design engineer starts all the way from design need and conceptualisation to lunch of product and also in field failures. Here are step by step responsibilities of the designer. The need of the product and a prerequisite is provided by the client or the management.The design team works on the product conceptualisation and freezes the concept of design and hard points.CAD of the product is prepared.Material of the product is finalised and assigned.CAE analysis of the CAD is initiated to know the durability of the product under extreme loads and conditions.A deContinue Reading",2021-03-06T08:18:31.996Z,"What are the roles and responsibilities of Product Design engineers of mechanical engineers? ",Quora
60433ad8ed76476feda2542b,https://www.quora.com/What-is-product-design-engineering?-,Joe Lincoln 1,2021-03-06T08:18:32.000Z,"What is product design engineering? ",Quora
60433ad8ed76476feda2542d,https://www.quora.com/What-is-the-compensation-package-for-a-Product-Design-Engineer-position-at-Apple?-,,2021-03-06T08:18:32.004Z,"What is the compensation package for a Product Design Engineer position at Apple? ",Quora
