"_id",job_link,answer,date,question,source
603fd70922d1c358659e4829,https://www.quora.com/Is-it-worth-changing-your-career-to-become-a-virtual-assistant?-,,2021-03-03T18:35:51.191Z,"Is it worth changing your career to become a virtual assistant? ",Quora
603fd71b22d1c358659e482d,https://www.quora.com/How-do-I-switch-careers-from-traditional-to-a-virtual-assistant?-,,2021-03-03T18:36:11.063Z,"How do I switch careers from traditional to a virtual assistant? ",Quora
603fd72b22d1c358659e4833,https://www.quora.com/What-is-the-reality-of-a-virtual-assistant-career?-,,2021-03-03T18:36:27.908Z,"What is the reality of a virtual assistant career? ",Quora
603fd73c22d1c358659e4839,https://www.quora.com/How-did-you-start-your-career-as-a-virtual-assistant?-,Mansi Nayak,2021-03-03T18:36:44.028Z,"How did you start your career as a virtual assistant? ",Quora
603fd75122d1c358659e483f,https://www.quora.com/What-advice-would-you-give-to-someone-pursuing-a-career-as-a-virtual-assistant?-,,2021-03-03T18:37:05.926Z,"What advice would you give to someone pursuing a career as a virtual assistant? ",Quora
603fd76122d1c358659e4843,https://www.quora.com/What-tips-can-you-offer-someone-beginning-his-or-her-career-as-a-virtual-assistant?-,,2021-03-03T18:37:21.773Z,"What tips can you offer someone beginning his or her career as a virtual assistant? ",Quora
603fd77222d1c358659e4849,https://www.quora.com/What-are-the-specs-of-a-PC-or-laptop-I-should-acquire-for-starting-up-my-virtual-assistant-career?-,,2021-03-03T18:37:38.096Z,"What are the specs of a PC or laptop I should acquire for starting up my virtual assistant career? ",Quora
6040f03922d1c358659e56d6,https://www.quora.com/Do-you-have-any-other-tips-for-hiring-a-virtual-assistant?-,"Terra Hopper Good Question Actually. Cant explain within Quora. I have added a detailed article here. You can check it out if you have some time :) Being a self-employed person is not just about working as a graphic designer or photographer. Freelance work also requires managerial and sales skills, taking away the time you want to devote to your career. If you no longer have the time to manage your busy schedule or write your weekly newsletter, why not assign these tasks to a virtual assistant? What is a virtual assistant? Contrary to what the title might suggest, a virtual assistant is not software. In fact, Continue ReadingGood Question Actually. Cant explain within Quora. I have added a detailed article here. You can check it out if you have some time :) Being a self-employed person is not just about working as a graphic designer or photographer. Freelance work also requires managerial and sales skills, taking away the time you want to devote to your career. If you no longer have the time to manage your busy schedule or write your weekly newsletter, why not assign these tasks to a virtual assistant? What is a virtual assistant? Contrary to what the title might suggest, a virtual assistant is not software. In fact, a virtual assistant is someone who outsources administrative and technical tasks from home, whether he or she lives in Canada or Morocco. While his assistance is virtual, the professional relationship with you is real. What can a virtual assistant do? All that can be accomplished with the help of a computer, the virtual assistant can do it for you: accounting, management of a website, search for airline tickets ... The possibilities are numerous. To ensure the efficiency of your work, a relationship of trust must be established between you and your virtual assistant, especially if you give him the passwords necessary for the accomplishment of his tasks, such as sorting your email.  How to choose your virtual assistant? Before you begin your research, determine the tasks you want to delegate, then estimate how much time you will have earned by outsourcing these tasks. Because time is money, think about the budget you want to give to this service. The estimate of a budget is important, since your virtual assistant can ask a rate per hour or a flat rate depending on the services offered. Fortunately, the time you have earned will allow you to complete additional mandates, thus to have more money. You've decided you want to find a virtual assistant, but what should you consider when it comes to choosing the right assistant for your business? 1. Personality. You may be looking for a virtual assistant but you'll still be developing an ongoing relationship - whether that's via email, on the telephone or sometimes even in person. So it's important that there is a business and personality fit with your assistant from the start. 2. Professional approach. Your assistant, virtual or otherwise, is often the gatekeeper to your business, so their professional approach needs to match that of your business. How do they answer and deal with telephone calls? How timely are they in responding and actioning emails? Do they have a personable approach? 3. Setting boundaries. Make sure you are clear about the boundaries of your virtual assistant's responsibilities. Some clients are looking to give their assistants a certain level of autonomy, while others are looking for help with set tasks and jobs only. Be clear what you are looking for from the start so you find an assistant that has the skill sets to match your needs. 4. Skill set. It goes without saying that your virtual assistant should be organised and proficient, however tasks that virtual assistants are expected to carry out can vary significantly on a client-by-client basis. Providing a clear list of all the tasks you'd like your assistant to handle will help identify 'the' assistant that has the specific skills you are looking for. 5. Technical skills. Do you want an assistant that has experience using a specific CRM tool? Are you looking for someone that can use marketing software such as Adobe? Or maybe you need a person that is highly skilled in using Excel for book-keeping purposes? Technology is varied so technical skills will vary too. Be clear about what experience you require, and whether there is an opportunity to learn on the job too. Continue Reading",2021-03-04T14:35:37.171Z,"Do you have any other tips for hiring a virtual assistant? ",Quora
6040f08b22d1c358659e56fd,https://www.quora.com/Why-do-you-want-to-be-virtual-assistant?-,"Mary Bay To help both businesses. I worked as a Virtual Assistant to help other business through the skills that I have and gained through education and past job experiences while on the other hand, it hones my skills and provides the additional field of expertise that can help me in the future. But it's not all about the career, its also about the fulfillment when you help someone on their business or careers to grow and be part of their success, especially when your team(Clients and you) worked hard for the beautiful outcome. The moment that you are wearing a proud smile on your lips while staring at  Continue ReadingTo help both businesses. I worked as a Virtual Assistant to help other business through the skills that I have and gained through education and past job experiences while on the other hand, it hones my skills and provides the additional field of expertise that can help me in the future. But it's not all about the career, its also about the fulfillment when you help someone on their business or careers to grow and be part of their success, especially when your team(Clients and you) worked hard for the beautiful outcome. The moment that you are wearing a proud smile on your lips while staring at the achievement of all your hardships and effort. It's so fulfilling and magical for me. It may sound weird but its true. Continue Reading",2021-03-04T14:36:59.794Z,"Why do you want to be virtual assistant? ",Quora
6040f0b222d1c358659e570d,https://www.quora.com/What-qualifications-are-required-to-be-virtual-assistant?-,"The answer to this question is really simple, VA is just a time flexible person working for an office but virtually. The physical presence is not there but mentally present VA is the crucial part of any organisation. If you want to become a good Virtual Assistant always take care of your client’s success, if they rise, the fame will also surround you too.  Being a VA is not difficult if you possess some basic traits : 1.Good listener & a quick learner. 2.Communication Skills 3.Management skills 4.Knowledge about the work 5.Confidence 6. Think inside out of the box Most of the clients cannot guide you s Continue ReadingThe answer to this question is really simple, VA is just a time flexible person working for an office but virtually. The physical presence is not there but mentally present VA is the crucial part of any organisation. If you want to become a good Virtual Assistant always take care of your client’s success, if they rise, the fame will also surround you too.  Being a VA is not difficult if you possess some basic traits : 1.Good listener & a quick learner. 2.Communication Skills 3.Management skills 4.Knowledge about the work 5.Confidence 6. Think inside out of the box Most of the clients cannot guide you step by step so you would have to “read between the lines”. If you think you own these traits, You are ready to take your career as Virtual Assistant. The services you will have to provide to the client may be endless but would totally evolve around giving the freedom and time to client for future growth: a virtual assistant will have to manage the following task: Calendar / Diary management Contacts Database Management Drafting Business Correspondences Presentations Emails Monitoring and Priortising Multiple user Friendly File Management Designing Office Stationary Formats Vendor Sourcing and Negotiations MIS Compilations Reservations, Hotel and Flight Bookings Event Coordination Any other Adhoc activities So the client could have Less back-office stress on your mind - Being more productive he can Engage in Business Development - Get more new clients - Get more repeat business, and Spend more time promoting his business, count on more referrals requests,Connect with resources.Respond to sales inquiries faster. Increase his conversion rates and able to take more time off - Enjoy his holidays! That is when a client gets satisfied on hiring you. If you are able to dedicate your time and hard work to help your client grow, then this is the career for you. The answer to this question is really simple, VA is just a time flexible person working for an office but virtually. The physical presence is not there but mentally present VA is the crucial part of any organisation. If you want to become a good Virtual Assistant always take care of your client’s success, if they rise, the fame will also surround you too.  Being a VA is not difficult if you possess some basic traits : 1.Good listener & a quick learner. 2.Communication Skills 3.Management skills 4.Knowledge about the work 5.Confidence 6. Think inside out of the box Most of the clients cannot guide you s Continue Reading",2021-03-04T14:37:38.885Z,"What qualifications are required to be virtual assistant? ",Quora
