"_id",job_link,answer,date,question,source
6042238fed76476feda1f17b,https://www.quora.com/Is-the-Salesforce-app-developer-certification-good-for-9-years-of-experience?-,I think you are referring to Salesforce App Builder Certification. Number of years of experience you have is not a criteria for App Builder Certification. App Builder Certification is for entry level point and click (declarative) developers. If you have programmatic skills - go for platform developer certifications. this will make more sense as for any higher level technical certification platform developer 1 will be a prerequisite.,2021-03-05T12:26:55.069Z,"Is the Salesforce app developer certification good for 9 years of experience? ",Quora
604223a6ed76476feda1f19d,https://www.quora.com/Is-Salesforce-technology-used-for-app-development?-,"All you need to know about Salesforce Development Life cycle  The complexity of software development practices and tools is increasing day by day and therefore, the entire process may become incomprehensible sometimes. There arrives the need of SDLC. Software development is a complex task that needs to be implemented within a defined lifecycle to make sure all the requirements are met and the end product is well tested. Same is the case with Salesforce. A Salesforce Application Development lifecycle is no different from the software development lifecycle and involves Release manager, Product mana Continue ReadingAll you need to know about Salesforce Development Life cycle  The complexity of software development practices and tools is increasing day by day and therefore, the entire process may become incomprehensible sometimes. There arrives the need of SDLC. Software development is a complex task that needs to be implemented within a defined lifecycle to make sure all the requirements are met and the end product is well tested. Same is the case with Salesforce. A Salesforce Application Development lifecycle is no different from the software development lifecycle and involves Release manager, Product manager, Software developer, Quality engineer, Administrator, and Trainer. Here is all you need to know about Salesforce Development Lifecycle: Create a Source Control Repository Keeping in mind that most projects are being developed on open source platforms, a source control repository becomes a must generally it is a Git repository. Even if the project is not open source, a dedicated source code repository must be created and should be controlled by a single owner. The code must be staged to it after proper testing only. Development Phase The sandboxes are used for the Salesforce Application Development. These are dedicated environments that do not impact the Salesforce production. Each developer forms a team where they used a sandbox to develop the new code irrespective of what is running in production. The Overview Integration Development Environment is used to connect with the sandboxes. The Metadata is extracted from sandbox to the IDE only after unit testing is performed. If multiple developers are using the same sandbox, it is important to check that one’s code does not get replaced by others while committing. Testing Testing is an indispensable part of the entire lifecycle that a Salesforce Development Company follows. The testers also create their own Sandboxes and move the code that needs to be tested in each dedicated sandbox. The QA tester might not be required to test the entire project or functionality and in that case, he would only migrate a part of the code that needs to be tested. QA testers can share their Sandboxes for extensive testing. This is integration testing that involves the developer and tester relationship but before the new code is moved to production, it has to run through multiple stages of Acceptance testing that involves the product owner. Acceptance Testing This is the testing level where the product managers get involved and provide sign off on the functionality of the software as per the business requirement. This is the last level of testing and after this, the code is directly staged for production. It is the task of release managers to create a test set up at this stage that offers Salesforce Application testers a sandbox to run their own test beds. If any functionality is found not been addressed until now or not working as per the requirement, the code will be sent back to the developer and will go through the entire lifecycle again. Once the entire project receives a signoff from the Product managers, the code is released to production staging. Performance testing A final phase of the code is the performance testing where again sandboxes are created that are quite similar to the production environment and have the actual production cases. Patch releases At times, due to stringent deadlines, only major functionalities are moved to Salesforce of production and the further functionalities are released in patches after following the entire process. Whenever you hire a Salesforce Development Company, make sure that they are deploying the Salesforce Development Lifecycle properly. Otherwise, your money, time, effort and dreams may go in vain. All you need to know about Salesforce Development Life cycle  The complexity of software development practices and tools is increasing day by day and therefore, the entire process may become incomprehensible sometimes. There arrives the need of SDLC. Software development is a complex task that needs to be implemented within a defined lifecycle to make sure all the requirements are met and the end product is well tested. Same is the case with Salesforce. A Salesforce Application Development lifecycle is no different from the software development lifecycle and involves Release manager, Product mana Continue Reading",2021-03-05T12:27:18.628Z,"Is Salesforce technology used for app development? ",Quora
604223bced76476feda1f1bd,https://www.quora.com/How-does-Salesforce-AppExchange-grow-its-apps-developer-community?-,"Chris Federspiel, works at blackthorn.ioAnswered 4 years agoAs a Salesforce ISV, can I choose not to list on AppExchange? Chris Federspiel Sure. Non-AppExchange, Non-Security Review: Create a managed package. Sell the managed package. Manage licenses through LMA (License Management Application).Pro: No rev share with Salesforce (Maybe. If you signed up as an ISV, you might have signed on for the rev share.)Cons: No AppExchange driven leads (a lot come through this way) and your objects/tabs will count against object/tab limits of the customer Salesforce org. If you have a small app, not a big deal, but a big app and you’ll have problems. Also, without it passing security review, bigger customers may be wary.Non-Public AppExchange,Continue ReadingSure. Non-AppExchange, Non-Security Review: Create a managed package. Sell the managed package. Manage licenses through LMA (License Management Application).Pro: No rev share with Salesforce (Maybe. If you signed up as an ISV, you might have signed on for the rev share.)Cons: No AppExchange driven leads (a lot come through this way) and your objects/tabs will count against object/tab limits of the customer Salesforce org. If you have a small app, not a big deal, but a big app and you’ll have problems. Also, without it passing security review, bigger customers may be wary.Non-Public AppExchange, Passed Security Review: Create a managed package. Sell the managed package. Manage licenses through LMA (License Management Application). Create an AppExchange listing. Submit the listing for security review. Keep as private.Pro: Once passed, it won’t count against object/tab limits of customer orgs. (Pretty sure of this. May need to publish though). Can manage licenses through LMA.Cons: Rev share with Salesforce (I believe, but am not certain if the app is private). You also have to pay $2700 one-time for the review fee if the app is paid. No AppEx driven leads.Public AppExchange: Create a managed package. Sell the managed package. Manage licenses through LMA (License Management Application). Create an AppExchange listing. Submit the listing for security review. Pass (sometimes not easy and can take months). List as public (Publish).Pros: AppEx leads, app doesn’t count against object/tab limits, sometimes can get API built into the app so it works in Professional Edition (PE) orgs. Gains credibility with customers and Salesforce AEs and SEs. AppEx will sometimes market the app for you for free.Con: 15–25% Rev share (Checkout vs non-Checkout).Why would you not want to make the app listed (Published)? In my experience, the trade-off of the rev share is made up through the increased lead volume and marketing exposure from being listed. We went the OEM route for one of our forthcoming apps. Allows you to cold call and manage the whole sales cycle, end-to-end, without 3rd parties.",2021-03-05T12:27:40.223Z,"How does Salesforce AppExchange grow its apps developer community? ",Quora
60422429ed76476feda1f25e,https://www.quora.com/Which-is-the-best-Salesforce-lightning-app-development-company?-,"Endive Software has an in-house team of Business Analysts, Business Development, IT professionals, and certified developers that have made their contribution in establishing the client’s position in the fast-growing market. With years of experience and industry expertise, we help our clients with optimum benefits. Whether it is cloud-based solutions, software solutions, web application development or mobile app development services, we execute business strategies to provide you maximum ROI. Our industry-leading consulting services help businesses in achieving their business goal and also help them in understanding that your product or IT service is able to adopt new business requirements. We work parallel with the customer to define the nature and quality of your products or IT services and provide the unmatched solutions that strengthen your decision making. Do you have any business idea, we are here to bring the most valuable solutions with advanced technology that fortify your decision making.",2021-03-05T12:29:29.747Z,"Which is the best Salesforce lightning app development company? ",Quora
60422448ed76476feda1f28c,https://www.quora.com/Is-an-MBA-mandatory-qualification-for-app-development-in-Salesforce?-,,2021-03-05T12:30:00.737Z,"Is an MBA mandatory qualification for app development in Salesforce? ",Quora
6042245ced76476feda1f2a9,https://www.quora.com/What-is-the-effective-method-of-Salesforce-1-mobile-app-development?-,,2021-03-05T12:30:20.224Z,"What is the effective method of Salesforce 1 mobile app development? ",Quora
60422506ed76476feda1f3a7,https://www.quora.com/Can-a-Salesforce-developer-develop-an-app-like-a-Java-developer?-,"Prolay Chaudhury, Diploma Computer Programming & Computer Programming (1995)Answered 3 years ago · Upvoted by Ramakrishna Reddy, M.Tech     Java & Running, Vellore Institute of Technology, Vellore (2020) · Author has 221 answers and 127.2K answer views Prolay Chaudhury",2021-03-05T12:33:10.617Z,"Can a Salesforce developer develop an app like a Java developer? ",Quora
60422519ed76476feda1f3c3,https://www.quora.com/Can-one-make-a-living-from-building-apps-for-the-Salesforce-AppExchange-market-as-an-independent-developer?-,"Absolutely. If you figure that there is a universe of 150,000 customers (which I think there are more), and if you were to get 1% of the market, that's 1,500 customers.  If your app costs $100 per month, you'd make $1.8m per year. This is a very nice lifestyle business for a sole developer or a small group. Dave Rigotti",2021-03-05T12:33:29.780Z,"Can one make a living from building apps for the Salesforce AppExchange market as an independent developer? ",Quora
60422543ed76476feda1f402,https://www.quora.com/What-are-the-pros-and-cons-of-developing-an-app-for-the-Salesforce-Appexchange-compared-to-other-enterprise-marketplaces?-,"From our experience in developing apps for Salesforce AppExchange we can list the pros and cons: Pros: Possibility to market towards 200k+ Salesforce customersIf the app is developed properly, a great UX for Salesforce customers, so they can install your solutions within few clicks and then see the most crucial informationMarketing directly at AppExchange as Salesforce has its own AppExchange Marketing Program, as well as marketing across your social mediaCons: Security check done by Salesforce might be prolongedProcess of the app development and registration might take more than 4 months if you Continue ReadingFrom our experience in developing apps for Salesforce AppExchange we can list the pros and cons: Pros: Possibility to market towards 200k+ Salesforce customersIf the app is developed properly, a great UX for Salesforce customers, so they can install your solutions within few clicks and then see the most crucial informationMarketing directly at AppExchange as Salesforce has its own AppExchange Marketing Program, as well as marketing across your social mediaCons: Security check done by Salesforce might be prolongedProcess of the app development and registration might take more than 4 months if you do not select a good development partner for it, or if their job is not qualitative you might not pass the security check itselfSometimes support from Salesforce takes longer as they get a lot of requests which is why I suggest to you approach a development partner.If you are considering app development for AppExchange, approach me as we at Enehano Solutions have an experienced team and we have already published apps on this huge B2B market place. From our experience in developing apps for Salesforce AppExchange we can list the pros and cons: Pros: Possibility to market towards 200k+ Salesforce customersIf the app is developed properly, a great UX for Salesforce customers, so they can install your solutions within few clicks and then see the most crucial informationMarketing directly at AppExchange as Salesforce has its own AppExchange Marketing Program, as well as marketing across your social mediaCons: Security check done by Salesforce might be prolongedProcess of the app development and registration might take more than 4 months if you Continue Reading",2021-03-05T12:34:11.643Z,"What are the pros and cons of developing an app for the Salesforce Appexchange compared to other enterprise marketplaces? ",Quora
6042258fed76476feda1f472,https://www.quora.com/How-can-a-developer-best-partner-with-Salesforce-to-develop-an-app?-,"Prolay Chaudhury, Salesforce Lead Solution Architect/Technical ArchitectUpdated January 16, 2021 · Upvoted by Jahnavi Sharma, Software Consultant at Salesforce.com · Author has 221 answers and 127.2K answer viewsHow do I become a Salesforce partner? Prolay Chaudhury How do I become a Salesforce partner?",2021-03-05T12:35:27.335Z,"How can a developer best partner with Salesforce to develop an app? ",Quora
