"_id",job_link,answer,date,question,source
6041efb6ed76476feda19995,https://www.quora.com/What-is-the-Salesforce-Lightning-Developer-pathway?-I-am-a-mechanical-engineer.-I-want-to-switch-my-field.-What-is-the-complete-pathway-to-becoming-a-proficient-Salesforce-Lightning-Developer?-,"First and Foremost step would be to sign up for a free Salesforce developer edition and trailhead (A Learning module) Second step is to choose the level and role. Since you are new, you can choose beginner as a level and Admin as role. Now you can see the modules filtered based on your role and level. Complete all the modules including hands-on challenges. On completing all the modules, change the role to developer in the filter section, Now you will get modules related to apex (programming language similar to Java) , Visual force (Markup language) , Triggers (Programming ) and Lightning component You can change the level to intermediate and advanced to learn advanced concepts in programming involving lightning component. Once you completed all the modules, you can register for App builder cost($200) and Programming developer 1 PD1 ($200). In parallel read blogs written by salesforce experts to learn advanced concepts quickly and efficiently. Join Salesforce Stackexchange and DeveloperForce group and filter topics based on your interest. ex. Lightning component , You can see all queries related to lightning component, try to answer atleast 1 or 2 questions daily. Last but not least join Trailblazer Community Groups to attend salesforce session conducted near your place. All the best.",2021-03-05T08:45:38.889Z,"What is the Salesforce Lightning Developer pathway? I am a mechanical engineer. I want to switch my field. What is the complete pathway to becoming a proficient Salesforce Lightning Developer? ",Quora
6041f14ced76476feda19b9e,https://www.quora.com/What-are-some-tools-and-services-for-a-Salesforce-Lightning-developer?-,"This are the various components, tools and services for Lightning developers. We will throw some light on the following items: VisualforceUsing Lightning Components with Visualforce pagesLightning Data ServicesThis post will provide you with insights on all the above three topics. Moreover, we will tell you about Lightning Data Services. Let us first understand “ Visualforce and the issues faced by developers ?” and “What are the tools to be used with Visualforce ?”. Visualforce and the Issues faced by Developers ?Visualforce is very well adopted by the developers. Visualforce is a server-centri Continue ReadingThis are the various components, tools and services for Lightning developers. We will throw some light on the following items: VisualforceUsing Lightning Components with Visualforce pagesLightning Data ServicesThis post will provide you with insights on all the above three topics. Moreover, we will tell you about Lightning Data Services. Let us first understand “ Visualforce and the issues faced by developers ?” and “What are the tools to be used with Visualforce ?”. Visualforce and the Issues faced by Developers ?Visualforce is very well adopted by the developers. Visualforce is a server-centric technology in comparison to Lightning experience which is basically client-centric. So, it was needed that Visualforce must be evolved to a certain extent, for the developers to utilize its full potential. Let us delve into some of the issues that the developers face, while using Visualforce in Lightning experience. Issue # 1 : There was a problem that is faced here that the markup of VF was not matching that of the design, so SLDS came into picture but this was still a persistent problem. A parallel implementation of SLDS and this was mapped with the markup for VF. Moreover, the VF components were made to have the look and feel of the components in the Lightning experience. ‘ Issue # 2 : Where to Start ? The developers need to know where to start. We have the Visualforce Usage API and the Analyzer to help us in this type of issue. Visualforce Usage API It acts as any other API and when used against the Salesforce org returns the number of page views of your Visualforce page for a duration of say last 30 days. This was for resolving the issue on migrating to Lightning experience. Moreover, it helped people to understand which all pages were viewed by the end users. All these were well documented in the trailhead modules but for people who did not have sufficient time to read, the Visualforce Analyzer would be an useful tool. Let us now understand what is this tool all about ? Visualforce Analyzer For this there is a parameter called Lightning Readiness Check, accessible from the setup. When we click, this runs a report by the running the metadata against the org. This gives information on the org and how it fares in the Lightning experience. This lets you choose those pages with action items for whatever you are supposed to do, with these pages. There are many instances when Visualforce pages are used inside the Lightning experience. Read Original Written Article on Our Official Blog at Components, Tools and Services Useful for the Lightning Developers This are the various components, tools and services for Lightning developers. We will throw some light on the following items: VisualforceUsing Lightning Components with Visualforce pagesLightning Data ServicesThis post will provide you with insights on all the above three topics. Moreover, we will tell you about Lightning Data Services. Let us first understand “ Visualforce and the issues faced by developers ?” and “What are the tools to be used with Visualforce ?”. Visualforce and the Issues faced by Developers ?Visualforce is very well adopted by the developers. Visualforce is a server-centri Continue Reading",2021-03-05T08:50:00.603Z,"What are some tools and services for a Salesforce Lightning developer? ",Quora
6041f5b1ed76476feda1a1a9,https://www.quora.com/How-is-the-market-in-London-in-terms-of-a-Salesforce-lightning-developer?-,,2021-03-05T09:11:13.039Z,"How is the market in London in terms of a Salesforce lightning developer? ",Quora
6041f5eaed76476feda1a1fb,https://www.quora.com/How-do-I-open-the-developer-console-in-Salesforce-Lightning?-,"Go to the gear icon on the top right. If you have API permissions, the developer console link will be in the dropdown- Right below service setup. You can also open it directly by appending “/_ui/common/apex/debug/ApexCSIPage” to your lightning domain URL Augustya Karavat",2021-03-05T09:12:10.925Z,"How do I open the developer console in Salesforce Lightning? ",Quora
6041f5ffed76476feda1a21b,https://www.quora.com/Which-is-the-best-Salesforce-lightning-app-development-company?-,Avni Gupta ArizTech Marketing,2021-03-05T09:12:31.526Z,"Which is the best Salesforce lightning app development company? ",Quora
6041f6a3ed76476feda1a321,https://www.quora.com/Can-I-use-a-Lightning-Design-system-framework-for-non-Salesforce-application-development?-,,2021-03-05T09:15:15.797Z,"Can I use a Lightning Design system framework for non-Salesforce application development? ",Quora
6041f6dced76476feda1a37c,https://www.quora.com/How-can-you-solve-data-formatting-issues-when-developing-lightning-web-components-in-Salesforce?-,,2021-03-05T09:16:12.847Z,"How can you solve data formatting issues when developing lightning web components in Salesforce? ",Quora
6041f7f8ed76476feda1a52d,https://www.quora.com/Which-is-the-best-online-training-institute-for-Salesforce-Lightning?-,"Sean Starck, IT Manager at Outbox Technology (2014-present)Answered 1 year ago Sean Starck Salesforce Lightning is an upgraded version of Salesforce Classic. With the help of this, the interaction between your partners, customers, and clients become quicker and easier. But this is not the only purpose of Salesforce Lightning.  It will also help you build your applications in lesser time than before and increase your productivity. Create apps faster and at a lower rate.Too much coding is not required.The new and fast user interface makes CRM effective.It has a Graphical User Interface (GUI).Lightning App BuilderAppExchangeLightning ConnectLightning Component FrameworkYou get access to a Continue ReadingSalesforce Lightning is an upgraded version of Salesforce Classic. With the help of this, the interaction between your partners, customers, and clients become quicker and easier. But this is not the only purpose of Salesforce Lightning.  It will also help you build your applications in lesser time than before and increase your productivity. Create apps faster and at a lower rate.Too much coding is not required.The new and fast user interface makes CRM effective.It has a Graphical User Interface (GUI).Lightning App BuilderAppExchangeLightning ConnectLightning Component FrameworkYou get access to a lot more than these. Now, the question is how and where do you learn these? In today’s era, you can find online courses on a lot of websites or institutions. However, there is no guarantee that you will be able to make the most out of these courses. You might have to do a thorough research before finally enrolling yourself in a particular course. Go through their table of contents and see if all the topics mentioned in it are relevant to what you want to learn. Go through it one by one and then make a decision if you want to go ahead. Salesforce Lightning Online Training is provided be Janbask Training. They have one of the best training programs wherein they have assembled all the topics of Salesforce Lightning in one course. They have curated a table of content especially for people who are confused about how they want to go about the course. Salesforce Lightning by Janbask Training In the Janbask Training course, they try to explain everything from the basics. So, it will get easier for you to understand the concepts even if you are new to this and someone who does not have a great amount of knowledge of Salesforce. They have industry experienced trainers who will be there for you in every phase of the course. To test your knowledge, you will be assigned various assignments and real life case studies for you to solve. This will boost up your confidence and will help you figure out your weak points. You can also opt for a demo class and see if you are liking the way the course is unfolding. Once you are into the flow you can enroll yourself according to your time schedule. In the end, it is practice that makes you perfect. A good training program will help you along the way, but it is your hard work and perseverance that will bring out the best results. So, go enroll yourself and learn from the best while giving your best.",2021-03-05T09:20:54.985Z,"Which is the best online training institute for Salesforce Lightning? ",Quora
6041f820ed76476feda1a572,https://www.quora.com/Which-company-is-providing-the-best-Salesforce-development-services?-,"Alyssa Horton Looking out to get the best Salesforce development services first and foremost you need to look out for the company who can provide you the maximum rate of good quality work, whose market credibility and productivity is high. How will you get these kind of information, for that you need to analyze it’s stats of his previous worked projects, his associated partners details, what kind of projects they had worked in their previous years, how old is the company, what is the reputation of the company in the market, what sort of services they are offering, etc by analyzing each and every aspects you Continue ReadingLooking out to get the best Salesforce development services first and foremost you need to look out for the company who can provide you the maximum rate of good quality work, whose market credibility and productivity is high. How will you get these kind of information, for that you need to analyze it’s stats of his previous worked projects, his associated partners details, what kind of projects they had worked in their previous years, how old is the company, what is the reputation of the company in the market, what sort of services they are offering, etc by analyzing each and every aspects you can easily find the best company which can help to get your deals done. Recently one of my friend got to know about the company name called Vertexplus Technologies, who is capable enough to provides promising web as well as Salesforce development and design services in a very affordable prices across the world. It is a multilingual based company which provide theirs services in USA, Canada, Singapore as well as in India. They are having a professional team of developers and designers who give efficient perks of working along with 24*7 call support. So if you are also seeking for these kind of services then do connect with this firm you will surely get the get outputs and positive results very soon. Continue Reading",2021-03-05T09:21:36.817Z,"Which company is providing the best Salesforce development services? ",Quora
6041f862ed76476feda1a5df,https://www.quora.com/What-is-the-best-way-to-learn-salesforce-lightning?-,The best way to learn is by practising it. You may think of an app or an idea like a small project and then start developing it. Keep reading documentation for the problem that you face instead of stackoverflow. If document is not clearing your doubt then ask someone personally before searching the question on Google. You may start using trailhead as well for practise. Prolay Chaudhury Shubham Baunthiyal,2021-03-05T09:22:42.815Z,"What is the best way to learn salesforce lightning? ",Quora
