"_id",job_link,answer,date,question,source
604315baed76476feda23a5e,https://www.quora.com/What-is-the-difference-between-a-UX-and-UI-designer-and-a-web-designer?-,"Row Pars The differences between web design, UX design and UI design and why it matters to the clients that hire these designers. Web Design  Image Source: Google Web designers today are usually modern era graphic designers trained in visual design to be experts in: Creative concepting Color theory Typography Icon development Diagrams Infographics Interactivity, i.e., rollovers, drop-down me nus, digital slideshows, call-to-action buttons and forms. A web designer may have basic knowledge of information architecture (IA), HTML and JavaScript coding, but most designers must partner with a web developer for writing c Continue ReadingThe differences between web design, UX design and UI design and why it matters to the clients that hire these designers. Web Design  Image Source: Google Web designers today are usually modern era graphic designers trained in visual design to be experts in: Creative concepting Color theory Typography Icon development Diagrams Infographics Interactivity, i.e., rollovers, drop-down me nus, digital slideshows, call-to-action buttons and forms. A web designer may have basic knowledge of information architecture (IA), HTML and JavaScript coding, but most designers must partner with a web developer for writing code fit for production and an information architect for the IA. The web designer is also focused on the client's brand from both a visual and messaging perspective. UX Design  Image Source: Google UX is the acronym for ""User Experience."" UX design brings a decidedly left brain component to a digital experience and may encompass the design of apps or other software products as well as websites. While a good web designer is focused on the end user's experience, the UX designer takes it to the next level and applies a specific methodology around the user. A strong focus on UX may be a good fit for websites of some complexity due to: Multiple user types Multiple products or services catering to different audiences Size of the website Merger or acquisition UI Design  Image Source: Google UI stands for User Interface, which comes out of the software world in which the User Interface of a product IS the product. UI designers traditionally are experts in designing machine to human interfaces. The adage ""Form Follows Function"" is the operating principal in UI Design. With regard to websites, UI Design is more synonymous with front-end development, i.e., managing complex information, tasks and workflows and distilling it into screens and flows that are intutitive and make something complex appear simple. In essence, UI Design represents the intersection of programming and design. Different jobs, different salaries  Image Source: Google Now that you fully understand the difference between all three terms, let’s have a look at career prospects. You may be wondering how much a UX, UI or web designer earns and whether it will influence your decision. We’ll use PayScale for salary indications, but you can also use Glassdoor if you want a second opinion. Salary of UX designer: UK: £31,000 | US: $95,000 | Australia: AU$70,607 | India: Rs 609,379 Salary of UI designer: UK: £29,293 | US: $85,832 | Australia: AU$63,182 | India: Rs 405,211 Salary of web designer: UK: £22,860 | US: $48,495 | Australia: AU$52,595 | India: Rs 229,873 You can see that UX designers earn more than the two others. But don’t make it be your one and only reason why you choose this career path over the others. At the end of the day, you’ll want to be happy in your job and that’s why you need to pick the one that meets your wishes best.",2021-03-06T05:40:09.957Z,"What is the difference between a UX and UI designer and a web designer? ",Quora
604315f3ed76476feda23a82,https://www.quora.com/What-are-the-best-resources-for-quickly-learning-the-core-fundamentals-of-UI-and-UX-design?-,"Nadeem Bakhsh UX covers a large range of topics. There are tons of good online resources and books.  The main thing you need to know about UX: what may be a great design for one business, may not be right for you. You should always consider your business goals and target audience, and do lots of testing to tailor your site to your specific audience. Never make any assumptions, ask your users.  Start with these resources, to get the basics, and check out further reading from there.   If I was to pick two web resources: 1. useit.com - Check out the alertbox section from Jakob Neilsen, who some consider the guru Continue ReadingUX covers a large range of topics. There are tons of good online resources and books.  The main thing you need to know about UX: what may be a great design for one business, may not be right for you. You should always consider your business goals and target audience, and do lots of testing to tailor your site to your specific audience. Never make any assumptions, ask your users.  Start with these resources, to get the basics, and check out further reading from there.   If I was to pick two web resources: 1. useit.com - Check out the alertbox section from Jakob Neilsen, who some consider the guru of usability. 2. smashingmagazine.com - A collection of articles, tools and resources on good efficient design and inspiration.  Two books: 1. Designing the User Interface: Strategies for Effective Human-Computer Interaction by Ben Shneiderman, 2. Designing Web Usability by Jakob Nielsen The most important thing is user testing. Useit.com gives you some basic guidelines, two books by Steve Krug, 'Don't make me think', and 'Rocket surgery made easy' also gives you some basic foundations in testing.  Few online tools that I recommend for analyzing your design's effectiveness: 1. crazyegg.com (especially the confetti view), I see it as visual web analytics. 2. Google analytics, a bunch of tools available there, along with a/b testing3. verifyapp.com (can do all kinds of simple remote tests and get comments/opinions easily via sharing) Hope that gives you something to start with? Continue Reading",2021-03-06T05:41:07.611Z,"What are the best resources for quickly learning the core fundamentals of UI and UX design? ",Quora
6043161ced76476feda23a98,https://www.quora.com/Why-are-Java-developers-bad-UI-and-UX-designers?-,"Miguel Paraz Slang for some one who is great at both is a ""unicorn"" because they are regarded as somewhere between rare and mythical. I've been described as a swiss army knife because I am a designer who can also kernel hack in C and all things in between. Picture me in the 1970s with a soldering iron in one hand and a sumi brush in the other.  Like a swiss army knife I am a generalist not a specialist. I dabble in all things but for all jobs I do there is a better more specialized tool out there. I'm not sure what combination of circumstance, genetics and experience truly made me equally passionate about ""a Continue ReadingSlang for some one who is great at both is a ""unicorn"" because they are regarded as somewhere between rare and mythical. I've been described as a swiss army knife because I am a designer who can also kernel hack in C and all things in between. Picture me in the 1970s with a soldering iron in one hand and a sumi brush in the other.  Like a swiss army knife I am a generalist not a specialist. I dabble in all things but for all jobs I do there is a better more specialized tool out there. I'm not sure what combination of circumstance, genetics and experience truly made me equally passionate about ""all the things!"" but it feels like I came this way out of the box. I agree that its also about the platform and the tools. Here is an interface that despite my pixel perfect orange number bullets and its intent to be a mini design tool and being coded in swingx (JavaFX was too new at the time) is still very very java-esque.  JavaFX can help but still has less than ideal tooling. Here is a JavaFX example fulled from studio moto powered by motorola. One can make art with sticks and mud.  Artists want to become one with a tool and have a unified unfragmented experience where the same logic can be applied at all levels. Macromedia era Flash; more than any other developer tool provides that for the interactive designer. Seemless allowing designers to reuse and build up asset libraries that a coder would describe as DRY without ever making the designer learn OOP or right code but naturally flows out of a few simple features. Here is a pure vector flash UI I did circa 2002. All pure scalable vectors composed and designed in flash.  Oddly enough this had a Java middle tier and a C++ backend and some serious ActionScript for automated animations and to wire into the middle tier. One reason I am addicted to startups is that I get to apply not only my engineering and design chops but also other facets like sociology, psychology, business and finance. I recently joined tixie.com and we just started hiring our first specialists after I've been trying to keep the boat afloat for 3 months. So in conclusion its a supply side problem of rare unicorns combined with tools that act as barriers to the learning that comes from creative experimentation.",2021-03-06T05:41:48.439Z,"Why are Java developers bad UI and UX designers? ",Quora
6043166ded76476feda23ac2,https://www.quora.com/What-do-UI-and-UX-designers-do?-,"John Athayde, VP of Design, Owner of an Agency, 20+ years in print, web, and postAnswered 4 years ago · Author has 444 answers and 609.7K answer views John Athayde UX/UI is so broad I’m going to break it down into specific types of design within that, and I’ll only be covering a sampling anyway. To attempt to cover everything would be nearly impossible and outside of the scope of anything, save a book.  From: The Disciplines of User Experience Design You’re probably thinking about the types of jobs handled by most web-app-startup-based design teams, so I’ll focus on those: Research/Human FactorsInformation Architecture/StrategyExperience DesignInterface/Interaction/Motion DesignSHARED TOOLS Regardless of what you’re doing, there’s a 99.9% chance you’ll use th Continue ReadingUX/UI is so broad I’m going to break it down into specific types of design within that, and I’ll only be covering a sampling anyway. To attempt to cover everything would be nearly impossible and outside of the scope of anything, save a book.  From: The Disciplines of User Experience Design You’re probably thinking about the types of jobs handled by most web-app-startup-based design teams, so I’ll focus on those: Research/Human FactorsInformation Architecture/StrategyExperience DesignInterface/Interaction/Motion DesignSHARED TOOLS Regardless of what you’re doing, there’s a 99.9% chance you’ll use the following: WhiteboardStickiesPen/Pencil/Paper (either bond sheets or something more like architectural trace)Computer with Office suite or equivalentNo matter the role, those tools seem to pop up, especially in cross over sessions UX RESEARCH Researchers are trying to understand the problem we want to solve. A lot of people will try to skip over this step, which leads to “The Dribbilization of Design” [1]that many people bemoan these days: Pretty solutions in search of an actual problem (or “Dear Lord, not another weather app design…”) Research involves a lot of time talking to users. Audio recorders, Pen and paper, video recorders, software such as Silverback (Mac) or Camtasia (Win), and a lot of checking your assumptions at the door. Research creates our personas, our user stories, and so much more. It should be used continuously to test prototypes and concepts. Sometimes this is done in a lab, sometimes it’s done in the field and sometimes it’s done in the field and filmed/edited into something that is more than just for the rest of the team (e.g. Kelly Goto’s gotomedia company’s work) You can use tools like fullstory.com to record interactions of actual users and see flow problems in production. Many people working in the research area also have Psychology and Human Computer Interaction backgrounds, which is more formal and can be very valuable in jumping past some of the unknowns. INFORMATION ARCHITECTURE/STRATEGY IA is the traditional label to “wireframes” but it’s broader now. This is where the base flows begin, the content strategy happens, the product is defined, and the magic actually happens. What comes after is completely reliant on a good foundation here. And most of the work is analog. There are artifacts created in Visio or OmniGraffile or Illustrator or InDesign. Many times things stay on paper until they’re turned into a clickable prototype with Keynote, InVision, or another similar tool. Brand, voice, and other foundational concepts must be worked out here in order for a product to succeed. They can happen concurrently, and sometimes we go back and fix them, but if they aren’t ever handled, the product is not going to compete well. EXPERIENCE DESIGN This is where the rubber meets the road, the interfaces start to line up, and things go from concepts into clickable realities. Things that worked great in concept fail rapidly at this point. There’s as many tools as there are designers, but most of my day is spent with trace paper and pen, which then is converted into a Sketch file (I used to use Photoshop and Fireworks). There’s many designers who like working in Illustrator as well. Adobe recently released a beta of their new UX design tool (“XD”), which means everyone will now say “I do experience design!” because they opened the application once. INTERFACE/INTERACTION/MOTION DESIGN This overlaps with Experience Design. Many designers are doubling up working through experience flows and then also making decisions about the actual spit and polish of the application, especially in smaller teams. The larger the team, the more likely this is to be a specialized role. Some motion designers work straight in code. Some use frameworks built on top of developer tools (e.g. Apple’s Quartz Composer or Oragami Studio[2] from Facebook). Not all apps need this kind of interaction work, and sometimes it’s prototyped as straight up motion graphics video (After Effects, etc). So all that being said, how does that convert to me? MY DAILY RUN So I’m a team of one, doing all the design for a small startup. I’m pow-wowing with the CMO, CTO, and CEO on a regular basis to provide resources we need. I’m also handling marketing design. Most of the time I start on pen and paper (working from home, most of my wall space is bookshelves, and a whiteboard is difficult to hide). Pretty much use the majority of the Adobe suite, Sketch, TextMate/Atom, Tower (git client), and Office-esque tools. MY FREELANCE RUN When I’m doing freelance work I’m more of a hybrid Product Manager/UX designer/Front-end dev (no JS). Again I’m starting with pen and paper, moving rapidly into Sketch (where I’ve built a kit of parts for the brand as I’ve gone) and I’m posting mocks for review with developers and client alike in InVision. I’m delivering HTML/CSS into the git repository with TextMate or Atom, Terminal, and Tower (git GUI client) So, the answers are going to probably be as numerous as the designers who reply. The basics is finding out what you want to do, what you excel at and enjoy, and then tool up around the jobs you’re trying to do. I guaruntee that in 5 years, we’ll have new tools to talk about. The tasks will be (mostly) the same. FURTHER READING: Just Enough Research (A Book Apart) The Sprint Book (Knapp, et al) The User Experience Team of One (Buley) Footnotes[1] The dribbblisation of design - Inside Intercom[2] Origami Studio — Design Prototyping",2021-03-06T05:43:09.187Z,"What do UI and UX designers do? ",Quora
6043175ced76476feda23b3e,https://www.quora.com/What-are-UI-and-UX-design-principles?-,"In broad strokes (you did say keep it brief) some best practices of both interaction and experience design might be: Your design should solve a real problem founded in some type of research or dataThe design should make it clear what each element of the interface can and should do (buttons should look like buttons, titles like titles, anything that's not interactive should be clear)The design should be built around a coherent and unified system of components and patternsThere should be a clear visual hierarchy in the design (what matters most, what matters least, how does the visual design of tContinue ReadingIn broad strokes (you did say keep it brief) some best practices of both interaction and experience design might be: Your design should solve a real problem founded in some type of research or dataThe design should make it clear what each element of the interface can and should do (buttons should look like buttons, titles like titles, anything that's not interactive should be clear)The design should be built around a coherent and unified system of components and patternsThere should be a clear visual hierarchy in the design (what matters most, what matters least, how does the visual design of these things communicate that)The design should have a clear start and end state (how does a user know they're in step one versus how do they know when they've accomplished something in the experience)But let's step back for a minute. In terms of design principles there are more tried-and-true items we should cover: BalanceEmphasisMovementPatternReptitionProportionRhythmVarietyUnityYou'll notice that some of these well-defined design principles echo some of the broad strokes I outlined earlier. Unity and reptition play out in the elements of a comprehensive design system. Proportion and emphasis play into a visual hierarchy. Movement and rhythm are an intimate part of any interaction design. Together these principles shape the core fundamentals of any design process, whether it's graphic, visual, interaction, or the over-arching product design process. In broad strokes (you did say keep it brief) some best practices of both interaction and experience design might be: Your design should solve a real problem founded in some type of research or dataThe design should make it clear what each element of the interface can and should do (buttons should look like buttons, titles like titles, anything that's not interactive should be clear)The design should be built around a coherent and unified system of components and patternsThere should be a clear visual hierarchy in the design (what matters most, what matters least, how does the visual design of tContinue Reading",2021-03-06T05:47:08.375Z,"What are UI and UX design principles? ",Quora
60431786ed76476feda23b54,https://www.quora.com/What-are-some-good-online-resources-for-learning-UI-and-UX?-,"Swarup K. Bagul Hello, there are different platforms which offers you online courses. Based on my observation where we have 12 people team working with us at our UX/UI Design Studio, I noticed our junior designers usually are very much confused and do not get right direction to learn new things over internet. They need some assistance from experienced guys in our team. Following are the points which will give you more clarity to choose the courses & platform to update your knowledge. We all get tons of knowledge and information everyday over internet, its quiet easy for our mind to get stuck in dualities and leaContinue ReadingHello, there are different platforms which offers you online courses. Based on my observation where we have 12 people team working with us at our UX/UI Design Studio, I noticed our junior designers usually are very much confused and do not get right direction to learn new things over internet. They need some assistance from experienced guys in our team. Following are the points which will give you more clarity to choose the courses & platform to update your knowledge. We all get tons of knowledge and information everyday over internet, its quiet easy for our mind to get stuck in dualities and lead in confusion. While searching for the information and going through various articles/blogs or forums we easily get distracted towards other links and content and loose our focus. (this has happened with me too).Ultimately once you have lost your focus there are rare chances to reach upto your desired target. Considering this user behavioural pattern, we must stay focused (at least when our goal is to top up our knowledge/skills) and choose a course which is fairly engaging and interactive.For me & many - videos works best. It will help you to stay focus and will increase your memory & attention span. Video simply works in a different dimensions and creates a trust. The best part is you do mind to watch it again and again till you understand it. (reading is a boring activity for most of the creative people)The content of the course is equally important and has to be well structured.I found Lynda as a perfect platform which helps you to choose your content, costs low, gives you better control/flexibility and helps you to stay focused. It also motivates you by offering certifications which you can attach with your Linkedin profile and cross checks your knowledge by (session wise) by taking quick exams immediately. If you are looking for something free then Youtube may help you for particular topic but let’s accept Youtube is not meant to be educational platform. Their goal is different, so at some point of time you will have to shift.Before going for any big courses I suggest all the beginners to take a small step and go for video based courses by investing small amount.Trust this will help you. Thanks for reading! Continue Reading",2021-03-06T05:47:50.522Z,"What are some good online resources for learning UI and UX? ",Quora
604317cbed76476feda23b79,https://www.quora.com/Why-is-UI-and-UX-design-not-important-to-Quora?-,"The design, in terms of both aesthetics and usability, seems to be lacking a lot, so it seems like it must not be important since Quora is several years old. It may be acceptable for a first release, but eventually most modern startups make sure their site and apps are very simple to use and follow elegant design practices. Some issues I see include:> The controls for the questions are scattered all over the page. You edit topics on the left sidebar and you ask to answer below the comments, but the rest of the settings are available via the 3-dot menu. But wait, to view the edit log, you have Continue ReadingThe design, in terms of both aesthetics and usability, seems to be lacking a lot, so it seems like it must not be important since Quora is several years old. It may be acceptable for a first release, but eventually most modern startups make sure their site and apps are very simple to use and follow elegant design practices. Some issues I see include:> The controls for the questions are scattered all over the page. You edit topics on the left sidebar and you ask to answer below the comments, but the rest of the settings are available via the 3-dot menu. But wait, to view the edit log, you have to go hunting below the topics.> The Android app. It's slow and buggy, comments open in a new page, the app hasn't adopted material design standards yet, and the controls are just as scattered as the web app.> First time users are thrown in and expected to parse through all this. There isn't a simple product tour for new users.>The profile page is confusing. For example it lumps together the questions you asked the questions you want answers to.>There is a general feeling of clutter reminiscent of the 90's web.> The logo and colos do not give the feeling of life and vibrance. I suppose it is supposed to signal a sense of solidity and knowledge, which is great, but they have forgotten that you also need to promote emotions of growth and progress.  I understand your grief with it, but really some of those things are intentional First level of important second level of importance are in the right places, obscure features or rarely use features are intentionally Difficult I think Quora strikes the right balance for their target audience. also when you're at this size you're unlikely to see any complete site reworks only incremental small changes. Regarding the logo again it's a matter of the hierarchy, It maintains simplicity and not attract too much attention, good enough that you'll see that it's there but not to the level it's distracting. again here using the site is more important regarding  growth and progress, I don't think It's their main concerns, they are more focused on knowledge. to their target audience and they are portrayed as a growing commercial entity, so that will be the inaccurate signal to send. That's my take on it The design, in terms of both aesthetics and usability, seems to be lacking a lot, so it seems like it must not be important since Quora is several years old. It may be acceptable for a first release, but eventually most modern startups make sure their site and apps are very simple to use and follow elegant design practices. Some issues I see include:> The controls for the questions are scattered all over the page. You edit topics on the left sidebar and you ask to answer below the comments, but the rest of the settings are available via the 3-dot menu. But wait, to view the edit log, you have Continue Reading",2021-03-06T05:48:59.846Z,"Why is UI and UX design not important to Quora? ",Quora
604317eced76476feda23b8b,https://www.quora.com/What-is-easy-way-to-learn-UI-and-UX-designing?-,"UI and UX Design are two different specialisation. We do hear them interchangeably but these are two very different skill sets which need a different thought process. UX / UI terminologies and methodologies can be learnt through various courses available. However, what is important in both the fields is not theoretical knowledge but practically the correct decision making and analysis skill. There may be many solutions for any problem but which solution to choose for solving your problem is what comes through hands-on experience. Do an internship and that would be the best way to gain practical knowledge.",2021-03-06T05:49:32.591Z,"What is easy way to learn UI and UX designing? ",Quora
60431812ed76476feda23ba0,https://www.quora.com/Where-can-I-learn-UI-and-UX-design?-,"Hey UXers, For learning the processes and principles of UI/UX, I suggest you to go for these 5 steps:- Online Courses - Go for some of the Paid Online Courses on Interaction Design Foundation, Udemy, Coursera, etc. But before that, just make sure the Instructor is an experienced guy. Look for the rating of the course before enrolling.Books - Read books on the Basic Design theory by Don Norman, Tim Brown, etc. This will help you to understand the concepts on a wider aspect. You will find out that design is not just limited to Interaction Design of Mobile/Web Apps.Youtube Videos - Regularly watch Continue Reading Hey UXers, For learning the processes and principles of UI/UX, I suggest you to go for these 5 steps:- Online Courses - Go for some of the Paid Online Courses on Interaction Design Foundation, Udemy, Coursera, etc. But before that, just make sure the Instructor is an experienced guy. Look for the rating of the course before enrolling.Books - Read books on the Basic Design theory by Don Norman, Tim Brown, etc. This will help you to understand the concepts on a wider aspect. You will find out that design is not just limited to Interaction Design of Mobile/Web Apps.Youtube Videos - Regularly watch some of the videos on Youtube regarding UI, UX like Flux, Design Gal, etc. Just search for ‘UI/UX’ and you will get a list of a whole new world of UI/UX Design with experienced designers.Personal Projects - Try to find out what are the problems you face and try to solve them through your Design Thinking. You can go for Weekly challenges in Uplabs or 100 days Daily UI challenge.Internships and UX Bootcamps - Apply for internships or attend some UX Bootcamps where you will get an environment to be with similar people and this can help you to put your knowledge into practice and also to make connections with senior designers who are expert in the field.Hope this will help, don’t forget to Upvote! Thanks :) Hey UXers, For learning the processes and principles of UI/UX, I suggest you to go for these 5 steps:- Online Courses - Go for some of the Paid Online Courses on Interaction Design Foundation, Udemy, Coursera, etc. But before that, just make sure the Instructor is an experienced guy. Look for the rating of the course before enrolling.Books - Read books on the Basic Design theory by Don Norman, Tim Brown, etc. This will help you to understand the concepts on a wider aspect. You will find out that design is not just limited to Interaction Design of Mobile/Web Apps.Youtube Videos - Regularly watch Continue Reading",2021-03-06T05:50:10.028Z,"Where can I learn UI and UX design? ",Quora
6043186bed76476feda23bd3,https://www.quora.com/What-are-some-things-that-UI-and-UX-designers-do-that-annoy-developers?-,"Have no idea how much work they’ve passed off — many designers are not, and have never been, a developer. They have no idea how much work they’ve just passed off with this super elegant and pretty mock. I dislike passing work on to someone else without knowing what I’ve given them, but maybe that’s just me.Giving you mocks of ridiculous size for what they will become — look man, I get that mocks are often projected and discussed with teams and on meetings, I do. But why is this one 6000 pixels wide if it’s a mobile mock? Like surely there’s gotta be happy medium where you can get all the nice Continue ReadingHave no idea how much work they’ve passed off — many designers are not, and have never been, a developer. They have no idea how much work they’ve just passed off with this super elegant and pretty mock. I dislike passing work on to someone else without knowing what I’ve given them, but maybe that’s just me.Giving you mocks of ridiculous size for what they will become — look man, I get that mocks are often projected and discussed with teams and on meetings, I do. But why is this one 6000 pixels wide if it’s a mobile mock? Like surely there’s gotta be happy medium where you can get all the nice little details on the screen without needing to make everything 100x bigger than it will appear. Surely.I especially dislike this because no matter how you try to design the end-product it always looks “just a little off” from the mocks, and clients hate that for some reason life isn’t perfect.Don’t supply you with what you need — alright, you’ve mock’d it up, everyone loves it, now it comes to me. I get simply a JPG image of the final design and nothing more. Can I at least get a PSD to work with here? I mean I’m not wizard with graphics stuff but I can pull images out of a PSD (slowly, and probably doing it the wrong way, but it’s the only way I’ve ever known and since I never actually studied it … *shrug*). “Here’s a final mock Jim, with at least 10 different assets you don’t have.” Err… okay? Message the designer -> no response. “Jim what’s taking so long?” I’VE SAID IT 3 TIMES ON THE TICKET, CAN SOMEONE GET ME THE REQUESTED IMAGES SO I CAN COMPLETE THIS OR ARE WE JUST GOING TO IMAGINE THE BACKGROUND ISN’T THE WORD “PLACEHOLDER” THAT I MADE IN PAINT?Not exist — what do you mean we don’t have a designer? That imaginary bastard! Have no idea how much work they’ve passed off — many designers are not, and have never been, a developer. They have no idea how much work they’ve just passed off with this super elegant and pretty mock. I dislike passing work on to someone else without knowing what I’ve given them, but maybe that’s just me.Giving you mocks of ridiculous size for what they will become — look man, I get that mocks are often projected and discussed with teams and on meetings, I do. But why is this one 6000 pixels wide if it’s a mobile mock? Like surely there’s gotta be happy medium where you can get all the nice Continue Reading",2021-03-06T05:51:39.066Z,"What are some things that UI and UX designers do that annoy developers? ",Quora
