"_id",job_link,answer,date,question,source
604329eaed76476feda24719,https://www.quora.com/Which-should-I-choose-as-a-Webflow-developer?-,,2021-03-06T07:06:17.950Z,"Which should I choose as a Webflow developer? ",Quora
60432a11ed76476feda24742,https://www.quora.com/Can-Web-developer-be-replaced-by-Webflow-developers-at-a-big-scale?-,,2021-03-06T07:06:57.857Z,"Can Web developer be replaced by Webflow developers at a big scale? ",Quora
60432b02ed76476feda24837,https://www.quora.com/Do-any-front-end-developers-use-Webflow?-,"I don't and hardly think a front end developer would be inclined to use it. One of the several beauties of our job is the realization of creation, so we get happy in creating something with our own hands. Something that webflow will not deliver.  It seems Webflow is best for non front end developers. Stephen Dench",2021-03-06T07:10:58.266Z,"Do any front end developers use Webflow? ",Quora
60432b02ed76476feda24839,https://www.quora.com/Do-I-still-need-web-developers-after-using-Webflow?-,"This is a great question and there are great answers posted. I have to agree that it depends on the requirements for the site. Webflow is built for professionals but argued to be for designers that can’t code. The website’s blog even describes Webflow as a “different way to code” and implies that designers can code, but visually. It is unique that although it focuses on the usability and functionality of designers, web developers (that can code) designs with Webflow as well. I would argue that you don’t necessarily need a web developer to build a site, but there happens to be some circumstance  Continue ReadingThis is a great question and there are great answers posted. I have to agree that it depends on the requirements for the site. Webflow is built for professionals but argued to be for designers that can’t code. The website’s blog even describes Webflow as a “different way to code” and implies that designers can code, but visually. It is unique that although it focuses on the usability and functionality of designers, web developers (that can code) designs with Webflow as well. I would argue that you don’t necessarily need a web developer to build a site, but there happens to be some circumstance where you’ll need one beyond Webflow (site management reasons). For instance, in situations where there is a need to create or correct code that Webflow lacks. Is Webflow for developers? My experience added that the “level of control and closeness to actual code” makes Webflow more difficult to use for the average person. And ended the article with “A nice tool for a designer, a weapon in the hands of a developer” which encapsulates my answer to this question. You don’t necessarily need a web developer after using Webflow but having one, can put you at a competitive advantage. This is a great question and there are great answers posted. I have to agree that it depends on the requirements for the site. Webflow is built for professionals but argued to be for designers that can’t code. The website’s blog even describes Webflow as a “different way to code” and implies that designers can code, but visually. It is unique that although it focuses on the usability and functionality of designers, web developers (that can code) designs with Webflow as well. I would argue that you don’t necessarily need a web developer to build a site, but there happens to be some circumstance  Continue Reading",2021-03-06T07:10:58.272Z,"Do I still need web developers after using Webflow? ",Quora
60432b02ed76476feda2483b,https://www.quora.com/Will-tools-like-Webflow-replace-web-developers?-,"Georgi Popov, Project Manager at 2create (2010-present)Answered 1 year ago · Author has 72 answers and 23.4K answer views Georgi Popov There are several aspects to your question. I’ll try to cover them below: Such tools have not replaced web developers in the past. Why would you expect this to happen in the future? Tools that would allow people to create websites with absolute 0 knowledge about web development languages have existed for at least 20 years. I’m 30 years old, so I don’t quite know what the situation has been before I was 10. As the web itself has evolved, so have those tools. Still, web developers have not gone extinct in the past 20 years. Nomatter how advanced those tools get, they will always be limited to allowi Continue ReadingThere are several aspects to your question. I’ll try to cover them below: Such tools have not replaced web developers in the past. Why would you expect this to happen in the future? Tools that would allow people to create websites with absolute 0 knowledge about web development languages have existed for at least 20 years. I’m 30 years old, so I don’t quite know what the situation has been before I was 10. As the web itself has evolved, so have those tools. Still, web developers have not gone extinct in the past 20 years. Nomatter how advanced those tools get, they will always be limited to allowing you to achieve no more than 10% of what a good developer can provide. Such tools are actually quite limited. You need an actual developer to handle complex tasks. At the very least — those tools allow you to create only static sites. Even if they provide options for some dynamic widgets (like a section on one page would pull the latest blogposts you’ve entered elsewhere on the site) there would always be the need for custom dynamic functionality, not offered by the tools, so you end-up needing an actual developer to code this for you. You need a web developer to create those tools in the first place. A machine (or a piece of software) cannot replace it’s creator. You would need a person with web development skills to convert the user input in such tool to actual dev code to power everything up. So if you’re using such tool — you may not communicate your needs to a developer, but at the end you’re using the product of one who has simply provided you more control of what you’re getting. And with greater control comes greater responsibility, as if you break something — you won’t have the developer fix it for you. A tool like Webflow is a cheaper option, providing cheaper results. That is not necessarily a bad thing. If you need something simple and are OK with spending some time to achieve it — Webflow (or similar tools) would probably be the best thing you can consider. For professional results, however, you would need to go to a professional developer.",2021-03-06T07:10:58.277Z,"Will tools like Webflow replace web developers? ",Quora
60432b02ed76476feda2483d,https://www.quora.com/Is-Webflow-a-game-changer-in-web-development?-,"Yes, it is. Even the most similar alternative, i.e. WordPress, requires extensive knowledge of how code works to make any decent changes. However, using Webflow you can make some of the most complex if not all possible front-end designs, without a single line of code. So although the Webflow approach might not be called web development in a technical sense, it is definitely a replacement for conventional web development. The only limitation now is their market share which is less than 0.3%. Ayush Soni",2021-03-06T07:10:58.281Z,"Is Webflow a game changer in web development? ",Quora
60432b02ed76476feda2483f,https://www.quora.com/Is-it-possible-to-have-a-website-developed-with-webflow-in-multiple-languages?-,,2021-03-06T07:10:58.284Z,"Is it possible to have a website developed with webflow in multiple languages? ",Quora
60432b02ed76476feda24841,https://www.quora.com/Are-technologies-like-Webflow-a-threat-to-mainstream-web-developers?-,No.. Tools like that are good at making a quick prototypes/MVPs… but for a real website that achieves real results they are total garbage!,2021-03-06T07:10:58.288Z,"Are technologies like Webflow a threat to mainstream web developers? ",Quora
60432b02ed76476feda24843,https://www.quora.com/How-much-should-I-pay-a-developer-to-build-a-website-through-Webflow-web-builder?-,"Hi, Daina, thanks for requesting that I help you with your question. I’ll try to answer it to the best of my ability. The question of “how much” comes up daily for web developers and virtually all other service providers. Some web developers have “packages” and varying levels of development that they offer so people new to internet marketing can see menus, as if they were ordering at a restaurant. The problem with this approach is that most people’s needs don’t fit comfortably into a pre-defined box and I’ve never met or worked with a client yet who didn’t need more than they thought they did, and Continue ReadingHi, Daina, thanks for requesting that I help you with your question. I’ll try to answer it to the best of my ability. The question of “how much” comes up daily for web developers and virtually all other service providers. Some web developers have “packages” and varying levels of development that they offer so people new to internet marketing can see menus, as if they were ordering at a restaurant. The problem with this approach is that most people’s needs don’t fit comfortably into a pre-defined box and I’ve never met or worked with a client yet who didn’t need more than they thought they did, and didn’t want more a month or two later. So, it’s tough for web developers to give an exact price, honestly, on a service that requires in-depth discovery. A good, professional web developer, digital marketing specialist, SEO specialist, or really any other type of professional who works in advertising or marketing, has to talk with you at length before prescribing the best way to solve your problems and help you get more business through internet marketing; and almost everyone has tried to build their own sites before calling us…so there’s always facts attached to emotions we have to work through before we can really do a good job. Anyway, let’s get to your question directly. When you say “simple” to me, that word immediately sends up a red flag, because as we were discussing above, what may be “simple” to you may not be so simple to a programmer or developer who has to find ways to create the solution you want. And if it’s were truly “simple,” you’d have already done it by now - unless you are a programmer and developer yourself, know how to solve the issue and just don’t have the time, in which case you’d either budget the time to do it or know how to budget and scope the project. To many web developers and programmers who have what I call “real world” experience (and aren’t just installing a free template and then taking off), that word “simple” can be insulting to them right off the bat. It would be like going to a doctor, telling the doctor what is bothering you, how to perform the surgery, what tools to use, and that the procedure should be “easy.” I know you didn’t mean it that way, so let’s move on. I’m not familiar with WebFlow, and have no way of knowing why a developer would choose it or what’s going on with that aspect of development but price for any website, has to be determined based on a number of factors and can be determined in a number of ways: The developer can charge hourly. This is very common and (to me) a very bad idea because it takes a service that should be an ongoing process of internet marketing and reduces it to buying a single item like a cup of coffee or a toaster. But some developers still charge hourly rates. Most experienced developers won’t work for less than $100 per hour, which is very reasonable if the developer has credentials, a portfolio of real sites you can look at, verifiable testimonials from real people, and has professional memberships and affiliations. So the developer in this instance would speculate based on information provided, how many hours s/he think it should take and then quote an estimate. This presumes no last minute changes, revisions, content coming without issues, and so on. Another way is charging by the project, which is what we do. This is where we look at the hours we speculate the project should take to fulfill, but we also look at the overall value we are delivering to the client. And then the developer can quote an estimate based on that. For example, to a home re-modeler, two new referrals coming through the website could be worth 15–20 grand each, easily. One quality lead could be more than that. Now imagine that same person getting 4–6 phone calls or e-mails per month or per week as a result of the website. Now, all of a sudden, we go from delivering an empty template with no real value, to transforming a business within a few months, literally helping families provide for their futures. I’d say if we feel we can deliver that, and the client wants that and can understand that and is organized sufficiently to handle the increased leads, we’d ask for a percentage of what we make for the client and discussing building a relationship with the client, so that the “lead machine” can keep running forever without interruption. That’s called “value pricing” and since it’s a little complicated and many developers can’t do that, and many business owners can’t handle it, it’s not common. The down-side to all of this talk about price-hunting is that it suggests that we look at a process as if it were a single item or commodity. If we do this, it limits the Returns On Investment (ROI) we can get back - since the person you would work with is not being paid to deliver quality results, you as the client are not looking for actual ROI results just lowest price, so this creates a situation where nobody is really doing their best or focusing on delivering results (such as making your phone ring more and getting you to the top of Google search results). If we look at websites as marketing machines or online representations that can make more money for a business, they become more valuable, and this is what websites were always meant to do and be. It’s the “free” and “DIY” website template builder services that promise something for nothing that confuse people into believing websites are simply “one and done” items with no depth and no possibility for generating return. Finally, even on a very simple, rudimentary level, if we compare websites and internet marketing to look at price, it might help to be aware of other ways businesses attempt to market: Newspapers will ask for a few thousand bucks to run an ad in a daily newspaper for several weeks. Anything less doesn’t pay their massive overhead. What will you get back in return? Nobody can really say with honesty. If you put an ad in a yellow pages phone book, I’ve heard some people say it can cost as much as $500 per month. And yet who reads a phone book any longer? Why would you refer to a phone book when you can whip out your smartphone, hit up Google, and get what you want within seconds? And yet they’re still around and charging close to $500 per month for a very simple ad very few will ever in fact see. A year of that kind of payment can add up quickly and easily rack up to 6 grand. Ads in radio or television cost more, since they reach more people. So if a web developer asks for several thousand dollars for a quality website, knows what they’re doing, has references and experience, make sure the site works on all devices, and asks you about SEO, does his or her homework to make sure you get referrals from the site and cares about your business, no one can say that 2–3 thousand is unfair or not worth the investment. I’m sure others will chime in saying they’ll help you for $50 and so on, or that you can “do it yourself” and so on, but ultimately results are what should matter the most. If you get more leads, more referrals, more phone calls, more e-mails coming in daily or weekly, that’s worth the investment. Good luck with everything and hope this helps a wee bit.",2021-03-06T07:10:58.293Z,"How much should I pay a developer to build a website through Webflow web builder? ",Quora
60432b02ed76476feda24845,https://www.quora.com/Is-Webflow-good-for-developers?-,,2021-03-06T07:10:58.297Z,"Is Webflow good for developers? ",Quora
