Id,Domain,,,,Queue notation,,working or not,,,,,,,,,,,shared
15,Brand Manager,,,,,,1,,,,,,,,,,,yes
19,Podcast Writer,,,,c,,1 done as content writer,,,,,,,,,,,yes
23,Project Scheduling Expert,,,,c,,1 done as project manager,,,,,,,,,,,yes
24,Video Editor,,,,b,,1,,,,,,,,,,,yes
30,Conversion Optimization Specialist,,,,d,,1,,,,,,,,,,,yes
31,Sketch Designer,,,,e,,1 done as Product designer ,,,,,,,,,,,
32,Agile Project Manager,,,,f,,1,,,,,,,,,,,yes
34,Slackbot Developer,,,,,,not found,,,,,,,,,,,
40,Data Visualisation Specialist,,,,g,,1,,,,,,,,,,,yes
45,Web Scraping Consultant,,,,,,not found,,,,,,,,,,,
47,2D Animation Specialist,,,,d,,1,,,,,,,,,,,
49,Customer Retention Marketing,,,,h,,1,,,,,,,,,,,yes
50,Salesforce Lightning Developer,,,,i,,1,,,,,,,,,,,yes
67,Motion Graphics Expert,,,,j,,1 done as motion graphics designer,,,,,,,,,,,
71,Asana Expert,,,,,,no relevant data found,,,,,,,,,,,
72,Instagram Marketing Consultant,,,,k,,1 includes ques about digital mkt too,,,,,,,,,,,yes
73,Shopify Expert,,,,l,,1,,,,,,,,,,,yes
74,Search Engine Optimization (SEO) Expert,,,,m,,1,,,,,,,,,,,yes
77,Salesforce App Developer,,,,n,,1,,,,,,,,,,,yes
87,Data Mining Consultant,,,,a,,1,,,,,,,,,,,yes
89,Squarespace Developer,,,,,,not found,,,,,,,,,,,
94,Public Relations Consultant,,,,b,,1,,,,,,,,,,,yes
100,Product Designer,,,,,,1,,,,,,,,,,,yes
103,Virtual Assistant,,,,b,,1,,,,,,,,,,,yes
108,Audio Editing Specialists,,,,c,,1,,,,,,,,,,,yes
115,Data Analyst,,,,d,,1,,,,,,,,,,,yes
122,Image Annotation Specialist,,,,,,relevant data not foud,,,,,,,,,,,
135,Design Illustrator,,,,,,relevant data not foud,,,,,,,,,,,
138,Music Curator,,,,e,,1,,,,,,,,,,,yes
139,Photo Editor,,,,f,,1,,,,,,,,,,,yes
143,Voiceover Artist,,,,d,,1,,,,,,,,,,,yes
145,3D Animation Modeler,,,,,,1,,,,,,,,,,,yes
150,UI/UX Designer,,,,h,,1,,,,,,,,,,,yes
153,Social Media Marketing Consultant,,,,i,,1,,,,,,,,,,,yes
168,Web Research,,,,j,,1,,,,,,,,,,,
