"_id",job_link,answer,date,question,source
603cfad0b30e99eeabcd5858,https://www.quora.com/How-is-being-a-chef-as-a-career-in-India?-,"it really depends if you are passionate about it and you have to enjoy it, don't just dive in for the sake of glamour or money because ultimately it make you stick in a frustrated job. being a chef is very tough and demanding you need passion and interest, and in the initial years forget about money only gather experience and knowledge. you are expected to work till late hours and then report in the morning on time, properly disciplined and groomed, you cannot go along complaining about the job to anyone in the kitchen as it has a very rugged environment, it doesn't matter if you reach the position of an executive chef you always have to work hard and you keep learning as in the industry of food something new comes up every now and then and you have to adapt to the situation so as to improve Continue Reading it really depends if you are passionate about it and you have to enjoy it, don't just dive in for the sake of glamour or money because ultimately it make you stick in a frustrated job. being a chef is very tough and demanding you need passion and interest, and in the initial years forget about money only gather experience and knowledge. you are expected to work till late hours and then report in the morning on time, properly disciplined and groomed, you cannot go along complaining about the job to anyone in the kitchen as it has a very rugged environment, it doesn't matter if you reach the position of an executive chef you always have to work hard and you keep learning as in the industry of food something new comes up every now and then and you have to adapt to the situation so as to improve Continue Reading",2021-03-01T14:31:44.162Z,"How is being a chef as a career in India? ",Quora
603cfaf1b30e99eeabcd5860,https://www.quora.com/How-is-being-a-chef-as-a-career?-,"CHEF whenever we hear the word, we love to create an image where you are the Head One with white dress in Five Star Hotel… Some of the Advertisements portray an image of CHEF as a pretty Classy Job… Suddenly we think about taking it as a Career.. In simple words, have you seen your mom in Kitchen daily for most of the time? How much she feel exhausted at the end of the day.. Just cooking for you 2–3 people of a family.. But when you are ready to eat, instantly you pointing out the taste.. you advise which ingredients are more, which items she must prepare etc etc… The reality is somewhat like that but the levels are bit tougher… Where you are the mother restuarant and customers are the unknown whom you will never see in you life.. So someone will point out your dishes like you are his/her en Continue Reading CHEF whenever we hear the word, we love to create an image where you are the Head One with white dress in Five Star Hotel… Some of the Advertisements portray an image of CHEF as a pretty Classy Job… Suddenly we think about taking it as a Career.. In simple words, have you seen your mom in Kitchen daily for most of the time? How much she feel exhausted at the end of the day.. Just cooking for you 2–3 people of a family.. But when you are ready to eat, instantly you pointing out the taste.. you advise which ingredients are more, which items she must prepare etc etc… The reality is somewhat like that but the levels are bit tougher… Where you are the mother restuarant and customers are the unknown whom you will never see in you life.. So someone will point out your dishes like you are his/her en Continue Reading",2021-03-01T14:32:17.141Z,"How is being a chef as a career? ",Quora
603cfb10b30e99eeabcd5872,https://www.quora.com/Is-a-chef-as-a-career-a-good-choice-in-India?-,Include Related Answers Santhosh Kumar Ritesh Tripathi,2021-03-01T14:32:48.161Z,"Is a chef as a career a good choice in India? ",Quora
603cfb20b30e99eeabcd5878,https://www.quora.com/I-am-in-9th-standard-and-wanting-to-take-a-Chef-as-a-career-should-I-take-it?-,Deciding your career depends solely on you. Find your interests and you will know what you would want to do for the rest of your life without seeking someone else’s validation. Rajiv Ranjan,2021-03-01T14:33:04.795Z,"I am in 9th standard and wanting to take a Chef as a career should I take it? ",Quora
603cfb74b30e99eeabcd589e,https://www.quora.com/What-is-it-like-to-be-a-chef?-,"So you have answers here from guys working in hotels & restaurants. I will add one more dimension here, from the perspective of a chef on a cruise ship. I have worked several years on cruise ships, so can humbly say that ship life is way far different than on land.  I worked as section incharge there so can tell you how the day would be for the most of us who were actually cooking the food & than the Sous Chefs & Executive Chefs who were more caught up in paper work. 7:30 am - Quick b/f in the crew mess, provided you have recovered from last night's hangover. 8:00 am - On time for the morning briefing. The Executive Chef discusses the menu of the day, any last minute changes. Next day's plan of action is prepared.  8:30 am - Go down to the vegetable walk in rooms to get all the necessary veg f Continue Reading So you have answers here from guys working in hotels & restaurants. I will add one more dimension here, from the perspective of a chef on a cruise ship. I have worked several years on cruise ships, so can humbly say that ship life is way far different than on land.  I worked as section incharge there so can tell you how the day would be for the most of us who were actually cooking the food & than the Sous Chefs & Executive Chefs who were more caught up in paper work. 7:30 am - Quick b/f in the crew mess, provided you have recovered from last night's hangover. 8:00 am - On time for the morning briefing. The Executive Chef discusses the menu of the day, any last minute changes. Next day's plan of action is prepared.  8:30 am - Go down to the vegetable walk in rooms to get all the necessary veg f Continue Reading",2021-03-01T14:34:28.264Z,"What is it like to be a chef? ",Quora
603cfb84b30e99eeabcd58a4,https://www.quora.com/How-can-I-become-a-better-chef?-,Include Related Answers  How can I become a better chef?,2021-03-01T14:34:44.836Z,"How can I become a better chef? ",Quora
603cfb9db30e99eeabcd58b1,https://www.quora.com/What-is-the-best-chef-kitchen-knife?-,"If you have to ask I am not sure how to begin. A beginner should not spend a lot. Start with a cutting board and perhaps a Victorinox Swiss Army 8"" Chef's Knife.Also I recommend a protective sheath for the blade when not in use.Go and look at one in person. There are less expensive but the handle on this one is better than average and it is easy to keep clean. Find a knife shop that also does sharpening. No mater which knife you get you need it to be sharp and itwill need to be resharpened. A good cutting board is essential. For a professional chef and professional plants there is often a professional sharpening service that arrives once a week or once a month. Some kitchens and shops have individuals that are darn good at sharpening. The new Japanese VG10 steel core knives are a marvel but Continue Reading If you have to ask I am not sure how to begin. A beginner should not spend a lot. Start with a cutting board and perhaps a Victorinox Swiss Army 8"" Chef's Knife.Also I recommend a protective sheath for the blade when not in use.Go and look at one in person. There are less expensive but the handle on this one is better than average and it is easy to keep clean. Find a knife shop that also does sharpening. No mater which knife you get you need it to be sharp and itwill need to be resharpened. A good cutting board is essential. For a professional chef and professional plants there is often a professional sharpening service that arrives once a week or once a month. Some kitchens and shops have individuals that are darn good at sharpening. The new Japanese VG10 steel core knives are a marvel but Continue Reading",2021-03-01T14:35:09.944Z,"What is the best chef kitchen knife? ",Quora
603cfbbcb30e99eeabcd58ce,https://www.quora.com/What-is-the-best-career-to-transition-into-from-being-a-chef?-,Include Related Answers Bill Bell 4,2021-03-01T14:35:40.496Z,"What is the best career to transition into from being a chef? ",Quora
603cfbe7b30e99eeabcd58eb,https://www.quora.com/Is-this-possible-to-become-chef-after-engineering?-,Include Related Answers Pranav Malhotra Ankit Mahajan,2021-03-01T14:36:23.603Z,"Is this possible to become chef after engineering? ",Quora
603cfbf6b30e99eeabcd58f9,https://www.quora.com/Is-being-a-chef-a-good-career-opt-in-India?-,"Chefclub.in Hi Yes, It is one of the best career option in India. Yet, it is one of the challenging job in life. Everyday is like a battlefield. You may have to deal with a new task any moment of the day. And you survive only if you perform. But for those who love but only food, the job becomes easy. If you are passionate and willing to learn, nothing can stop you. Chefs have great demand in India and abroad with hefty pay cheque. But, do no opt this profession just for money, If you really like to cook food, and passionate about your choice, then this profession is for you. But introspect thoroughly before you join the chef brigade. There are a list of sacrifices you need to give to become a chef. It is a different world of finesse cooking. When others are celebrating with their families, you need to do Continue Reading Continue Reading",2021-03-01T14:36:38.504Z,"Is being a chef a good career opt in India? ",Quora
