"_id",job_link,answer,date,question,source
6040efbe22d1c358659e569b,https://www.quora.com/How-do-I-get-started-in-the-field-of-cloud-computing?-,"Get familiar with a cloud-based platform such as Amazon Web services, Azure, Google cloud platform or even Oracle cloud. Most of the cloud service providers conduct their own certification courses to make sure they provide enough knowledge to the software engineers who will engage with these cloud-based operations. You could also refer Udemy or Coursera online courses for AWS to refer to the links given below They are very convenient to learn and mostly done by experts in the field. https://www.udemy.com/course/aws-certified-cloud-practitioner/https://www.coursera.org/courses?query=awsV2 Cloud ma Continue Reading Get familiar with a cloud-based platform such as Amazon Web services, Azure, Google cloud platform or even Oracle cloud. Most of the cloud service providers conduct their own certification courses to make sure they provide enough knowledge to the software engineers who will engage with these cloud-based operations. You could also refer Udemy or Coursera online courses for AWS to refer to the links given below They are very convenient to learn and mostly done by experts in the field. https://www.udemy.com/course/aws-certified-cloud-practitioner/https://www.coursera.org/courses?query=awsV2 Cloud maintains a good blog that contains a lot of information useful for someone who wants to know about cloud computing. Also, there are good YouTube videos that are free that will give you lots of useful information on cloud computing basics. Check below tutorial for beginners.  If you have a basic understanding of programming languages and how software works start an online course that prepares you for AWS certifications held by Amazon. Since the majority of hosting in the world is done within AWS you will find this to be much more productive also not to forget the community support when you need help. Once you become good in AWS you can move to Azure and google cloud easily, Even Though the terminology is different conceptually you are doing the same thing in most of the cases. Hence you could quickly master the rest of the platforms. You could start from AWS Certified Cloud Practitioner if you are an absolute beginner and then move up depending on your purpose of being in cloud computing. Cloud computing is the on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user. Modern cloud platforms need only configurations from the user and the rest is automated. Also, cloud platforms offer tons of services like IoT, AI, facial recognition apart from their data security protocols which are widely used. If you are looking at a career in the areas of cloud computing I would suggest you follow CCNA/Red hat certifications along with AWS or Azure certifications. Get familiar with a cloud-based platform such as Amazon Web services, Azure, Google cloud platform or even Oracle cloud. Most of the cloud service providers conduct their own certification courses to make sure they provide enough knowledge to the software engineers who will engage with these cloud-based operations. You could also refer Udemy or Coursera online courses for AWS to refer to the links given below They are very convenient to learn and mostly done by experts in the field. https://www.udemy.com/course/aws-certified-cloud-practitioner/https://www.coursera.org/courses?query=awsV2 Cloud ma Continue Reading",2021-03-04T14:33:32.255Z,"How do I get started in the field of cloud computing? ",Quora
6040efc722d1c358659e56a1,https://www.quora.com/What-are-the-jobs-related-to-cloud-computing?-,"If you are migrating from enterprise to a cloud based solution, it is necessary to understand the different roles in cloud computing. CLOUD SERVICE PROVIDER: - This is the entity that provides the cloud service. The cloud service provider owns and controls the cloud computing platform. The services include SaaS (Software as a Service), PaaS (Platform as a Service), IaaS (Infrastructure as a Service) and IpaaS (Integration Platform as a Service). CLOUD CONSUMER: - This is the user that is consuming the cloud services. The “Cloud Consumer” could be one of the following: Developers in your enterprisContinue ReadingIf you are migrating from enterprise to a cloud based solution, it is necessary to understand the different roles in cloud computing. CLOUD SERVICE PROVIDER: - This is the entity that provides the cloud service. The cloud service provider owns and controls the cloud computing platform. The services include SaaS (Software as a Service), PaaS (Platform as a Service), IaaS (Infrastructure as a Service) and IpaaS (Integration Platform as a Service). CLOUD CONSUMER: - This is the user that is consuming the cloud services. The “Cloud Consumer” could be one of the following: Developers in your enterprise who are building the apps using the cloud infrastructure.Office workers and end consumers who are accessing the storage and productivity applications.IT support team that uses the cloud services such as cloud backups to supplement their resources.CLOUD SERVICE BROKERAGE: - Cloud Service Brokerage (CSB) provides intermediation services between the consumer and the provider. CLOUD ARCHITECTS: - These are the guys who will help you design your cloud solution and develop the right cloud architecture that suits your needs. The architecture should incorporate your storage, security, computing and compliance needs and build the right design that satisfies these needs. CLOUD AUDITOR: - Security is a very critical aspect in any cloud setup. Since you might be storing confidential enterprise data on a server over which you have less control, it is important to put in place the right auditing and regulatory processes. Cloud Auditors are a third party who will provide independent assessments on your cloud setup and point out to the security vulnerabilities, data leaks and performance issues. CLOUD CARRIER: - This is the provider of transport level infrastructure to the cloud and connects cloud service provider and the customers. Although the telecom companies providing these services are assumed to operate in the lowest part of the stack, these days the carriers are getting more aggressive in growing up the value chain by providing transport solutions tailored to the needs of various cloud providers and consumers. If you are migrating from enterprise to a cloud based solution, it is necessary to understand the different roles in cloud computing. CLOUD SERVICE PROVIDER: - This is the entity that provides the cloud service. The cloud service provider owns and controls the cloud computing platform. The services include SaaS (Software as a Service), PaaS (Platform as a Service), IaaS (Infrastructure as a Service) and IpaaS (Integration Platform as a Service). CLOUD CONSUMER: - This is the user that is consuming the cloud services. The “Cloud Consumer” could be one of the following: Developers in your enterprisContinue Reading",2021-03-04T14:33:43.727Z,"What are the jobs related to cloud computing? ",Quora
6040efdc22d1c358659e56ab,https://www.quora.com/Which-cloud-platform-is-best-for-a-career?-,Mihir Patel,2021-03-04T14:34:04.647Z,"Which cloud platform is best for a career? ",Quora
6040f03b22d1c358659e56d8,https://www.quora.com/How-do-I-become-a-cloud-engineer?-,"Cloud Engineer is an IT professional who takes care of all the technical workload related to Cloud Computing. The said workload may include managing, planning, architecting, and monitoring cloud systems. Along with knowing and implementing the best practices for deploying an application on the cloud. All the skills needed to fulfil the above roles & responsibilities of a cloud engineer are exactly what you need to learn to become a cloud engineer. Let me list out all the required skills, right from the entry-level to the experienced level job role. However, If you are more into learning from int Continue ReadingCloud Engineer is an IT professional who takes care of all the technical workload related to Cloud Computing. The said workload may include managing, planning, architecting, and monitoring cloud systems. Along with knowing and implementing the best practices for deploying an application on the cloud. All the skills needed to fulfil the above roles & responsibilities of a cloud engineer are exactly what you need to learn to become a cloud engineer. Let me list out all the required skills, right from the entry-level to the experienced level job role. However, If you are more into learning from interactive videos, then check out the following video:  The skills required for an entry-level cloud engineer job role: Basics of Cloud ComputingUnderstanding of Linux/Unix platformsBasic Programming skillsBasic Database skillsUnderstanding of DevOps methodologiesThe skills for an experienced cloud engineer job role: Solid hands-on experience with AWS, Azure and GCP - As per indeed, most of the organisations are looking for candidates with experience in any or all of these three cloud platforms.Efficiency in Python or Java - Another skill that most of the organisations are looking for, from experienced cloud engineer aspirants is high programming efficiency in either Python or Java or both.DevOps tool - As an experienced candidate, you would be expected to have not only the understanding of DevOps but also some significant experience with some of the most popular tools in DevOps, such as Puppet, Chef, Ansible and Docker.Hope this helps! Cloud Engineer is an IT professional who takes care of all the technical workload related to Cloud Computing. The said workload may include managing, planning, architecting, and monitoring cloud systems. Along with knowing and implementing the best practices for deploying an application on the cloud. All the skills needed to fulfil the above roles & responsibilities of a cloud engineer are exactly what you need to learn to become a cloud engineer. Let me list out all the required skills, right from the entry-level to the experienced level job role. However, If you are more into learning from int Continue Reading",2021-03-04T14:35:39.652Z,"How do I become a cloud engineer? ",Quora
6040f06a22d1c358659e56ed,https://www.quora.com/Is-it-possible-to-switch-my-career-from-a-networking-job-to-a-cloud-computing-job?-,"You have probably asked the right question! With changing IT Infrastructure in organizations, several roles are converging with increase in Cloud implementation - There is an overlap of Network Admin Role, Datacenter Virtualization Admin Role & Storage Admin Role into Cloud Infra Admin Role. Size would define the convergence level. Even if it doesn’t converge, it is very important for any Network Engineer to logically upgrade to Cloud so that you are not left behind. Consider the leaders AWS or Azure for upgradation. Sriram Kuravi",2021-03-04T14:36:26.731Z,"Is it possible to switch my career from a networking job to a cloud computing job? ",Quora
6040f0d922d1c358659e5722,https://www.quora.com/What-is-cloud-computing?-How-do-I-make-a-career-for-a-better-future-with-good-jobs?-,,2021-03-04T14:38:17.727Z,"What is cloud computing? ",Quora
6040f0ec22d1c358659e572e,https://www.quora.com/What-are-the-job-roles-available-after-a-BCA-in-cloud-computing-and-cyber-security?-,,2021-03-04T14:38:36.452Z,"What are the job roles available after a BCA in cloud computing and cyber security? ",Quora
6040f14122d1c358659e575a,https://www.quora.com/What-are-the-career-options-of-a-fresher-in-cloud-computing-and-getting-jobs-in-the-USA?-,,2021-03-04T14:40:01.825Z,"What are the career options of a fresher in cloud computing and getting jobs in the USA? ",Quora
6040f24822d1c358659e57de,https://www.quora.com/How-do-I-start-a-career-in-AWS-as-a-fresher?-,"Krishna Srinivasan If you are a fresher and want to start your career with AWS, I would say that you are in the right path. In another 5-10 years of time, there will not be any servers for run our web applications. Serverless architecture will be the future (Your Business Won’t Use a Server in 5 Years). The changes are already happening and AWS is leading the trend with it's more robust cloud platform. If you are a fresher and looking for AWS job, please send me a message or follow our Quora space for latest updates: Whizlabs Quora Space  If you have technical or computer background, it would be easier for you to u Continue ReadingIf you are a fresher and want to start your career with AWS, I would say that you are in the right path. In another 5-10 years of time, there will not be any servers for run our web applications. Serverless architecture will be the future (Your Business Won’t Use a Server in 5 Years). The changes are already happening and AWS is leading the trend with it's more robust cloud platform. If you are a fresher and looking for AWS job, please send me a message or follow our Quora space for latest updates: Whizlabs Quora Space  If you have technical or computer background, it would be easier for you to understand the AWS concepts. If you don't have the technical background, then it would little tough on initial days. It all depends on your passing on learning new things. You have interest, everything will be easier for you. Now let's focus on how to start learning AWS as a fresher. Learn about cloud computing If you don't have any idea about AWS, probably you will have to first learn about cloud computing. Unless you understand the purpose of cloud, you will not understadn why we are moving to AWS. What is cloud computing? - Definition from WhatIs.comWhat is cloud computing? Overview on Amazon Web Services (AWS) Once you have idea about the cloud computing, then start exploring about Amazon Web Services (AWS). Amazon has started it's cloud computing business around 2006. They are the early investor to cloud computing and have expertise on cloud computing. Most of the large organizations are moving their entire operations to AWS cloud to save cost and time. That shows the maturity and platform that Amazon has built over the years (Amazon claims another victim: Cisco kills its $1 billion cloud). Here is the place you to start : Amazon Web Services (AWS) - Cloud Computing Services. Just go through Amazon's official website and ready their documents about their services. There is lot of good videos that will walk you through each services. Some of the very useful resources are: AWS FAQs : AWS | FAQsAWS WhitePapers: Whitepapers – Amazon Web Services (AWS)AWS Certifications Another very good for starting with AWS is preparing for the certification exams. AWS certifications are more valuable in the market and it helps you to get good job. There are five certifications available for AWS exams. Associate CertificationsSolutions Architect Associate : How did you prepare for AWS Certified Solutions Architect - Associate Level certification?Developer AssociateSysOps Administrator AssociateProfessional CertificationsSolutions Architect ProfessionalDevOps Engineer ProfessionalThis is only the basics on how to start your exploration on AWS. There is lot many things on the internet where you can learn them. If you are looking fir any help, please send me a message.",2021-03-04T14:44:24.048Z,"How do I start a career in AWS as a fresher? ",Quora
6040f27022d1c358659e57f0,https://www.quora.com/Which-is-the-best-out-of-cloud-computing-and-cyber-security?-,"Sumit Shukla Best out of cloud computing and Cyber Security. Hmmm. Cloud Computing : Requires knowledge of development in various streams like database, software programming and network too.Has a limited scope as everything seems to be automated as automation is taking conventional jobs very fast.You have to be multivendor supportive like amazon aws, microsoft azure, or google apps.Not so challenging job as infrastructure will be some what same and so your job will be.Not every company is looking after cloud solutions because of secuirty concerns.It has some steer parameters regarding salary point of view so Continue ReadingBest out of cloud computing and Cyber Security. Hmmm. Cloud Computing : Requires knowledge of development in various streams like database, software programming and network too.Has a limited scope as everything seems to be automated as automation is taking conventional jobs very fast.You have to be multivendor supportive like amazon aws, microsoft azure, or google apps.Not so challenging job as infrastructure will be some what same and so your job will be.Not every company is looking after cloud solutions because of secuirty concerns.It has some steer parameters regarding salary point of view so you can expect much salary hike in cloud computing as competion is very less and talent is available and ready to work in a nominal salary pay.Cyber Secuirty: Very challenging field as it requires extensive knowledge about latest security technologies and products.You will be a very valuable resource of a company compared to cloud computing field as you yourself can have an idea that any company will definitely take care of their Information Security engineer compared to cloud support engineer as security engineer will be having companies confidential data.Future is full of cyber security opportunities as you wont be free person in this field if you are talented resource in a any company.Can expect a decent salary hike or appraisal in a company as your dependency will be a lot in a company.You will be looking after a steer Security controls of any organisation that itself is a very interesting and challenging task which will keep you busy in a healthy manner.Last but least security is requirement of all companies and big organizations but not every chooses to opt for cloud solutions.So you have both options now it depends on your interest level and work passion. You can choose any field depending upon your passion and area of interest. Continue Reading",2021-03-04T14:45:04.020Z,"Which is the best out of cloud computing and cyber security? ",Quora
