"_id",job_link,answer,date,question,source
6040862922d1c358659e5420,https://www.quora.com/What-are-the-possible-careers-in-machine-learning?-,"Machine Learning is a hot topic right now and its algorithms find natural patterns in data that generate insight and help you make better decisions and predictions. ML has some methods like- Supervised LearningUnsupervised LearningSemi- supervised LearningReinforcement LearningTo find out patterns in data there many algorithms are used and here is the list of Most commonly used ML Algorithms- Linear RegressionDecision TreeLogistic RegressionKNNNaive BayesTo start a career in this field you need to learn ML methods ,its algorithms and various topics. So there are various options in which you can  Continue ReadingMachine Learning is a hot topic right now and its algorithms find natural patterns in data that generate insight and help you make better decisions and predictions. ML has some methods like- Supervised LearningUnsupervised LearningSemi- supervised LearningReinforcement LearningTo find out patterns in data there many algorithms are used and here is the list of Most commonly used ML Algorithms- Linear RegressionDecision TreeLogistic RegressionKNNNaive BayesTo start a career in this field you need to learn ML methods ,its algorithms and various topics. So there are various options in which you can take complete knowledge about ML. These are different institutes which provide different courses like- LearnbayCourseraSimplilearnGreat LearningEdurekaEdxSo, these are the different institutes which provide ML courses which are helpful to start learning about ML. But it is not possible to join all institute courses so I would personally recommend you to check out Learnbay courses. Learnbay Provide different courses which are specially designed for working professionals who want to move their career in ML field. But as a beginner you can also start your learning with Learnbay courses. You can also check their youtube videos like-  Now I would mention details about Learnbay- Learnbay provide IBM certified courses like- AI and Machine Learning course-You can join this program after having 5 + years of experience in the IT sector. This course has 8 months of duration in which they provide 12+ real time industrial projects with 250+ hours of learning sessions. If you are a beginner or a working professional who has 1+ years of experience then you can join their Data Science and AI course. This course has 6 months of duration in which they provide 10+ real time industrial projects with 200+ hours of learning sessions.If you have 10+ years of experience then you can also join their special program which is designed for those professionals who worked as a manager, team lead and other high profile job roles this is Data science program for Manager and Leaders . This course has 9 months of duration in which they provide 15+ real time projects with 300+ hours of learning sessions.Learnbay provide best course curriculum in which they provide all different topics which is required to know - Python and R -Programming Languages.ML concepts- Supervised learning, Unsupervised Learning, Reinforcement Learning, Decision Tree, Linear Regression and e.t.cConcepts of Mathematics like- Statistics, Probability, Calculus, Linear Algebra and e.t.c.Other tools like- Big Data, Numpy, Pandas, Hadoop, SQL, NoSQL,Apache-Spark and e.t.cLearnaby provides one special program that is a blended program in which they provide classroom integrated project sessions to get practical insights of concepts and this program is available in cities like- Mumbai, Bangalore, Hyderabad, Pune,Chennai and Delhi. That’s all by my side and it's my personal recommendation for you to get the better opportunities with learnbay courses. Keep learning Thank You !!! Machine Learning is a hot topic right now and its algorithms find natural patterns in data that generate insight and help you make better decisions and predictions. ML has some methods like- Supervised LearningUnsupervised LearningSemi- supervised LearningReinforcement LearningTo find out patterns in data there many algorithms are used and here is the list of Most commonly used ML Algorithms- Linear RegressionDecision TreeLogistic RegressionKNNNaive BayesTo start a career in this field you need to learn ML methods ,its algorithms and various topics. So there are various options in which you can  Continue Reading",2021-03-04T07:02:54.935Z,"What are the possible careers in machine learning? ",Quora
6040862a22d1c358659e5422,https://www.quora.com/How-do-I-learn-mathematics-for-machine-learning?-,"Before, Learning something we need to observe the things and the process that we will be going to learn. The basic mathematics that you need to learn for machine learning are: StatisticsProbabilityLinear algebraCalculusMatrix operationsDiscrete maths like graph, tree, set theory, etc.IntegralThere is a lot to learn in statistics, probability, and other topics too Here I am going to we'll you how you can learn mathematics for machine learning in 5 easy steps. Take any one topic to learn suppose you take Statistics.Read about statistics from different online sites, blogs,Continue Reading Before, Learning something we need to observe the things and the process that we will be going to learn. The basic mathematics that you need to learn for machine learning are: StatisticsProbabilityLinear algebraCalculusMatrix operationsDiscrete maths like graph, tree, set theory, etc.IntegralThere is a lot to learn in statistics, probability, and other topics too Here I am going to we'll you how you can learn mathematics for machine learning in 5 easy steps. Take any one topic to learn suppose you take Statistics.Read about statistics from different online sites, blogs, youtube videos.Implement it on python for better understanding.If you have learned statistics build a statistical model on Machine learning with the help of python.Collect and share solutions to evaluate the working and solve objectives and interview questions on statistics.Now, If you are a beginner, working professional, non-programmer, and programmer and you want to learn Mathematics of machine learning and machine learning then start with reading study materials that are freely available on the internet, after taking some knowledge you need to take a proper guideline if you looking at the Machine learning for job perspective. Learnbay’s IBM certified Machine learning course. Learnbay made three customized machine learning courses that are according to the prior knowledge of programming with years of experience, no programming knowledge, and no working experience. The courses are: Data science and AI certification course:Eligibility: working experience from 0 to 5 yearsRequired prerequisites: Not required and for freshers.Course duration and projects: 200+ sessions with 10+ real-time projects in 6 months.Job prospects: For individual contributors like Data scientist, data engineer, data analyst, ML engineer, Machine learning engineer, AI engineer.2. AI and Ml certification course: Eligibility: working experience from 5 to 9 yearsRequired prerequisites: Required programming knowledgeCourse duration and projects: 250+ sessions with 12+ real-time projects in 7 months.Job prospects: Data scientist, data engineer, data analyst, ML engineer, AI engineer, NLP.3. Data science course for managers and leaders: Eligibility: working experience from 10 to 15 yearsRequired prerequisites: Not requiredCourse duration and projects: 300+ sessions with 15+ real-time projects in 9 months.Job prospects: For managers roles like Data scientist, BI manager, data science team lead, senior data scientists.These all three programs also provide an additional feature which is a blended program. In the blended program, they will be taken project sessions in the classroom and online as well, and provide you a full-stack program with model building and google deployment. This blended program is available in cities like Delhi, Pune, Mumbai, Hyderabad, Chennai, and Bangalore. The course structure provided by the Learnbay for machine learning: Programming languages for machine learning like R, and python.Mathematics of machine learning that is mentioned above.Machine learning algorithms with hands-onIntroduction to deep learningDeep learning with TensorFlow and Keras.Natural language processingTime-seriesProject sessionResume preparation and mock interviews session with job assistance programs.I hope this will help you if you are looking for a machine learning course or want to start your career in machine learning. Thank you!! Before, Learning something we need to observe the things and the process that we will be going to learn. The basic mathematics that you need to learn for machine learning are: StatisticsProbabilityLinear algebraCalculusMatrix operationsDiscrete maths like graph, tree, set theory, etc.IntegralThere is a lot to learn in statistics, probability, and other topics too Here I am going to we'll you how you can learn mathematics for machine learning in 5 easy steps. Take any one topic to learn suppose you take Statistics.Read about statistics from different online sites, blogs,Continue Reading Continue Reading",2021-03-04T07:03:06.254Z,"How do I learn mathematics for machine learning? ",Quora
6040862a22d1c358659e5424,https://www.quora.com/How-can-one-become-a-good-machine-learning-engineer?-,"You have been taking the right courses. Have you done any capstone projects in any of these classes? There is a difference between learning theoretically and solving real world problems so you should take steps to give you experience in the latter. Its not just for your resume, but working on real customer use cases and the scale of data will shape your knowledge to get you ready for the real world. These are three steps you can take towards that - Apply your knowledge to recreate a published ML research work. For example typically you see examples of understanding housing prices or something likContinue ReadingYou have been taking the right courses. Have you done any capstone projects in any of these classes? There is a difference between learning theoretically and solving real world problems so you should take steps to give you experience in the latter. Its not just for your resume, but working on real customer use cases and the scale of data will shape your knowledge to get you ready for the real world. These are three steps you can take towards that - Apply your knowledge to recreate a published ML research work. For example typically you see examples of understanding housing prices or something like that pointing to a data set. It does not teach you where you hone your skills because your goal is not theoretical. (Thanks to Siraj Raval of Sirajology for this suggestion). Find a paper from arxiv.org and try to recreate the research results. First, this will make you go through lots of recent ML research and introduce you to new work that you may not be aware of. Second it will help you figure out what you are really passionate about within ML and the algorithms you have learned. Third, you will get confidence in dealing with large volume of data as you recreate a research result. But what I’d bet on is that you may come up with a different thinking of a different approach for the same problem and it can lead you to play with a large data set to solve a new problem.Look at the work of other ML students globally to validate what you know, what knowledge gaps you may have to learn more and to get to play with their work. Bench marking yourself among your peers is important to keep learning.The source I can think for this are - a. Prof. Andrew Ng’s Standford CS229 class students projects are all archived online over the years. See links for 12 years of classes each with links to the projects 2016, 2016 spring, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005 Look at these projects for ideas and see what you would like to recreate. These should also give you ideas of knowledge gap of topics you need to learn. b. Github has 44K respository under ML. Comb through them the same way for ideas to find topics to learn and research code to recreate. (Some of this will overlap the Udacity courses or the research papers in other places). 2. Ask your Profs. or mentors to find a capstone project (or internship if possible in person) to do couple project for 1–2 companies to get experience not just in ML research but to get a sense of reality of what the role of a ML engineer is. All courses teach you algorithms to make you a ML researcher. In a real workplace with large scale data, the role of a ML researcher is different from that of a ML engineer. You should try to understand the difference and the interaction to see where you fit in and what skills you need to develop. Also the roles are slightly different in different companies so try for atleast to get experience from more than one company in different geography. Best of Luck! You have been taking the right courses. Have you done any capstone projects in any of these classes? There is a difference between learning theoretically and solving real world problems so you should take steps to give you experience in the latter. Its not just for your resume, but working on real customer use cases and the scale of data will shape your knowledge to get you ready for the real world. These are three steps you can take towards that - Apply your knowledge to recreate a published ML research work. For example typically you see examples of understanding housing prices or something likContinue Reading",2021-03-04T07:03:06.827Z,"How can one become a good machine learning engineer? ",Quora
6040862a22d1c358659e5426,https://www.quora.com/What-skills-are-needed-for-machine-learning-jobs?-,"When we talk about Machine Learning jobs, you should understand that we are talking about one of the most in-demand job roles in the world. Machine Learning is no longer an option for industries and companies - it is a necessary element which is enabling them to automate processes and increase efficiencies across several departments. But what exactly do you need to know and learn before you can bag these job roles that pay well and have a great future ahead? Understanding of basic Machine Learning theories There are several basic theories and concepts in machine learning, such as supervised, unsu Continue ReadingWhen we talk about Machine Learning jobs, you should understand that we are talking about one of the most in-demand job roles in the world. Machine Learning is no longer an option for industries and companies - it is a necessary element which is enabling them to automate processes and increase efficiencies across several departments. But what exactly do you need to know and learn before you can bag these job roles that pay well and have a great future ahead? Understanding of basic Machine Learning theories There are several basic theories and concepts in machine learning, such as supervised, unsupervised learning, natural language processing, etc. which you would need to master before you can became industry-ready. A good hold over mathematics Being good at machine learning also means being good at mathematics and statistics. You would need a good understanding of statistics, the logics behind as well as probability, if you would like to excel in machine learning. Problem solving ability I can’t even begin to explain how important this skill is - without the ability to understand and solve the problem you would not be able to help yourself out even if you are good with machine learning theories and concepts. Programming basics and language And last but not the least, you would require good knowledge of at least one programming language and its basic functions/libraries. I prefer going for Python as the language is quite versatile and easy to learn. How can you begin? And now that you know what you need to qualify for machine learning jobs, you need to know how you can get there. My recommendation - choosing LEARNXT courses that have been designed to help you become the machine learning professionals the industry needs. LEARNXT happens to be the digital learning company of SRM Group and the two courses in Machine learning offered by LEARNXT in collaboration with SRM University AP are - MBA in Data Science with specialization in Artificial Intelligence & Machine LearningPG Diploma in Machine Learning and Artificial IntelligenceAnd here are a few key highlights that set LEARNXT apart from others- An option to take up the programme in regular classroom mode or in weekend hybrid mode, as per convenience.Learn from some of the best faculty from IITs and renowned global universities.The programme curriculum has been designed to emphasize more on practical learning through assessments, assignments and projects.The learning materials, simulations & case studies are sourced from Harvard Business Publishing.Lifetime access to the courseware on AI based LMS StudyNxt.Access to career services like Career planning, Resume building, Mock interview, Career coaching services, Internship & Job search support through CareerNxt platform to kickstart your professional journey.Learning through an interdisciplinary curriculum and approach that gets you ready for the real-world business challenges.Leverage several academic collaborations with renowned universities like Stanford, MIT and Harvard.Bagging a well-paying Machine Learning job can be tough, especially when you do not have the ‘right’ skills. So make sure that you tick all the boxes - by learning from the best and becoming the best! When we talk about Machine Learning jobs, you should understand that we are talking about one of the most in-demand job roles in the world. Machine Learning is no longer an option for industries and companies - it is a necessary element which is enabling them to automate processes and increase efficiencies across several departments. But what exactly do you need to know and learn before you can bag these job roles that pay well and have a great future ahead? Understanding of basic Machine Learning theories There are several basic theories and concepts in machine learning, such as supervised, unsu Continue Reading",2021-03-04T07:03:06.830Z,"What skills are needed for machine learning jobs? ",Quora
6040862a22d1c358659e5428,https://www.quora.com/Is-it-sensible-to-dive-into-machine-learning-as-a-career-without-data-science-experience?-,"Data science is the field and machine learning is the tool used by practitioners in the field. I’d say that to dive into data science using machine learning methods, it is necessary to gain practical experience solving problems. One good way to gain this experience is to do public data hacking, i.e. using data sets made available through open data repositories at the local, state and federal government level. Pick an area for which you’re passionate, and then try to solve some real-life problems or answer important questions. Once you’re done, try to get some local press that highlights your w Continue ReadingData science is the field and machine learning is the tool used by practitioners in the field. I’d say that to dive into data science using machine learning methods, it is necessary to gain practical experience solving problems. One good way to gain this experience is to do public data hacking, i.e. using data sets made available through open data repositories at the local, state and federal government level. Pick an area for which you’re passionate, and then try to solve some real-life problems or answer important questions. Once you’re done, try to get some local press that highlights your work. This will make some good resume material especially when you go out trying to find employment in an industry related to the public data hacking work you completed. Data science is the field and machine learning is the tool used by practitioners in the field. I’d say that to dive into data science using machine learning methods, it is necessary to gain practical experience solving problems. One good way to gain this experience is to do public data hacking, i.e. using data sets made available through open data repositories at the local, state and federal government level. Pick an area for which you’re passionate, and then try to solve some real-life problems or answer important questions. Once you’re done, try to get some local press that highlights your w Continue Reading",2021-03-04T07:03:06.833Z,"Is it sensible to dive into machine learning as a career without data science experience? ",Quora
6040862a22d1c358659e542a,https://www.quora.com/What-is-the-difference-between-a-data-scientist-and-a-machine-learning-engineer?-,"I think there is suposed to be difference between the two profiles. Unfortunately , most of the time lines get blurred in the industry which ends up confusing people around.  Here is my 2 cents on this:  The main difference is because of the objective  and the end audience or consumer of the respective work. A data scientist is a person who makes sense out of data , using some science. Sense is the key operating word.  And that is what underlines the difference in objectives here.  For a data scientist it's about drawing conclusions, inference , interpretations from data. That can be done either  Continue ReadingI think there is suposed to be difference between the two profiles. Unfortunately , most of the time lines get blurred in the industry which ends up confusing people around.  Here is my 2 cents on this:  The main difference is because of the objective  and the end audience or consumer of the respective work. A data scientist is a person who makes sense out of data , using some science. Sense is the key operating word.  And that is what underlines the difference in objectives here.  For a data scientist it's about drawing conclusions, inference , interpretations from data. That can be done either using machine learning models or doing hypothesis (A/B) testing or even coming up with a new product metric and validating it through statistical procedures. In all the exercises a data scientist's end objective is to understand the data.  For a machine learning engineer the end objective is about making a machine learn from the data. The goal is not to explain or interpret the data for better inference but to build a system in the form of a product which is better at predicting the end objective. The focus is on prediction rather than inference unlike what data scientists try to achieve.  Now the obvious question. Why both have different objectives ? Aren't both working on the same data and using science ?  Well the objectives are different because the end consumer or audience of the work is different. For data scientists the end audience or consumer is normally the business side of an organization. Folks or a product manager owning a product who want to understand how their business or a product is working. Usually such audience is from business background with not much technical know how. And that is why a data scientist has additional responsibility of being able to communicate their results and findings in a very non technical interpretation.   For a machine learning engineer the end consumer or audience of the work is usually the technology side of an organization. And the focus is more on building a system using technology rather than understanding the business side of things. Consequently the conversation here deals with more technical know how rather than having to explain any findings or draw conclusions in a non technical manner to the end consumer of work.  And due to the difference in the nature of work and objectives , there comes slight difference in expectation from the role. A data scientist can be anyone with good statistics , machine learning and some coding background. For a machine learning engineer since your objective is to build a system which learns from the data , the focus is more on pretty good coding/software engineering skills with machine learning knowledge and some statistics. I think there is suposed to be difference between the two profiles. Unfortunately , most of the time lines get blurred in the industry which ends up confusing people around.  Here is my 2 cents on this:  The main difference is because of the objective  and the end audience or consumer of the respective work. A data scientist is a person who makes sense out of data , using some science. Sense is the key operating word.  And that is what underlines the difference in objectives here.  For a data scientist it's about drawing conclusions, inference , interpretations from data. That can be done either  Continue Reading",2021-03-04T07:03:06.889Z,"What is the difference between a data scientist and a machine learning engineer? ",Quora
6040862a22d1c358659e542c,https://www.quora.com/How-do-I-start-pursuing-a-career-in-machine-learning-as-a-CS-sophomore-undergrad?-,"First learn any basic language,choose either from C++ or java. I would recommend c++.This will help you in getting aware of basic concepts of working of the computer.Take in depth knowledge of the language you have chosen. Now change your language to Python ,it won't require more than one week to get thorough with python .Now enroll yourself in any Machine Learning course online and you are all set to learn ml. After the completion of the course, start making projects and maintaining your github profile. Sam Fox",2021-03-04T07:03:06.892Z,"How do I start pursuing a career in machine learning as a CS sophomore undergrad? ",Quora
6040862a22d1c358659e542e,https://www.quora.com/How-do-I-get-into-a-machine-learning-job?-,"Ravil Gasanov I guess you want to build a profile first so that you can apply for entry-level jobs in the field of Data Science/Machine Learning. If so, I’ve listed out some projects that you must do (after you’ve got a strong grasp on Machine Learning) I’m going to start by stressing on the importance of GitHub. GitHub is tremendously important nowadays for Data Scientists and developers and is a leading software development platform. As an entry-level Data Scientist, you should use and exploit GitHub to, primarily: Show your code and projects in an organized and efficient manner in a variety of programming lContinue ReadingI guess you want to build a profile first so that you can apply for entry-level jobs in the field of Data Science/Machine Learning. If so, I’ve listed out some projects that you must do (after you’ve got a strong grasp on Machine Learning) I’m going to start by stressing on the importance of GitHub. GitHub is tremendously important nowadays for Data Scientists and developers and is a leading software development platform. As an entry-level Data Scientist, you should use and exploit GitHub to, primarily: Show your code and projects in an organized and efficient manner in a variety of programming languages to one of the largest coding communities. (I’m assuming it’s R or Python for you)Show that you are well-versed with the environment and are good-to-go upon hire.You can get your code reviewed by others too.Assuming that you’re not familiar with the platform, you can start learning as you sign-up. There are several tutorial videos to help you get started! Now, as an entry-level Data Scientist you should focus on projects that stress on the following in R/Python: Getting and Cleaning Data Project: Competing in Kaggle competitions or dealing with pre-cleaned/pre-processed datasets will definitely increase your ‘model-building’ skills but practically, it’s a known fact that Data Scientist spend a major chunk of their time getting, importing and cleaning their data (a good example is where there are too many white spaces, NA values coerced). So displaying that you’re good in web scraping techniques (XML, JSON), accessing through API’s, and cleaning and manipulating data to create ‘clean’ datasets is an excellent practice. Exploratory Data Analysis - This project would display your manipulation and visualization techniques which are very useful when analyzing data. You learn about patterns, any unnecessary data, and how you practice to get to the visualizations and graphs you want. You should practice simpler analyzing techniques to come to conclusions about the dataset you’re working on. Machine Learning Project 1: This project is very important. You must have a good theoretical grasp, but if you don’t have any practical experience, it’s hard for the employers to know that you possess the knowledge in the first place, of course, knowing how the algorithms work is essential too. In this project you should demonstrate that you are capable of approaching a problem systematically, what made you write and execute the code you wrote, why you thought your approach was good and what your opinions and thoughts are. It could be anything, classification, regression, clustering and using vital dimensionality reduction techniques, etc. It’s very important to evaluate and quantify your model and show that you did, in fact, perform, somewhat of a ceiling analysis on your problem, trying to realistically improve its efficiency. Machine Learning Project 2: Although your first project should get the ball rolling and make you feel much more confident, I’d highly recommend a 2nd project where the purpose of the project is different. (for example: classification problem, instead of regression; or unsupervised learning techniques used). This would incredibly strengthen your portfolio and we all know that more projects are always better. Text Mining: A project highlighting your skills in Text Mining would definitely go a long way and help you gain a strong edge! Other projects: Your other repositories can also demonstrate: Your programming skills in R/Python or both. Time series Analysis skills and knowledge Interactive visualization techniques.  GreyAtom’s highly selective flagship program aims at mentoring working professional and freshers in kickstarting their Data Science career. Students build projects upon REAL datasets and Problem Statements provided by our industry and hiring partners. Program is classroom based and heavily practice driven. GreyAtom is an ecosystem where students can leverage the best from academia, industry practitioners and influencers. Some quick links Program - http://www.greyatom.com/full-stack-data-science-engineering/?utm_source=Quora&utm_medium=Answer&utm_term=Career&utm_campaign=2017-08Chat with Academic Counselor - You're welcome to share all your doubts, insecurities paying an ear to which we'll try our level best to guide you to your career path of success. https://calendly.com/greyatom/counselling-session/",2021-03-04T07:03:06.895Z,"How do I get into a machine learning job? ",Quora
6040862a22d1c358659e5430,https://www.quora.com/How-should-a-software-engineer-start-exploring-machine-learning-as-a-career?-,,2021-03-04T07:03:06.899Z,"How should a software engineer start exploring machine learning as a career? ",Quora
6040862a22d1c358659e5432,https://www.quora.com/Is-a-career-in-machine-learning-as-difficult-as-it-is-made-out-to-be?-,Armaan Puri,2021-03-04T07:03:06.902Z,"Is a career in machine learning as difficult as it is made out to be? ",Quora
