"_id",job_link,answer,date,question,source
603cfb9fb30e99eeabcd58b4,https://www.quora.com/What-is-the-scope-of-photography-as-a-profession?-,Include Related Answers  What is the scope of photography as a profession?,2021-03-01T14:35:10.954Z,"What is the scope of photography as a profession? ",Quora
603cfbbcb30e99eeabcd58cc,https://www.quora.com/Is-photography-a-good-career?-,"Pictures are a powerful medium. They can inform, amuse, shock or amaze and if presented in the right manner, they can be beautiful and creative. Are you creative and imaginative? Do you have an eye for aesthetic detail and composition. Do you enjoy presenting things visually and communicating ideas to others through photographs. Is photography more than a hobby to you and do you feel a ripple of excitement when you imagine displaying your art to others? If your answer to all these questions is yes, then this passion can offer you a lot as a profession. Sometimes back, the idea of being a professional photographer might not have appealed to many but today lots of people want to be photographers. The rise of mass communication and the growing importance of the media and fashion is probably a  Continue Reading Pictures are a powerful medium. They can inform, amuse, shock or amaze and if presented in the right manner, they can be beautiful and creative. Are you creative and imaginative? Do you have an eye for aesthetic detail and composition. Do you enjoy presenting things visually and communicating ideas to others through photographs. Is photography more than a hobby to you and do you feel a ripple of excitement when you imagine displaying your art to others? If your answer to all these questions is yes, then this passion can offer you a lot as a profession. Sometimes back, the idea of being a professional photographer might not have appealed to many but today lots of people want to be photographers. The rise of mass communication and the growing importance of the media and fashion is probably a  Continue Reading",2021-03-01T14:35:40.467Z,"Is photography a good career? ",Quora
603cfbf5b30e99eeabcd58f2,https://www.quora.com/What-is-the-scope-of-photography-in-India?-,"Just like any other non-standard career option - standard ones include engineers, doctors, lawyers, CA, MBA and government employment - photography can also be considered a good career option in India.  Clicking a photo has become as easy a point and shoot these days with the number of high resolution 'prosumer' (professional consumer) DSLRs available in the market and the kind of results they generate. Thanks also, partly, to the numerous softwares available to correct any flaws in post processing. But, the true beauty of a photograph lies in the composition, timing, lighting and most of all the story it tells. That is where talent comes in. Unfortunately talent alone will not allow you to click stunning photographs.  Most of the time you will need a set of good quality lenses (primes Continue Reading Just like any other non-standard career option - standard ones include engineers, doctors, lawyers, CA, MBA and government employment - photography can also be considered a good career option in India.  Clicking a photo has become as easy a point and shoot these days with the number of high resolution 'prosumer' (professional consumer) DSLRs available in the market and the kind of results they generate. Thanks also, partly, to the numerous softwares available to correct any flaws in post processing. But, the true beauty of a photograph lies in the composition, timing, lighting and most of all the story it tells. That is where talent comes in. Unfortunately talent alone will not allow you to click stunning photographs.  Most of the time you will need a set of good quality lenses (primes Continue Reading",2021-03-01T14:36:37.148Z,"What is the scope of photography in India? ",Quora
603cfc4ab30e99eeabcd592d,https://www.quora.com/Is-photography-a-career?-,"A person can make an advance career in photography especially in mass media. To pursue a career in this field, there are many universities that provide various degrees and online courses. These online courses varies from 6 months to 2 years depending over the level of expertise. These courses are further divided into 4 parts. The first one is the Basic course where you’ll be given basic knowledge about photography which will be followed by Foundation course where you’ll be learning about the modes of photography especially in the fields of lightening, exposure, panorama mode and exterior mode. The third one is advanced course where the students are taught about professional courses which will be then finalised with workshops. Here you’ll be learning about all the different types of profess Continue Reading A person can make an advance career in photography especially in mass media. To pursue a career in this field, there are many universities that provide various degrees and online courses. These online courses varies from 6 months to 2 years depending over the level of expertise. These courses are further divided into 4 parts. The first one is the Basic course where you’ll be given basic knowledge about photography which will be followed by Foundation course where you’ll be learning about the modes of photography especially in the fields of lightening, exposure, panorama mode and exterior mode. The third one is advanced course where the students are taught about professional courses which will be then finalised with workshops. Here you’ll be learning about all the different types of profess Continue Reading",2021-03-01T14:38:02.274Z,"Is photography a career? ",Quora
603cfc58b30e99eeabcd5935,https://www.quora.com/How-do-I-make-photography-to-be-my-full-time-job?-,"Anton Magus Making photography your full-time job is easy. Just quit whatever you are doing now and spend your days taking photographs of events, weddings, engagements, fashion, portraits and maybe landscapes. The truly difficult part is earning enough money to survive. A good first step is to look at the work produced by a professional in whatever sphere of photography you are aiming for. You need to honestly ask yourself if your work is equally as good or better than the professional’s work? If not, then you will need to increase your skills through practice and training before you go in full time. If your work is really good then you have to know how to set up a marketing and sales plan to get business. Prepare a portfolio of prints of your best work and also get you best images onto a well-designed a Continue Reading Continue Reading",2021-03-01T14:38:16.814Z,"How do I make photography to be my full-time job? ",Quora
603cfc68b30e99eeabcd594b,https://www.quora.com/What-are-some-unique-jobs-and-careers-you-can-have-with-photography?-,"Real estate photography. I travel much of northwest Montana. The houses/ranches/buildings I shoot are often those of the well to do. They can afford homes that have incredible views of mountains, lakes, rivers, etc. The trip to/from the property is exciting, as is the destination. Often, I meet the owners, learning of their lifestyle, past and present. This is usually quite interesting, as are their plans for when the property sells. The pay is not much but the exploring is very rewarding. This is my semi-retired profession. There is not enough money in it to be self sufficient on a full time basis. I would not be interested in working in the city. There’s more opportunity to make money but the venues would lack the vistas I so enjoy. Rural is to my liking. Something outside of the city. Not Continue Reading Real estate photography. I travel much of northwest Montana. The houses/ranches/buildings I shoot are often those of the well to do. They can afford homes that have incredible views of mountains, lakes, rivers, etc. The trip to/from the property is exciting, as is the destination. Often, I meet the owners, learning of their lifestyle, past and present. This is usually quite interesting, as are their plans for when the property sells. The pay is not much but the exploring is very rewarding. This is my semi-retired profession. There is not enough money in it to be self sufficient on a full time basis. I would not be interested in working in the city. There’s more opportunity to make money but the venues would lack the vistas I so enjoy. Rural is to my liking. Something outside of the city. Not Continue Reading",2021-03-01T14:38:32.964Z,"What are some unique jobs and careers you can have with photography? ",Quora
603cfc99b30e99eeabcd596e,https://www.quora.com/How-can-I-start-my-photography-career-after-I-graduated?-,"Start shooting! Shoot everything, shoot anything. Study composition. Look at other EXCELLENT photographers work to try to understand how /why they composed the image as they did. If you are going to photography people - study how people move, stand, what they do with their hands and arms and legs and hips. See how light falls on subjects, study light. understand the difference between the quantity and quality of light. Learn to use your camera - learn to use your camera in MANUAL (so you can repeat set-ups) understand how your shutter and aperture and ISO affect the image and image quality. Get yourself set up with an EXCELLENT print shop that you have confidence in. Understand and begin to master Photoshop. Your camera needs to be your eyes to the world - Photoshop needs to be your brain  Continue Reading Start shooting! Shoot everything, shoot anything. Study composition. Look at other EXCELLENT photographers work to try to understand how /why they composed the image as they did. If you are going to photography people - study how people move, stand, what they do with their hands and arms and legs and hips. See how light falls on subjects, study light. understand the difference between the quantity and quality of light. Learn to use your camera - learn to use your camera in MANUAL (so you can repeat set-ups) understand how your shutter and aperture and ISO affect the image and image quality. Get yourself set up with an EXCELLENT print shop that you have confidence in. Understand and begin to master Photoshop. Your camera needs to be your eyes to the world - Photoshop needs to be your brain  Continue Reading",2021-03-01T14:39:21.616Z,"How can I start my photography career after I graduated? ",Quora
603cfccbb30e99eeabcd5985,https://www.quora.com/How-do-I-get-more-work-as-a-freelance-photographer?-,"Brian Fitzgerald Hi Trina! Thanks for the ask. First of all, as my old mentor used to frequently say about the term ‘freelance’, “there’s nothing ‘free’ about it”. There’s no ‘best’ way. But there ARE a lot of poor ways, or ways that will stop you dead in your tracks or cause you to fail before you get anywhere. Poor ways might include: spending too much on gear without any solid plan for paying for it through your photography efforts; getting saddled with too much debt investing in your business before you have paying clients (related to the first point); spending too much on a formal photography education before having a plan to recoup that investment when done (see points one and two, above). Seeing a pattern? Overthinking, over investing, and trying to be ‘perfect’ from the start of your career will limit  Continue Reading Continue Reading",2021-03-01T14:40:11.409Z,"How do I get more work as a freelance photographer? ",Quora
603cfcdab30e99eeabcd5999,https://www.quora.com/Can-you-have-a-successful-photography-career-while-working-another-full-time-job?-,"I started my photography business in 1972. I was working full time and doing weddings on weekends. After about 6 years I went full time. During those 6 years I was using my profits to purchase better equipment, backgrounds, office equipment and supplies, and most important, building my clientele. Also I was doing mostly weddings. After those years of weddings and then going full time Photography I started taking engagement pictures, family pictures, portraits,senior portraits, anniversaries, reunions, then also some commercial work. One thing that hel more than anything else was joining the VPPA (Virginia Professional Photography Association). Most states have their own Photography association. You learn tips and get training on business, posing, lighting tips on how to make better picture Continue Reading I started my photography business in 1972. I was working full time and doing weddings on weekends. After about 6 years I went full time. During those 6 years I was using my profits to purchase better equipment, backgrounds, office equipment and supplies, and most important, building my clientele. Also I was doing mostly weddings. After those years of weddings and then going full time Photography I started taking engagement pictures, family pictures, portraits,senior portraits, anniversaries, reunions, then also some commercial work. One thing that hel more than anything else was joining the VPPA (Virginia Professional Photography Association). Most states have their own Photography association. You learn tips and get training on business, posing, lighting tips on how to make better picture Continue Reading",2021-03-01T14:40:26.060Z,"Can you have a successful photography career while working another full time job? ",Quora
603cfce9b30e99eeabcd59a1,https://www.quora.com/Would-it-be-advisable-for-one-to-quit-his-job-and-pursue-a-career-in-photography-even-though-one-has-no-other-means-of-income?-,Include Related Answers Mark Calvert Uzochukwu Mbamalu,2021-03-01T14:40:41.057Z,"Would it be advisable for one to quit his job and pursue a career in photography even though one has no other means of income? ",Quora
