"_id",job_link,answer,date,question,source
603e278865e002964197edab,https://www.quora.com/How-do-I-start-my-career-as-a-voice-artist-including-best-school-in-Canada-and-job-market?-,,2021-03-02T11:54:47.771Z,"How do I start my career as a voice artist including best school in Canada and job market? ",Quora
603e279965e002964197edb1,https://www.quora.com/How-do-you-break-into-the-voice-acting-business?-,"Mel Allen Like all things. You need to start… While I don’t think most people want to take my long path, here’s what worked for me and how you can do that in a shorter timeline. However, I made many mistakes early on and had some challenges that slowed me down. Find resources: VoiceoverXtra is a great website with lots of resources. It’s probably an overwhelming amount for anyone new to this world. And that’s just one place. However, go there and start exploring. Everyone there is in the voice over and voice acting world, is very knowledgeable, will provide you good advice and will link to other great reso Continue ReadingLike all things. You need to start… While I don’t think most people want to take my long path, here’s what worked for me and how you can do that in a shorter timeline. However, I made many mistakes early on and had some challenges that slowed me down. Find resources: VoiceoverXtra is a great website with lots of resources. It’s probably an overwhelming amount for anyone new to this world. And that’s just one place. However, go there and start exploring. Everyone there is in the voice over and voice acting world, is very knowledgeable, will provide you good advice and will link to other great resources. Make mistakes: Record yourself. Put yourself, and your voice, out there before you’re ready and then learn from it. Practice. Read aloud every day. Record yourself reading. Listen back to yourself. Then do it again. Try to remove all the punctuation and do it again. Put the punctuation where it needs to be to make this sound right for you, where it works for breathing and to make the copy sound real. Get thick skin. Get used to hearing yourself, and that you sound quite different from outside your head. I recorded my first work when I was like 17, PSA’s and sponsorship scripts for a college radio station. I had to listen to those horrible readings for several months before I had the opportunity to record them again. In that time I learned a lot about how to do it better. Get some training: My training started, completely by accident, shortly before my voice dropped. I had a lisp (called siblance in our world) plus the added benefit of stuttering and stammering. As a result, I mumbled. A lot. Speech therapy allowed me to make my mistakes in front of another person’s ears, hear how I could properly explore the different parts of my mouth, deliver words with more energy & presence, how to strengthen my lips, tongue and vocal cords. I learned and practiced several tongue twisters I still use to warm up. Don’t have the issues I encountered? Find your local community college, community theater group or comedy group and take an acting or improvisational class. Don’t want a class, or have a class nearby, look for a Meetup group for acting, improv or theater in the area. Start one if one doesn’t exist. For me… part of training is you, alone, learning how to be comfortable being uncomfortable while sounding comfortable. Oh, and get good exercise. Lung capacity is important. This will all prepare you for the next step… Get Coaching: The best thing you can do is have a professional in the field who helps you, to sound more like the best version of you, by giving you positive feedback and a positive path to grow and develop. I learned the best from a friend who was a very skilled producer/director and she helped me get so much better over several years of working together. We’d play back a reading, dissect how to do it better, then try again. I used this and would record my coaching sessions with my students. I’d ask my voiceover students to tell me about something great or exciting that happened to them. Later, I’d ask them to read a script. The next session I would have those recordings ready to play. I’d let them compare the sound of telling me a story and then reading me a story. Then we would work on getting the sound of reading a script more like them telling me a story. Proper coaching prepares you for proper mic position and technique and working with future producers, directors and clients too. If you skip it - you’ll regret it. There are coaches out there for all lines of voiceover and voice acting. They should all be positive, have a goal in mind (that you both develop for you together) and come to a point where they can no longer teach you more in a worthwhile manner. Once you have coaching under your belt, even if you don’t feel completely done, but you’ve started nailing your reads, gaining confidence and know how to avoid siblance, plosives, can change your energy from serious to ecstatic (with the same copy) without complaint, or many missteps, the next step is… Make your demo(s): You and your coach should agree that you’re now ready to make your demo(s). This isn’t something you should, in my opinion, schedule on day one. It also isn’t something that should takes years to be ready for. It can be weeks of work, if you have some natural skills and talents, or it can be months if you really need to develop your instincts and skills. The more prepared you are and the more willing you are to do the work to challenge yourself, the better this will be. Work with a demo producer who knows what they’re doing. Get recommendations. Many people at this stage are actually landing some work. Perhaps you’ve volunteered for a local friend or no profit to do a commercial, video, their phone system, or even get paid. You’ll need to work with the demo producer to get more coaching (mainly to select scripts and for them to learn your range) or you’ll work with your present coach to do this and the demo producer will record you before editing and mixing your demo. Please don’t make your own demo. Unless you’re a producer yourself it’s nearly impossible and, even if you are, it will take you far longer than it should to make it. Get equipment: Many people pick up the equipment along the way. You need a computer and then a low quality mixer (Behringer UM2 is as low as about $30), something like a Shure SM58 (about $90 or less, used is usually fine), an low quality XLR cable ($10 from a local music shop), some semi decent headphones (Audio Technica ATH M30X for about $60 or Sony MDR7506 for closer to $99) and software (Audacity is free and ‘good enough’ for awhile). These can be upgraded as needed with a proper mixer, a microphone that’s better suited to your voice and these headphones can be in your ‘road kit’ as you upgrade). You can land low paying jobs doing fan based work that will pay $5 - $20 for cartoons, game expansion packs and other work at places like ‘Casting Call Club’ and online groups. Once you have professional quality equipment you’re ready for the next steps… Marketing yourself and getting clients, managers or agents: You will need to tell people about who you are. You’ll need to have a niche (don’t be the person who claims ‘I can voice anything’) You’ll need business cards and a website where you can post your demos. You’ll need to network. This will give you clients. Clients give you cash flow and credibility. Cash flow and credibility establish you as a professional. You then become bookable. Bookable people who can do good work for clients, and can represent themselves well, can get representation from an agent or manager. You shouldn’t pay a manager money up front. For anything. Some will want more demos for a niche you don’t have represented well. Some will even pay for these to be made as an investment in your business and theirs. Overnight success?: As you can see - this might not be something you can do overnight. But, maybe you can. Start this as a hobby. Learn as you go. Build on what you do. Start making money. It’s a great problem to look at your full time job and feel like it’s holding you back from making what you should be making. Many people aren’t prepared to work on their own and many successful voice talents I know keep a part time job. I may have a day where I don’t do much work, and can answer a post like this on Quora, followed by three grueling non-stop days of recording and editing. So how does someone get into voice acting? The only way is to start. Continue Reading",2021-03-02T11:55:05.004Z,"How do you break into the voice-acting business? ",Quora
603e27b565e002964197edb9,https://www.quora.com/How-can-I-become-a-voice-over-artist-in-India?-,"Voice over artists have an huge industry, provided you have the required skills. As a dubbing / voice over artist one could lend their voice to documentaries, programmes or ad films in English, Hindi or any other language.  Courses No formal courses/degrees are available, but due to the boom in the field, there are various training institutes with specialized certificate programs and work shops in voice over and dubbing. Voice modulation is the most important trick to master in dubbing field. Voice training courses teach aspirants the right diction and helps them to correct any nasal twang. One c Continue ReadingVoice over artists have an huge industry, provided you have the required skills. As a dubbing / voice over artist one could lend their voice to documentaries, programmes or ad films in English, Hindi or any other language.  Courses No formal courses/degrees are available, but due to the boom in the field, there are various training institutes with specialized certificate programs and work shops in voice over and dubbing. Voice modulation is the most important trick to master in dubbing field. Voice training courses teach aspirants the right diction and helps them to correct any nasal twang. One can learn the procedures and theoretical skills from these programs. Most voice modulation programs last for one month to three months. Xavier Institute of Communication, MumbaiISOMES BAG Films, NOIDAAsian Academy of Film and Television, NOIDAAcademy of Radio Management, Hauz Khas, New DelhiDesires and Destination, MumbaiThe Voice School, MumbaiEMDI Institute, MumbaiSalary As a beginner in dubbing profession, you can earn approximately Rs. 1000 to Rs. 1500 per episode in TV serials/ Cartoon films etc. It can be more or even less depending upon the area who will work in. There are various small companies which hire voice over artists for their advertisements or some jingles. The pay is comparatively less, but is a very good platform to start your career. Source : Articles on google. I am a career coach at MINDLER. MINDLER is an organization which help students to choose the right career path. These are paid counseling sessions. We have top experts from ISB, Harvard , MDI, IIT, etc. You can call us at 9650899998. Voice over artists have an huge industry, provided you have the required skills. As a dubbing / voice over artist one could lend their voice to documentaries, programmes or ad films in English, Hindi or any other language.  Courses No formal courses/degrees are available, but due to the boom in the field, there are various training institutes with specialized certificate programs and work shops in voice over and dubbing. Voice modulation is the most important trick to master in dubbing field. Voice training courses teach aspirants the right diction and helps them to correct any nasal twang. One c Continue Reading",2021-03-02T11:55:33.275Z,"How can I become a voice over artist in India? ",Quora
603e27e565e002964197edc5,https://www.quora.com/How-and-where-can-I-start-my-career-as-a-voiceover-actor-in-India?-,Hello Somya! Sarvaani had the same query. You can get your answer here- Mayank Thapliyal's answer to I want to become a voice over artist. I live in Hyderabad. How should I begin with?,2021-03-02T11:56:21.802Z,"How and where can I start my career as a voiceover actor in India? ",Quora
603e280a65e002964197edcd,https://www.quora.com/How-is-the-career-for-a-voice-over-artist?-,Include Related Answers  How can I tell if I have a good enough voice to become a voice over artist?,2021-03-02T11:56:58.098Z,"How is the career for a voice over artist? ",Quora
603e282f65e002964197edd7,https://www.quora.com/How-can-one-make-a-career-as-a-voice-over-artist?-,"Like all things. You need to start… While I don’t think most people want to take my long path, here’s what worked for me and how you can do that in a shorter timeline. However, I made many mistakes early on and had some challenges that slowed me down. Find resources: VoiceoverXtra is a great website with lots of resources. It’s probably an overwhelming amount for anyone new to this world. And that’s just one place. However, go there and start exploring. Everyone there is in the voice over and voice acting world, is very knowledgeable, will provide you good advice and will link to other great reso Continue ReadingLike all things. You need to start… While I don’t think most people want to take my long path, here’s what worked for me and how you can do that in a shorter timeline. However, I made many mistakes early on and had some challenges that slowed me down. Find resources: VoiceoverXtra is a great website with lots of resources. It’s probably an overwhelming amount for anyone new to this world. And that’s just one place. However, go there and start exploring. Everyone there is in the voice over and voice acting world, is very knowledgeable, will provide you good advice and will link to other great resources. Make mistakes: Record yourself. Put yourself, and your voice, out there before you’re ready and then learn from it. Practice. Read aloud every day. Record yourself reading. Listen back to yourself. Then do it again. Try to remove all the punctuation and do it again. Put the punctuation where it needs to be to make this sound right for you, where it works for breathing and to make the copy sound real. Get thick skin. Get used to hearing yourself, and that you sound quite different from outside your head. I recorded my first work when I was like 17, PSA’s and sponsorship scripts for a college radio station. I had to listen to those horrible readings for several months before I had the opportunity to record them again. In that time I learned a lot about how to do it better. Get some training: My training started, completely by accident, shortly before my voice dropped. I had a lisp (called siblance in our world) plus the added benefit of stuttering and stammering. As a result, I mumbled. A lot. Speech therapy allowed me to make my mistakes in front of another person’s ears, hear how I could properly explore the different parts of my mouth, deliver words with more energy & presence, how to strengthen my lips, tongue and vocal cords. I learned and practiced several tongue twisters I still use to warm up. Don’t have the issues I encountered? Find your local community college, community theater group or comedy group and take an acting or improvisational class. Don’t want a class, or have a class nearby, look for a Meetup group for acting, improv or theater in the area. Start one if one doesn’t exist. For me… part of training is you, alone, learning how to be comfortable being uncomfortable while sounding comfortable. Oh, and get good exercise. Lung capacity is important. This will all prepare you for the next step… Get Coaching: The best thing you can do is have a professional in the field who helps you, to sound more like the best version of you, by giving you positive feedback and a positive path to grow and develop. I learned the best from a friend who was a very skilled producer/director and she helped me get so much better over several years of working together. We’d play back a reading, dissect how to do it better, then try again. I used this and would record my coaching sessions with my students. I’d ask my voiceover students to tell me about something great or exciting that happened to them. Later, I’d ask them to read a script. The next session I would have those recordings ready to play. I’d let them compare the sound of telling me a story and then reading me a story. Then we would work on getting the sound of reading a script more like them telling me a story. Proper coaching prepares you for proper mic position and technique and working with future producers, directors and clients too. If you skip it - you’ll regret it. There are coaches out there for all lines of voiceover and voice acting. They should all be positive, have a goal in mind (that you both develop for you together) and come to a point where they can no longer teach you more in a worthwhile manner. Once you have coaching under your belt, even if you don’t feel completely done, but you’ve started nailing your reads, gaining confidence and know how to avoid siblance, plosives, can change your energy from serious to ecstatic (with the same copy) without complaint, or many missteps, the next step is… Make your demo(s): You and your coach should agree that you’re now ready to make your demo(s). This isn’t something you should, in my opinion, schedule on day one. It also isn’t something that should takes years to be ready for. It can be weeks of work, if you have some natural skills and talents, or it can be months if you really need to develop your instincts and skills. The more prepared you are and the more willing you are to do the work to challenge yourself, the better this will be. Work with a demo producer who knows what they’re doing. Get recommendations. Many people at this stage are actually landing some work. Perhaps you’ve volunteered for a local friend or no profit to do a commercial, video, their phone system, or even get paid. You’ll need to work with the demo producer to get more coaching (mainly to select scripts and for them to learn your range) or you’ll work with your present coach to do this and the demo producer will record you before editing and mixing your demo. Please don’t make your own demo. Unless you’re a producer yourself it’s nearly impossible and, even if you are, it will take you far longer than it should to make it. Get equipment: Many people pick up the equipment along the way. You need a computer and then a low quality mixer (Behringer UM2 is as low as about $30), something like a Shure SM58 (about $90 or less, used is usually fine), an low quality XLR cable ($10 from a local music shop), some semi decent headphones (Audio Technica ATH M30X for about $60 or Sony MDR7506 for closer to $99) and software (Audacity is free and ‘good enough’ for awhile). These can be upgraded as needed with a proper mixer, a microphone that’s better suited to your voice and these headphones can be in your ‘road kit’ as you upgrade). You can land low paying jobs doing fan based work that will pay $5 - $20 for cartoons, game expansion packs and other work at places like ‘Casting Call Club’ and online groups. Once you have professional quality equipment you’re ready for the next steps… Marketing yourself and getting clients, managers or agents: You will need to tell people about who you are. You’ll need to have a niche (don’t be the person who claims ‘I can voice anything’) You’ll need business cards and a website where you can post your demos. You’ll need to network. This will give you clients. Clients give you cash flow and credibility. Cash flow and credibility establish you as a professional. You then become bookable. Bookable people who can do good work for clients, and can represent themselves well, can get representation from an agent or manager. You shouldn’t pay a manager money up front. For anything. Some will want more demos for a niche you don’t have represented well. Some will even pay for these to be made as an investment in your business and theirs. Overnight success?: As you can see - this might not be something you can do overnight. But, maybe you can. Start this as a hobby. Learn as you go. Build on what you do. Start making money. It’s a great problem to look at your full time job and feel like it’s holding you back from making what you should be making. Many people aren’t prepared to work on their own and many successful voice talents I know keep a part time job. I may have a day where I don’t do much work, and can answer a post like this on Quora, followed by three grueling non-stop days of recording and editing. So how does someone get into voice acting? The only way is to start. Like all things. You need to start… While I don’t think most people want to take my long path, here’s what worked for me and how you can do that in a shorter timeline. However, I made many mistakes early on and had some challenges that slowed me down. Find resources: VoiceoverXtra is a great website with lots of resources. It’s probably an overwhelming amount for anyone new to this world. And that’s just one place. However, go there and start exploring. Everyone there is in the voice over and voice acting world, is very knowledgeable, will provide you good advice and will link to other great reso Continue Reading",2021-03-02T11:57:35.516Z,"How do you break into the voice-acting business? ",Quora
603e283e65e002964197ede0,https://www.quora.com/Is-any-course-required-to-start-a-career-as-a-voice-over-artist?-,,2021-03-02T11:57:50.130Z,"Is any course required to start a career as a voice over artist? ",Quora
603e284e65e002964197ede5,https://www.quora.com/How-can-an-amateur-start-her-career-in-TV-commercials-or-as-a-voice-over-artist-in-Mumbai?-,Include Related Answers  If you're an actor in a commercial do you get a one time check or continue getting paid the more they show the commercial?,2021-03-02T11:58:06.412Z,"How can an amateur start her career in TV commercials or as a voice over artist in Mumbai? ",Quora
603e285c65e002964197eded,https://www.quora.com/How-do-I-start-a-voice-over-artist-career-as-a-fresher?-,"The first step is to decide which language/s you want to work in. Being fluent in a language other than Hindi & English would be an advantage. Second is to create a demo reel showcasing your vocal range and delivery styles. There are sites that offer free scripts for practise. Enroll in a site like Fiverr or Upwork (suitable, if you've some experience). Start bidding for projects. Usually, voice over careers take time to get established and is not lucrative initially. Feel free to contact me if you want more information.",2021-03-02T11:58:20.602Z,"How do I start a voice-over artist career as a fresher? ",Quora
603e287a65e002964197ee00,https://www.quora.com/How-do-I-start-a-career-as-a-voice-over-artist-in-India-for-audiobooks-or-documentaries?-,Include Related Answers Joshua Alexander VO Kuldeep Singh,2021-03-02T11:58:50.617Z,"How do I start a career as a voice-over artist in India for audiobooks or documentaries? ",Quora
