"_id",job_link,answer,date,question,source
602e3105ed0dadcccc4325cf,https://www.quora.com/Are-you-satisfied-with-your-current-job-and-the-salary-you-receive-for-it?-What-is-the-eligibility-for-that-job?-,"Age: 29 Profession: Stealth startup CTO and India head. (Building software for government, consulting and finance sectors) Qualification: B.Tech. EE & PhD CS from IIT (same top 5 IIT). Location: Bangalore, India (resident) & San Francisco, USA (HQ, family, regular visits) Current salary: around INR 7 CPA Going anonymous due to obvious reasons. TL; DR: I am very satisfied. I hail from a remote village in North-East India. My family faced severe financial hardships throughout my childhood. I somehow qualified IITJEE. I did very well at IIT and even got the opportunity to do my PhD abroad but did not go as my parents were dependent on me for various reasons. Currently, I work at a stealth startup founded in San Francisco, USA where we build products and provide services to many governments and top c Continue Reading Age: 29 Profession: Stealth startup CTO and India head. (Building software for government, consulting and finance sectors) Qualification: B.Tech. EE & PhD CS from IIT (same top 5 IIT). Location: Bangalore, India (resident) & San Francisco, USA (HQ, family, regular visits) Current salary: around INR 7 CPA Going anonymous due to obvious reasons. TL; DR: I am very satisfied. I hail from a remote village in North-East India. My family faced severe financial hardships throughout my childhood. I somehow qualified IITJEE. I did very well at IIT and even got the opportunity to do my PhD abroad but did not go as my parents were dependent on me for various reasons. Currently, I work at a stealth startup founded in San Francisco, USA where we build products and provide services to many governments and top c Continue Reading",2021-02-18T09:19:01.345Z,"Are you satisfied with your current job and the salary you receive for it? What is the eligibility for that job? ",Quora
602e3134ed0dadcccc4325f0,https://www.quora.com/Why-do-so-many-people-hate-their-jobs?-,"After I passed my B Tech, I joined a private sector company which was (and still) one of the most prestigious core companies of India. It was so prestigious that it was a dream company of over half of the Mechanical Engineering graduate in IIT Bombay those days.  When I got the offer, I was overjoyed. I joined the company as a Graduate Engineer Trainee (GET). The training period was one year followed by one year of the probation and then confirmation. The salaries were decent and it was to be almost doubled after confirmation. The GETs used to have rotation in different sections of the company like shop-floor, deign, assembly etc. to learn the work they were required to supervise. However, every soon I started getting bored of the job. I was doing exactly the same work every day.  We used to Continue Reading After I passed my B Tech, I joined a private sector company which was (and still) one of the most prestigious core companies of India. It was so prestigious that it was a dream company of over half of the Mechanical Engineering graduate in IIT Bombay those days.  When I got the offer, I was overjoyed. I joined the company as a Graduate Engineer Trainee (GET). The training period was one year followed by one year of the probation and then confirmation. The salaries were decent and it was to be almost doubled after confirmation. The GETs used to have rotation in different sections of the company like shop-floor, deign, assembly etc. to learn the work they were required to supervise. However, every soon I started getting bored of the job. I was doing exactly the same work every day.  We used to Continue Reading",2021-02-18T09:19:48.115Z,"Why do so many people hate their jobs? ",Quora
602e3168ed0dadcccc432610,https://www.quora.com/What-is-the-best-job-search-site?-,"Hwllo here are the 25 Best Job Search Web sites in India in 2021  A dream job provides wings to your hopes and helps you reside a life that you’ve all the time needed. However, discovering your dream job generally is a cumbersome course of. Particularly after we all are in the course of a pandemic that has bruised the spine of the nation’s economic system. Statistics and experiences reveal that the earlier unemployment fee (between 2018-2020) was round 9.21 %. 2020 got here with a thunderstorm and snatched the roles of hundreds of thousands of individuals. The unemployment fee in India crossed 23.5 % in April itself. In such arduous instances, when each different aspirant is struggling, it’s essential to discover a method out. Monetary freedom is difficult to understand for many who are on the Continue Reading Hwllo here are the 25 Best Job Search Web sites in India in 2021  A dream job provides wings to your hopes and helps you reside a life that you’ve all the time needed. However, discovering your dream job generally is a cumbersome course of. Particularly after we all are in the course of a pandemic that has bruised the spine of the nation’s economic system. Statistics and experiences reveal that the earlier unemployment fee (between 2018-2020) was round 9.21 %. 2020 got here with a thunderstorm and snatched the roles of hundreds of thousands of individuals. The unemployment fee in India crossed 23.5 % in April itself. In such arduous instances, when each different aspirant is struggling, it’s essential to discover a method out. Monetary freedom is difficult to understand for many who are on the Continue Reading",2021-02-18T09:20:40.973Z,"What is the best job search site? ",Quora
602e31b9ed0dadcccc432638,https://www.quora.com/What-is-the-craziest-thing-you-have-ever-said-or-done-at-an-interview-and-still-gotten-the-job?-,Include Related Answers  What is the craziest thing you have ever said or done at an interview and still gotten the job?,2021-02-18T09:22:01.206Z,"What is the craziest thing you have ever said or done at an interview and still gotten the job? ",Quora
602e324bed0dadcccc432680,https://www.quora.com/Why-is-a-government-job-better-than-a-private-job?-,"Is it? I have worked in private as well as government organisation (PSU to be precise) so I think I am eligible to answer this question. There is a famous saying that “Grass is always greener on the other side” and it holds very true when it comes to dilemmas like this. I worked as a Graduate Engineer Trainee in Hero Motocorp Ltd, the worlds largest 2 wheeler manufacturer by volume and a major MNC in India. I was placed through campus and my CTC was 6.5 lpa. Let me tell you the story of private job first. These people are professionals in the true meaning of the term. They know the details, their job. We were a bunch of novice who had just graduated and knew nothing about this corporate world. They treat you like kings during the GET period. They try by every means to retain you and make an ass Continue Reading Is it? I have worked in private as well as government organisation (PSU to be precise) so I think I am eligible to answer this question. There is a famous saying that “Grass is always greener on the other side” and it holds very true when it comes to dilemmas like this. I worked as a Graduate Engineer Trainee in Hero Motocorp Ltd, the worlds largest 2 wheeler manufacturer by volume and a major MNC in India. I was placed through campus and my CTC was 6.5 lpa. Let me tell you the story of private job first. These people are professionals in the true meaning of the term. They know the details, their job. We were a bunch of novice who had just graduated and knew nothing about this corporate world. They treat you like kings during the GET period. They try by every means to retain you and make an ass Continue Reading",2021-02-18T09:24:27.699Z,"Why is a government job better than a private job? ",Quora
602e3284ed0dadcccc4326a0,https://www.quora.com/Is-Elon-Musk-the-next-Steve-Jobs?-,Include Related Answers  Is Elon Musk the next Steve Jobs?,2021-02-18T09:25:24.574Z,"Is Elon Musk the next Steve Jobs? ",Quora
602e32a2ed0dadcccc4326b6,https://www.quora.com/What-are-the-best-work-from-home-jobs?-,Include Related Answers  What are the best work-from-home jobs?,2021-02-18T09:25:54.255Z,"What are the best work-from-home jobs? ",Quora
602e330fed0dadcccc4326f5,https://www.quora.com/Which-are-the-highest-paid-jobs-in-India?-,"As we know pleasure in the job put perfection in work. The right path will make or break the story of your life. Choosing the right path of career trouble us. Everyone wants Name and Fame in their life and to live up their dreams. To make our dreams a reality, everyone has to put up a hard struggle in their life. A right path of job can be a historic event which would leads you to your fascinated world of dreams. Here I am making my small effort to arrange up the list of Highest paid Jobs in India:- ⏹️Private jobs ⏹️Govt jobs ………………………… Here goes the list for Highest paid Jobs in India:- ⏹️Private jobs …………………….. 1.App developer  Courses required to be pursued: At least a Bachelor’s degree in Software Engineering or a course in Mobile Application Development, Mobile Computing, Computer Science, or a s Continue Reading As we know pleasure in the job put perfection in work. The right path will make or break the story of your life. Choosing the right path of career trouble us. Everyone wants Name and Fame in their life and to live up their dreams. To make our dreams a reality, everyone has to put up a hard struggle in their life. A right path of job can be a historic event which would leads you to your fascinated world of dreams. Here I am making my small effort to arrange up the list of Highest paid Jobs in India:- ⏹️Private jobs ⏹️Govt jobs ………………………… Here goes the list for Highest paid Jobs in India:- ⏹️Private jobs …………………….. 1.App developer  Courses required to be pursued: At least a Bachelor’s degree in Software Engineering or a course in Mobile Application Development, Mobile Computing, Computer Science, or a s Continue Reading",2021-02-18T09:27:43.782Z,"Which are the highest paid jobs in India? ",Quora
602e332ded0dadcccc432700,https://www.quora.com/How-can-I-get-a-job-at-Facebook-or-Google-in-6-months?-I-need-a-concise-work-plan-to-build-a-good-enough-skill-set.-Should-I-join-some-other-start-up-or-build-my-own-projects/start-up?-Should-I-just-focus-on-practicing-data-structures-and-algorithms?-,"Anuj Tewari Some answers here are already really good, but I think it could be valuable to have the perspective from someone who trained for these interviews very recently and got a job offer as a direct result. So I'm gonna one-up your question and tell you how you can get a job at Google and Facebook in 1 month (1 month's prep, that is.) By the way, brevity isn't my strong suit, so this post might take you a while to get through, but I promise it's worth it, and I'll do my best to answer questions you post in the comments about specifics, because I'm almost definitely going to forget to mention some important things (I prepped for the interviews some 5 months ago so this is based on my memory only.) I'm going to detail how I prepared for technical interviews in ~1 month, after which I got a job at Fa Continue Reading",2021-02-18T09:28:13.402Z,"How can I get a job at Facebook or Google in 6 months? I need a concise work-plan to build a good enough skill set. Should I join some other start-up or build my own projects/start-up? Should I just focus on practicing data structures and algorithms? ",Quora
602e3346ed0dadcccc432715,https://www.quora.com/Is-software-development-really-a-dead-end-job-after-age-35-40?-,Include Related Answers  Is software development really a dead-end job after age 35-40?,2021-02-18T09:28:38.226Z,"Is software development really a dead-end job after age 35-40? ",Quora
